prior,outcome,candidate,n_worlds,active_mean_vs_e95,active_p05_vs_e95,active_p50_vs_e95,active_p95_vs_e95,active_beat_e95_rate,active_mean_vs_e101,active_p95_vs_e101,active_beat_e101_rate,rank_vs_e101
global,edge_or_stronger_win,e95,827,0.0,0.0,0.0,0.0,0.0,1.7185669983109555e-05,2.7514058971967535e-05,0.0,5.0
global,edge_or_stronger_win,e101,827,-1.7185669983109555e-05,-2.7514058971967545e-05,-1.5347241783384428e-05,-1.1396893801040392e-05,1.0,0.0,0.0,0.0,4.0
global,edge_or_stronger_win,e108_amp050,827,-3.3805578100939954e-05,-5.446235607865713e-05,-3.0128721701492184e-05,-2.222802573679989e-05,1.0,-1.66199081178304e-05,-1.0831131935759496e-05,1.0,2.0
global,edge_or_stronger_win,e108_strict_amp038,827,-2.5898472515345585e-05,-4.159762377840921e-05,-2.31040616517644e-05,-1.709953271859902e-05,1.0,-8.712802532236028e-06,-5.70263891755863e-06,1.0,3.0
global,edge_or_stronger_win,e89,827,8.201144758402847e-06,-1.0273696123804286e-05,7.362172442194737e-06,2.8640422571272824e-05,0.2503022974607013,2.53868147415124e-05,4.666920893388911e-05,0.019347037484885126,9.0
global,edge_or_stronger_win,e85,827,8.201144758402495e-06,-1.0273696123804806e-05,7.362172442194547e-06,2.8640422571272306e-05,0.2503022974607013,2.538681474151205e-05,4.6669208933888585e-05,0.019347037484885126,8.0
global,edge_or_stronger_win,e90,827,4.696301919247833e-06,-2.121450141661859e-06,4.302090012092407e-06,1.2834404688703673e-05,0.14631197097944376,2.1881971902357384e-05,3.627970000703261e-05,0.0,6.0
global,edge_or_stronger_win,e86,827,7.516288422675056e-06,3.0417618042615504e-06,7.190003676617887e-06,1.2730520397320124e-05,0.0,2.4701958405784615e-05,3.843642306648723e-05,0.0,7.0
global,edge_or_stronger_win,mixmin,827,-6.535802598007725e-05,-0.00010667158193551004,-5.800431318117675e-05,-4.2202921251796156e-05,1.0,-4.817235599696771e-05,-3.080602745075577e-05,1.0,1.0
global,small_win,e95,1467,0.0,0.0,0.0,0.0,0.0,6.477300491312806e-06,1.0327048185869794e-05,0.0,5.0
