policy,rollback_cells,expected_delta_focus_mean,moved_cells,moved_rows,cells_to_flip_expected,top1_over_abs_expected,cells_for_2e6_guard,cells_for_e95_edge,support_prob_swing_weighted_focus,bad_span_energy,bad_span_residual,max_bad_axis,max_bad_cos,mean_abs_logit_move_vs_e95,max_abs_logit_move_vs_e95,q2s3_share_vs_e95,cos_e154_axis,cos_e101_axis,cos_mixmin_axis,mean_delta_focus_mean,std_delta_focus_mean,p05_delta_norm_focus_mean,p95_delta_norm_focus_mean,win_rate_norm_focus_mean,e95_edge_or_better_norm_focus_mean,worse_than_e101_norm_focus_mean,worse_than_mixmin_norm_focus_mean,mean_delta_visible_mean,std_delta_visible_mean,p05_delta_norm_visible_mean,p95_delta_norm_visible_mean,win_rate_norm_visible_mean,e95_edge_or_better_norm_visible_mean,worse_than_e101_norm_visible_mean,worse_than_mixmin_norm_visible_mean,mean_delta_subject,std_delta_subject,p05_delta_norm_subject,p95_delta_norm_subject,win_rate_norm_subject,e95_edge_or_better_norm_subject,worse_than_e101_norm_subject,worse_than_mixmin_norm_subject,mean_delta_flank_mean,std_delta_flank_mean,p05_delta_norm_flank_mean,p95_delta_norm_flank_mean,win_rate_norm_flank_mean,e95_edge_or_better_norm_flank_mean,worse_than_e101_norm_flank_mean,worse_than_mixmin_norm_flank_mean,mean_delta_nearest_hard085,std_delta_nearest_hard085,p05_delta_norm_nearest_hard085,p95_delta_norm_nearest_hard085,win_rate_norm_nearest_hard085,e95_edge_or_better_norm_nearest_hard085,worse_than_e101_norm_nearest_hard085,worse_than_mixmin_norm_nearest_hard085,cos_bad_a2c8,cos_bad_raw05,cos_bad_stage2,cos_bad_ordinal,cos_bad_final9,cos_bad_e72,cos_bad_q2_bad,cos_bad_lejepa_bad,cos_bad_resid_bad,mean_keep_selected,n_keep_changed_from_e172,cos_e172_axis,delta_focus_vs_e172,delta_visible_p95_vs_e172,delta_visible_worse_e101_vs_e172,broad_retained,visible_tail_guard,geometry_guard,body_recovered,e174_gate,pareto_score
reopen_focus_cost_top75_to1p0,335,-0.00012436705421336612,904,193,33,0.04689310841322989,1,4,0.4621049380573146,0.26399606209078913,0.9645237577170177,q2_bad,0.16322857400631582,0.0008289501788628858,0.010205926073456162,0.33959666141906225,0.08774438878072623,-0.0261682941685871,-0.009717199529986158,-7.812430360380982e-05,1.7987529930007823e-05,-0.00010771115744908135,-4.853744975853829e-05,0.9999929804254868,0.9997603482002746,6.311253298862951e-07,1.0267282779530262e-07,-5.0633291532708294e-05,1.697646287851562e-05,-7.855708807124175e-05,-2.270949499417485e-05,0.9985707493457823,0.9812684098658504,0.00022001239565849762,5.1283753533581944e-05,-3.0479138015697128e-05,1.6644015415957487e-05,-5.785610713967102e-05,-3.1021688917232404e-06,0.9664674170092534,0.8189431534363868,0.008794774870158228,0.002969510059868563,-3.0015032479382126e-05,1.5956838154431803e-05,-5.626169559237691e-05,-3.7683693663873383e-06,0.9700149779301577,0.8216070146494754,0.007196470901195351,0.0022519959861148076,-7.396562536909943e-05,1.4231472159289216e-05,-9.73743139671652e-05,-5.0556936771033664e-05,0.9999998989131434,0.9999811788261306,2.7338744601479448e-09,1.7689461007108775e-10,0.0722278378542136,0.05165883706539516,0.08518650452509402,-0.07336992078367904,0.055131953119353386,0.0612118964573408,0.16322857400631582,0.020507471930054796,0.13087426734983315,0.3871951219512195,75,0.9588417545084673,-1.1671832437485646e-05,3.973725215406469e-06,0.0001698692085870812,True,True,True,True,True,-0.00012436705421336612
reopen_focus_cost_positive_to1p0,341,-0.00012413842781775763,904,193,33,0.04697947169770079,1,4,0.4619551782834942,0.26160833309172343,0.9651741190360266,q2_bad,0.1594647084425525,0.0008276177265497974,0.010205926073456162,0.3386027086773829,0.08781399313946579,-0.026189052502655213,-0.00972170749441138,-7.812738636940306e-05,1.7970976957496485e-05,-0.00010768701299780249,-4.856775974100363e-05,0.9999931125885798,0.9997633701683869,6.165548145364852e-07,9.997274863504657e-08,-5.0677483153246425e-05,1.6959536227305304e-05,-7.857343782814445e-05,-2.2781528478348408e-05,0.998596599194704,0.9814818020679457,0.00021500165024046503,4.993261717001207e-05,-3.0405830313515203e-05,1.662538236048464e-05,-5.775215078861339e-05,-3.0595098384170142e-06,0.966291211116242,0.8180494982955925,0.008836511745498266,0.002981552950794053,-3.0090055741128928e-05,1.5939419694643897e-05,-5.630806803736567e-05,-3.872043444892187e-06,0.9704719933053625,0.823093953797681,0.007050402805631517,0.0021974540047076108,-7.427680776366958e-05,1.4220191810245141e-05,-9.766694183869693e-05,-5.088667368864224e-05,0.9999999121348784,0.9999831309787042,2.3313675434621928e-09,1.4880263687899742e-10,0.07230200033999254,0.05173153695503901,0.0852774886084736,-0.0734331937946504,0.05540114883171497,0.06126342415243205,0.1594647084425525,0.020755583666060153,0.1289205834374669,0.37621951219512195,69,0.9592611781404112,-1.1443206041877155e-05,3.90169173123291e-06,0.00016485846316904862,True,True,True,True,True,-0.00012413842781775763
reopen_focus_cost_top50_to1p0,360,-0.00012301935031813757,904,193,33,0.04740683267453065,1,4,0.4620863452675115,0.26106806434826346,0.9653203954011591,q2_bad,0.15865335386767737,0.0008174389821816965,0.010205926073456162,0.33581864193936506,0.08872722713620816,-0.026333602007191797,-0.007639092310971884,-7.80884019593309e-05,1.7872785961661576e-05,-0.0001074865187720973,-4.869028514656449e-05,0.9999937626780875,0.9997780225586254,5.448492438331343e-07,8.671504614365944e-08,-5.102932829558389e-05,1.6862773264891035e-05,-7.876612206080023e-05,-2.3292534530367553e-05,0.99876156444556,0.982920687324202,0.0001840064752836046,4.17525273798125e-05,-3.064014100247606e-05,1.6519787768563627e-05,-5.781277383006651e-05,-3.4675081748856073e-06,0.968184311962858,0.823281738606775,0.008158507713161067,0.002704886148047425,-3.073502304777361e-05,1.584325170069659e-05,-5.6794853070369483e-05,-4.675193025177746e-06,0.9738067595837763,0.8348619537969848,0.006031530475274827,0.0018284757863699097,-7.510110284860176e-05,1.4142134821306618e-05,-9.836284460226465e-05,-5.183936109493886e-05,0.9999999453226216,0.9999882016868153,1.3455860869981962e-09,8.128842043930717e-11,0.07219808874965061,0.05146184703985738,0.08528066275502079,-0.07276854130453977,0.05820750255140648,0.06392125135254845,0.15865335386767737,0.02046117195235772,0.12717132736583053,0.34146341463414637,50,0.9621892654721478,-1.0324128542257098e-05,3.3906856792137655e-06,0.00013386328821218818,True,True,True,True,True,-0.00012301935031813757
reopen_non_e72_focus_cost_positive_to1p0,347,-0.00012280579280373426,904,193,33,0.047489272477414274,1,4,0.46210893498966915,0.2607658545004847,0.9654020764047653,q2_bad,0.1598714768318612,0.0008208655532626611,0.010205926073456162,0.33985114424371604,0.08828183121226965,-0.029129390692323183,-0.011415674993013807,-7.79261671956325e-05,1.78822506443293e-05,-0.00010733985202601285,-4.851248236525215e-05,0.999993429328651,0.9997687137251983,5.779387577398154e-07,9.243884169229943e-08,-5.089717603835049e-05,1.68805654119701e-05,-7.866323528122108e-05,-2.3131116795479903e-05,0.9987156736184701,0.9824902541830501,0.0001922964315572706,4.388368345964455e-05,-3.048728098234279e-05,1.654161242909044e-05,-5.769581218195775e-05,-3.278749782727829e-06,0.967340301719707,0.8205541372720532,0.008439413743621449,0.0028144295193424096,-3.062543267038896e-05,1.5869911551096605e-05,-5.6729114244609275e-05,-4.521751096168642e-06,0.973182928220758,0.8327318236376082,0.006224200341493513,0.0018985578172486806,-7.492433458755371e-05,1.4144833754798707e-05,-9.819051569175997e-05,-5.165815348334745e-05,0.9999999411202908,0.9999874843047497,1.4623133814950506e-09,8.891287706092044e-11,0.07157679700605829,0.0506060808758459,0.0849306041537441,-0.07191397980417823,0.05855788719697688,0.060306436872690106,0.1598714768318612,0.02149954563577479,0.12649365362927315,0.3652439024390244,63,0.9620872658604099,-1.0110571027853782e-05,3.5521034141014154e-06,0.0001421532444858542,True,True,True,True,True,-0.00012280579280373426
reopen_between_focus_cost_positive_to1p0,356,-0.00012197497039913787,904,193,33,0.04781274172215448,1,4,0.4629599397610532,0.2647726523961156,0.9643108640594719,q2_bad,0.16050709288289353,0.000812949789531497,0.010205926073456162,0.33261696347517267,0.08942516508185747,-0.02654074496296378,-0.014166748838362444,-7.77687516591739e-05,1.775276274427334e-05,-0.00010696944784750088,-4.856805547084692e-05,0.9999940838804242,0.9997827706083611,5.050546721951932e-07,7.895186682205235e-08,-5.115956829226076e-05,1.676947447345397e-05,-7.874289920199165e-05,-2.3576237382529868e-05,0.9988586685406623,0.9837312970337897,0.00016559050712328105,3.688832722215096e-05,-3.107912267226262e-05,1.6431533519911968e-05,-5.810659017886451e-05,-4.051655165660729e-06,0.9707166269838825,0.8313827936630893,0.007315988299061327,0.0023772018719447896,-3.120268076707588e-05,1.57764425381695e-05,-5.7152619496375474e-05,-5.25274203777629e-06,0.976024480261071,0.8431103214961767,0.005377385608653973,0.0015977339385186973,-7.474755019734395e-05,1.4031759486631609e-05,-9.782774068144068e-05,-5.166735971324722e-05,0.9999999500831118,0.9999886170859388,1.178959818659564e-09,6.896005988465959e-11,0.06909920290875447,0.0481325144387312,0.0841711155460581,-0.07238350085368528,0.05710734773281786,0.05831012371383683,0.16050709288289353,0.015845788106921044,0.128567770530737,0.348780487804878,54,0.9664076929881756,-9.279748623257397e-06,3.10698282705145e-06,0.00011544732005186464,True,True,True,True,True,-0.00012197497039913787
reopen_focus_cost_top200_to0p75,410,-0.00012176835479067014,904,193,33,0.04789387001480831,1,4,0.46443075133989004,0.2693365917684129,0.9630461049890473,q2_bad,0.16978482181931093,0.0008374437333619016,0.010205926073456162,0.33733135538036746,0.08101667333523699,-0.027667506580428783,-0.008771855771426976,-7.644885692109018e-05,1.7743904059306552e-05,-0.00010563498186931952,-4.7262731972860846e-05,0.9999917801479479,0.9997150892562865,7.260611643022941e-07,1.162177637459294e-07,-4.967038338444751e-05,1.6783654834574083e-05,-7.72770389125983e-05,-2.206372785629672e-05,0.9984590552905255,0.9796813157870445,0.0002345189020099836,5.404201241421269e-05,-3.005395104179259e-05,1.644000222571496e-05,-5.7095348329850113e-05,-3.0125537537350637e-06,0.9662326498112074,0.8150848555926244,0.00870940776921647,0.002895321649526883,-2.9586528231965497e-05,1.5813211411337407e-05,-5.5596946375654235e-05,-3.576110088276756e-06,0.9693275019206513,0.8166782839623761,0.007294294548903957,0.002261179386070511,-7.229051259821846e-05,1.4001897157072513e-05,-9.53215839212307e-05,-4.9259441275206226e-05,0.9999998784289381,0.9999764363736727,3.156199857023978e-09,1.9700596709526508e-10,0.07120005429846696,0.05013171301952305,0.08476527362645114,-0.07246910856001774,0.05685284810840852,0.062490133251097195,0.16978482181931093,0.018345334166880084,0.13127998088391157,0.49390243902439024,200,0.9732388538556899,-9.073133014789666e-06,4.619492353284598e-06,0.0001843757149385672,True,True,True,True,True,-0.00012176835479067014
reopen_focus_cost_top150_to0p75,410,-0.00012176646510072146,904,193,33,0.04789461327827331,1,4,0.4644786707691166,0.26745121773404507,0.9635714016784517,q2_bad,0.16502656153842743,0.0008197052967704328,0.010205926073456162,0.3333899864805261,0.08596718222388951,-0.027890568956940677,-0.007306476053218859,-7.715370671208653e-05,1.759579132903953e-05,-0.00010609620789873846,-4.821120552543459e-05,0.9999941948969034,0.9997798310981689,4.832850442060277e-07,7.404599311477966e-08,-5.063769583592364e-05,1.6636390123643088e-05,-7.800212247017762e-05,-2.3273269201669656e-05,0.9988319134133352,0.9831430597609812,0.00016728436630408794,3.683592464154284e-05,-3.053905965489266e-05,1.6278697882298956e-05,-5.731513490863934e-05,-3.7629844011459716e-06,0.9696732981561205,0.8252289274495734,0.007526380042215175,0.0024271275092592193,-3.075068767880146e-05,1.5665545086763215e-05,-5.651821633293575e-05,-4.983159024667169e-06,0.9751740300085188,0.8378356952732279,0.005546263141175345,0.0016394779429228512,-7.408535038601093e-05,1.3889913193591753e-05,-9.693222448053143e-05,-5.123847629149043e-05,0.9999999518980167,0.9999883911779333,1.0865435218221364e-09,6.13149531147883e-11,0.06638186886934752,0.045201034432494,0.08190044160489544,-0.07274687181266114,0.06062630302019096,0.06477636685037397,0.16502656153842743,0.017109719182456008,0.12640338595045914,0.4329268292682927,150,0.9768360791100311,-9.071243324840984e-06,3.4099510079116626e-06,0.00011714117923267153,True,True,True,True,True,-0.00012176646510072146
reopen_focus_cost_top100_to0p75,410,-0.00012085661046068634,904,193,33,0.04825518218681555,1,4,0.46478753428529296,0.2670765972208937,0.9636753038326281,q2_bad,0.1639242712556757,0.0008079507906240305,0.010205926073456162,0.3347356727060802,0.08557797242809353,-0.027917146717154086,-0.005276225345483061,-7.746920777886458e-05,1.7506245546759742e-05,-0.0001062644192607554,-4.8673996296973754e-05,0.9999951830779151,0.9998078576660994,3.878127463607939e-07,5.795922253248875e-08,-5.12039624609227e-05,1.6548167039994973e-05,-7.842327503605723e-05,-2.398464988578816e-05,0.9990134033921441,0.9849593190287099,0.00013616443772579423,2.916608895509043e-05,-3.0615328051025856e-05,1.618793373636211e-05,-5.724210957013117e-05,-3.98854653192054e-06,0.9707040913112204,0.8277814049994865,0.007153736290334889,0.0022766017385436044,-3.1505028472466264e-05,1.557789121696868e-05,-5.712837934095268e-05,-5.88167760397985e-06,0.9784334756271789,0.8507304394861244,0.004627542971082588,0.0013267373435827956,-7.593594678175298e-05,1.381298144201483e-05,-9.865627940566446e-05,-5.321561415784151e-05,0.9999999807320709,0.9999943064815267,3.8348890729622553e-10,1.9760637570698236e-11,0.0649462205649837,0.043772626811582185,0.08053188515964302,-0.0733082848161057,0.06223602963553134,0.06776890499394432,0.1639242712556757,0.017285787423140013,0.12500623527520416,0.3719512195121951,100,0.9793610142035414,-8.161388684805863e-06,2.69857032379316e-06,8.602125065437782e-05,True,True,True,True,True,-0.00012085661046068634
reopen_focus_cost_top75_to0p75,410,-0.00012048088700945459,904,193,32,0.04840566749648649,1,4,0.46429105962389094,0.26385152992883726,0.9645633054155706,q2_bad,0.15820339940766223,0.0008021312891735799,0.010205926073456162,0.33221526932731615,0.08697656683924701,-0.02799784764240951,-0.005602572641333088,-7.750855558497166e-05,1.7448914872720807e-05,-0.00010620946649973396,-4.8807644670209355e-05,0.999995544236741,0.9998177724980414,3.526595891978346e-07,5.203045594370792e-08,-5.13777718225948e-05,1.6487520312521512e-05,-7.849732940808188e-05,-2.4258214237107723e-05,0.9990838897158205,0.9856483519336365,0.0001240446759708247,2.618560233202949e-05,-3.065002051972788e-05,1.6124405294061956e-05,-5.717230705010121e-05,-4.127733989354548e-06,0.9713389440016551,0.8292766809627994,0.006922659114660834,0.002183334970896178,-3.177968400081213e-05,1.5513791559325273e-05,-5.729760031493744e-05,-6.2617676866868165e-06,0.9797434806916763,0.8557846519358635,0.0042574297589637045,0.00120113026795865,-7.632130341874976e-05,1.3773166939230768e-05,-9.89761470133516e-05,-5.3666459824147926e-05,0.9999999849886154,0.9999952811606045,2.8705993138089525e-10,1.43651757156249e-11,0.06472524630112701,0.043493258608877705,0.08018737230074478,-0.07358883349197254,0.06265513621214895,0.06745057032043839,0.15820339940766223,0.016600909013274885,0.1222756603256138,0.34146341463414637,75,0.9806851978363482,-7.785665233574112e-06,2.4250059724735953e-06,7.390148889940829e-05,True,True,True,True,True,-0.00012048088700945459
reopen_focus_cost_positive_to0p75,410,-0.00012032839995165371,904,193,32,0.048467009937841914,1,4,0.46419035697174665,0.26220891347752,0.9650111324191747,q2_bad,0.1555938050144867,0.0008012429876315209,0.010205926073456162,0.3315226386071449,0.08701583382871372,-0.028010487727301536,-0.005602898220331424,-7.751054130130527e-05,1.7439815924340868e-05,-0.0001061964857778234,-4.8824596824787154e-05,0.9999955943280471,0.9998191387815573,3.477878325330863e-07,5.1210564011583415e-08,-5.1407163442225016e-05,1.6478227065382244e-05,-7.851143499644892e-05,-2.4302891888001118e-05,0.9990948305978427,0.9857579963547873,0.00012219202207341961,2.573500056612943e-05,-3.0601079257544755e-05,1.611414990421579e-05,-5.7106497172733814e-05,-4.0956613423556964e-06,0.971219020928836,0.8286589346387317,0.006951091565758127,0.002191746660231919,-3.18296300479148e-05,1.5504238686490548e-05,-5.73318332845101e-05,-6.327426811319491e-06,0.9799619222094613,0.8566629390307782,0.0041971527568901434,0.0011810062835077018,-7.652868888773461e-05,1.3766951624415875e-05,-9.917330919922053e-05,-5.38840685762487e-05,0.9999999864236271,0.9999956407407382,2.562335899014556e-10,1.2702949803156116e-11,0.0647660823190324,0.04353473780375195,0.08023969384519258,-0.07362554860063047,0.06283867909985598,0.06748306756271519,0.1555938050144867,0.01676805494084351,0.12091403742997917,0.33414634146341465,69,0.9808929957474843,-7.633178175773235e-06,2.3803283215802002e-06,7.204883500200321e-05,True,True,True,True,True,-0.00012032839995165371
