method,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate
transition_raw_residual_baseedge_mid_k4_a4_w1.00,36.0,-0.0015688625942996577,-0.002150496782329087,0.0005026993030556534,0.6388888888888888
transition_raw_residual_baseedge_mid_k4_a4_w0.65,36.0,-0.0015027849646272622,-0.002045923257169761,0.0005167375156589257,0.6666666666666666
transition_raw_residual_baseedge_mid_k4_a12_w1.00,36.0,-0.0014454995616706367,-0.0019743057273628197,0.0005223987552163017,0.6388888888888888
transition_full_transition_baseedge_mid_k16_a4_w1.00,36.0,-0.0013991579572475816,-0.0021621256014229765,0.0006168280473311315,0.6111111111111112
transition_full_transition_baseedge_mid_k16_a12_w1.00,36.0,-0.001380638276820347,-0.0020337174883086873,0.0006089800989298238,0.5277777777777778
transition_raw_residual_baseedge_mid_k4_a4_w0.35,36.0,-0.0013784022686176363,-0.0018929390840288123,0.0005290891099843017,0.6111111111111112
transition_full_transition_baseedge_mid_k16_a4_w0.65,36.0,-0.0013733494277984016,-0.002007891359196633,0.0006070595066846878,0.5277777777777778
transition_raw_residual_baseedge_mid_k4_a12_w0.65,36.0,-0.0013663938151308502,-0.0018785884378821165,0.0005303442706246134,0.6111111111111112
transition_raw_topology_baseedge_mid_k16_a4_w1.00,36.0,-0.0013654737830031162,-0.0018126912506040193,0.0006101104711529105,0.5555555555555556
transition_raw_topology_baseedge_mid_k16_a12_w1.00,36.0,-0.0013562915109686512,-0.0017969773069926949,0.0006009225754460373,0.5555555555555556
transition_raw_topology_baseedge_mid_k16_a4_w0.65,36.0,-0.0013528360494716792,-0.0017935373562038054,0.0005984444958291764,0.5555555555555556
transition_full_transition_baseedge_mid_k16_a24_w1.00,36.0,-0.0013507005687743614,-0.0019430015134885615,0.000600710598140654,0.5277777777777778
transition_raw_residual_baseedge_mid_k4_a24_w1.00,36.0,-0.0013470922017237456,-0.001855636925786201,0.0005324126436739523,0.6111111111111112
transition_full_transition_baseedge_mid_k16_a12_w0.65,36.0,-0.001343915025047016,-0.0019263625518207547,0.0005987056058622129,0.5277777777777778
transition_raw_topology_baseedge_mid_k16_a24_w1.00,36.0,-0.001340251428949106,-0.0017817505035046934,0.0005915674094467395,0.5555555555555556
transition_raw_topology_baseedge_mid_k16_a12_w0.65,36.0,-0.0013358966873632013,-0.0017779195357842542,0.0005896483482163724,0.5833333333333334
transition_raw_residual_baseedge_mid_k8_a4_w0.65,36.0,-0.0013243854584052057,-0.0019054641747972565,0.0005002212256821437,0.5555555555555556
transition_full_transition_baseedge_mid_k16_a4_w0.35,36.0,-0.0013178108569527924,-0.0018699751407100364,0.0005907195632334504,0.5833333333333334
transition_raw_topology_baseedge_mid_k16_a4_w0.35,36.0,-0.0013167813395570176,-0.0017622809718883645,0.000582579657209229,0.5833333333333334
transition_raw_residual_baseedge_mid_k8_a12_w1.00,36.0,-0.0013166576071838,-0.0018931669286704343,0.000503315773755812,0.5555555555555556
transition_raw_topology_baseedge_mid_k16_a24_w0.65,36.0,-0.0013113361858826688,-0.001758090682953197,0.0005808209339688637,0.5833333333333334
transition_full_transition_baseedge_mid_k16_a24_w0.65,36.0,-0.0013111267835406145,-0.001857048629527966,0.0005886256658064119,0.5833333333333334
transition_raw_residual_baseedge_mid_k4_a24_w0.65,36.0,-0.0012958003609160223,-0.0017952459005948485,0.0005382432928052765,0.5833333333333334
transition_raw_topology_baseedge_mid_k16_a12_w0.35,36.0,-0.0012918110849429274,-0.001743688512205248,0.0005750374339079069,0.5833333333333334
transition_raw_residual_baseedge_mid_k4_a12_w0.35,36.0,-0.001290140819702411,-0.0017886283057618334,0.0005389164217247672,0.5833333333333334
transition_full_transition_baseedge_mid_k16_a12_w0.35,36.0,-0.0012888548649397358,-0.001817209507626003,0.0005815548670122157,0.5833333333333334
transition_topology_baseedge_mid_k16_a4_w0.65,36.0,-0.0012791333785918185,-0.001740398920286029,0.0005783627223994712,0.5833333333333334
transition_topology_baseedge_mid_k16_a12_w1.00,36.0,-0.001278684240400019,-0.0017381567713381622,0.0005801332160100235,0.5833333333333334
transition_raw_residual_baseedge_mid_k8_a12_w0.65,36.0,-0.001277578417610785,-0.0018314779203444434,0.0005178478021646815,0.5555555555555556
transition_topology_baseedge_mid_k16_a24_w1.00,36.0,-0.0012755727279734317,-0.0017416785962220697,0.0005734781516920344,0.5833333333333334
transition_raw_residual_baseedge_mid_k8_a24_w1.00,36.0,-0.0012745877708843696,-0.0018265071668674589,0.0005189956987516623,0.5555555555555556
transition_topology_baseedge_mid_k16_a12_w0.65,36.0,-0.0012734940386568596,-0.001740827701264792,0.0005721572247595496,0.5833333333333334
transition_topology_baseedge_mid_k16_a4_w1.00,36.0,-0.0012716819733453216,-0.001729898495450956,0.0005862783208138797,0.5833333333333334
transition_raw_residual_baseedge_mid_k8_a4_w0.35,36.0,-0.0012695634195332825,-0.0018180457664009842,0.0005209393216150237,0.5555555555555556
transition_raw_topology_baseedge_mid_k16_a24_w0.35,36.0,-0.001267280472876505,-0.0017264881444126862,0.0005684802459989573,0.5833333333333334
transition_raw_residual_baseedge_mid_k8_a4_w1.00,36.0,-0.0012641338303600836,-0.0019048424824634302,0.00047031008713515634,0.6111111111111112
transition_full_transition_baseedge_mid_k16_a24_w0.35,36.0,-0.0012633405422838285,-0.0017761339188414786,0.0005733278391455776,0.5833333333333334
transition_topology_baseedge_mid_k16_a4_w0.35,36.0,-0.0012629328323110723,-0.0017342622538345346,0.0005675452643958926,0.5555555555555556
transition_topology_baseedge_mid_k16_a24_w0.65,36.0,-0.001259773310169052,-0.0017319789462006598,0.0005664640955435085,0.5555555555555556
transition_raw_residual_baseedge_mid_k4_a24_w0.35,36.0,-0.001249813771989069,-0.0017416774858981718,0.0005438609088749338,0.5833333333333334
transition_topology_baseedge_mid_k16_a12_w0.35,36.0,-0.00124842831958716,-0.0017232437714562055,0.0005630862118228412,0.5555555555555556
transition_raw_residual_baseedge_mid_k8_a24_w0.65,36.0,-0.001247675972322312,-0.00177953463794699,0.000529579839860066,0.5833333333333334
transition_raw_residual_baseedge_mid_k8_a12_w0.35,36.0,-0.0012405487991757422,-0.0017664372449037507,0.0005324339391758529,0.5833333333333334
transition_topology_baseedge_mid_k16_a24_w0.35,36.0,-0.0012344437350533517,-0.0017118234400740418,0.0005595396849654557,0.5833333333333334
transition_raw_residual_baseedge_mid_k8_a24_w0.35,36.0,-0.0012236249716479268,-0.0017344145763209162,0.0005392462646319718,0.5833333333333334
transition_raw_topology_baseedge_mid_k8_a4_w1.00,36.0,-0.0012147281347163526,-0.0016133455553240276,0.0005865062409497626,0.5555555555555556
transition_topology_baseedge_mid_k8_a4_w1.00,36.0,-0.0012134182243891494,-0.0016479622318069734,0.0005735985547841206,0.5555555555555556
transition_topology_baseedge_mid_k4_a4_w1.00,36.0,-0.0012125326558317135,-0.001769583344401052,0.0006180532444112357,0.5555555555555556
edge_mid,36.0,-0.001194798769113774,-0.001677983756353892,0.0005508815370490764,0.5833333333333334
transition_full_transition_baseedge_mid_k4_a24_w0.35,36.0,-0.0011938678902454019,-0.001649723274853008,0.0005487331000376615,0.5833333333333334
transition_full_transition_baseedge_mid_k4_a12_w0.35,36.0,-0.0011927626763031571,-0.0016280570471389256,0.0005468944026124962,0.5555555555555556
transition_full_transition_baseedge_mid_k4_a24_w0.65,36.0,-0.0011925596289633935,-0.001624909427222099,0.0005466070790255467,0.5555555555555556
transition_full_transition_baseedge_mid_k4_a24_w1.00,36.0,-0.0011899758725338874,-0.0015947322175203676,0.0005435650528548753,0.5277777777777778
transition_full_transition_baseedge_mid_k4_a12_w0.65,36.0,-0.001188585083273658,-0.0015824444291105714,0.0005421815935428979,0.5277777777777778
transition_full_transition_baseedge_mid_k4_a4_w0.35,36.0,-0.0011875840665075137,-0.0015744940980752043,0.0005412461238959254,0.5277777777777778
transition_raw_topology_baseedge_mid_k8_a24_w0.35,36.0,-0.0011870208233006956,-0.0016436535659608152,0.0005565084106797857,0.5833333333333334
transition_topology_baseedge_mid_k4_a24_w0.35,36.0,-0.001185590637974283,-0.001672769594654,0.0005566135557747801,0.5833333333333334
transition_raw_topology_baseedge_mid_k8_a4_w0.65,36.0,-0.0011843878787990958,-0.0015834154602487036,0.0005735419002477288,0.5
transition_raw_topology_baseedge_mid_k8_a12_w0.35,36.0,-0.0011831178597056073,-0.0016255888113787809,0.0005596142634379857,0.5555555555555556
transition_raw_topology_baseedge_mid_k8_a12_w1.00,36.0,-0.0011823354670044872,-0.0015838884859997828,0.0005721186577919487,0.5
transition_raw_topology_baseedge_mid_k8_a24_w0.65,36.0,-0.001181750425627652,-0.0016187561666062469,0.0005608662051390988,0.5555555555555556
transition_full_transition_baseedge_mid_k4_a12_w1.00,36.0,-0.0011797617948317923,-0.001524871209886651,0.0005348471414276242,0.5277777777777778
transition_topology_baseedge_mid_k4_a12_w0.35,36.0,-0.001179397151931088,-0.001669836950299532,0.0005610852748141353,0.5555555555555556
transition_raw_topology_baseedge_mid_k8_a4_w0.35,36.0,-0.0011789941073426346,-0.0016013988752282072,0.000564531099713444,0.5555555555555556
transition_raw_topology_baseedge_mid_k8_a24_w1.00,36.0,-0.0011787197512228584,-0.0015982549732501974,0.0005653429360348962,0.5555555555555556
transition_raw_topology_baseedge_mid_k8_a12_w0.65,36.0,-0.0011786252723118512,-0.0015965364710372838,0.0005658225739733392,0.5555555555555556
transition_topology_baseedge_mid_k4_a24_w0.65,36.0,-0.0011785938328894312,-0.0016695292768805338,0.0005617421496773605,0.5555555555555556
transition_topology_baseedge_mid_k4_a4_w0.65,36.0,-0.0011762788138715223,-0.0016993880977369707,0.0005938112174203183,0.5277777777777778
transition_full_transition_baseedge_mid_k8_a24_w0.35,36.0,-0.0011733734361510208,-0.0016070281626797828,0.0005518197506471478,0.5833333333333334
