basename,candidate_id,variant_type,family_tested,axis_kind_tested,axis_count,cell_rows
submission_e275_q_sleep_amp_m160_86528b2f.csv,e275_primary_m160,primary,all,all,12,
submission_e276_story_full_rebuild_m160_00f95c9a.csv,story_full_rebuild_m160,axis_ablation,all,all,12,224.0
submission_e276_q3_only_m160_6034ca83.csv,q3_only_m160,axis_ablation,q3_only,all,9,152.0
submission_e276_q12_only_m160_7bcd965c.csv,q12_only_m160,axis_ablation,q12_only,all,3,72.0
submission_e276_jepa_only_m160_75d0e9cf.csv,jepa_only_m160,axis_ablation,all,jepa_only,6,116.0
submission_e276_nonjepa_only_m160_a1ae06d0.csv,nonjepa_only_m160,axis_ablation,all,nonjepa_only,6,124.0
submission_e276_only_mobility_context_m160_6ac81269.csv,only_mobility_context_m160,axis_ablation,mobility_context,only,4,73.0
submission_e276_no_mobility_context_m160_68587259.csv,no_mobility_context_m160,axis_ablation,mobility_context,leave_one_out,8,176.0
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,only_bedtime_phone_m160,axis_ablation,bedtime_phone,only,1,24.0
submission_e276_no_bedtime_phone_m160_b81efadd.csv,no_bedtime_phone_m160,axis_ablation,bedtime_phone,leave_one_out,11,210.0
submission_e276_only_routine_calendar_m160_06a8bbcf.csv,only_routine_calendar_m160,axis_ablation,routine_calendar,only,1,24.0
submission_e276_no_routine_calendar_m160_9ee2a993.csv,no_routine_calendar_m160,axis_ablation,routine_calendar,leave_one_out,11,203.0
submission_e276_only_cognitive_money_m160_0de79a2d.csv,only_cognitive_money_m160,axis_ablation,cognitive_money,only,1,24.0
submission_e276_no_cognitive_money_m160_35f41cd8.csv,no_cognitive_money_m160,axis_ablation,cognitive_money,leave_one_out,11,206.0
submission_e276_only_social_comm_m160_22a09ec4.csv,only_social_comm_m160,axis_ablation,social_comm,only,1,24.0
submission_e276_no_social_comm_m160_cea48ae0.csv,no_social_comm_m160,axis_ablation,social_comm,leave_one_out,11,201.0
submission_e276_only_media_game_m160_8f065696.csv,only_media_game_m160,axis_ablation,media_game,only,1,24.0
submission_e276_no_media_game_m160_72fc6fa6.csv,no_media_game_m160,axis_ablation,media_game,leave_one_out,11,200.0
submission_e276_only_diary_global_m160_6988f6a1.csv,only_diary_global_m160,axis_ablation,diary_global,only,3,72.0
submission_e276_no_diary_global_m160_d8951434.csv,no_diary_global_m160,axis_ablation,diary_global,leave_one_out,9,175.0
submission_e276_inverse_primary_m080_4574c953.csv,inverse_primary_m080,inverse_control,all,inverse,12,
submission_e276_shuffle_row_r0_4a3bd132.csv,shuffle_row_r0,shuffle_placebo,row,same_delta_shuffled,12,
submission_e276_shuffle_row_r1_ac0d437e.csv,shuffle_row_r1,shuffle_placebo,row,same_delta_shuffled,12,
submission_e276_shuffle_row_r2_baca8ed7.csv,shuffle_row_r2,shuffle_placebo,row,same_delta_shuffled,12,
submission_e276_shuffle_row_r3_c424f61b.csv,shuffle_row_r3,shuffle_placebo,row,same_delta_shuffled,12,
submission_e276_shuffle_row_r4_69b8c9b0.csv,shuffle_row_r4,shuffle_placebo,row,same_delta_shuffled,12,
submission_e276_shuffle_subject_r0_8c7d1ff6.csv,shuffle_subject_r0,shuffle_placebo,subject,same_delta_shuffled,12,
submission_e276_shuffle_subject_r1_86325907.csv,shuffle_subject_r1,shuffle_placebo,subject,same_delta_shuffled,12,
submission_e276_shuffle_subject_r2_c860bcea.csv,shuffle_subject_r2,shuffle_placebo,subject,same_delta_shuffled,12,
submission_e276_shuffle_subject_r3_49e900ba.csv,shuffle_subject_r3,shuffle_placebo,subject,same_delta_shuffled,12,
submission_e276_shuffle_subject_r4_d78fd988.csv,shuffle_subject_r4,shuffle_placebo,subject,same_delta_shuffled,12,
submission_e276_shuffle_dateblock_r0_86ba3e14.csv,shuffle_dateblock_r0,shuffle_placebo,dateblock,same_delta_shuffled,12,
submission_e276_shuffle_dateblock_r1_17882307.csv,shuffle_dateblock_r1,shuffle_placebo,dateblock,same_delta_shuffled,12,
submission_e276_shuffle_dateblock_r2_212ad15a.csv,shuffle_dateblock_r2,shuffle_placebo,dateblock,same_delta_shuffled,12,
submission_e276_shuffle_dateblock_r3_281b5e46.csv,shuffle_dateblock_r3,shuffle_placebo,dateblock,same_delta_shuffled,12,
submission_e276_shuffle_dateblock_r4_620d6f89.csv,shuffle_dateblock_r4,shuffle_placebo,dateblock,same_delta_shuffled,12,
