role,family,basename,file,reason,local_mean,local_p90,local_bad_axis,bad_axis_margin,p90_margin,variant,counter_weight,veto_strength,path_exists
E344_upload,e344,submission_e344_counteraxis_lifestyle_9d09e4d2_uploadsafe.csv,analysis_outputs/submission_e344_counteraxis_lifestyle_9d09e4d2_uploadsafe.csv,score-seeking p90-first upload-safe candidate,,,,,,,,,True
E345_upload,e345,submission_e345_counterrefine_lifestyle_61d91c4c_uploadsafe.csv,analysis_outputs/submission_e345_counterrefine_lifestyle_61d91c4c_uploadsafe.csv,refined bad-axis-margin upload-safe candidate,,,,,,,,,True
e344_nullsafe_top1,e344,submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_9d09e4d2.csv,analysis_outputs/submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_9d09e4d2.csv,strict and movement-null-safe neighborhood row,-0.0002463537635279,-5.360632037127644e-05,0.0148496867985574,0.0001503132014425996,3.606320371276436e-06,cellveto,0.1,,True
e344_nullsafe_top2,e344,submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_8de06933.csv,analysis_outputs/submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_8de06933.csv,strict and movement-null-safe neighborhood row,-0.0002457578448317,-5.350930631163162e-05,0.014839096175915,0.0001609038240849986,3.5093063116316208e-06,cellveto,0.1,,True
e344_nullsafe_top3,e344,submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_bdadf4e2.csv,analysis_outputs/submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_bdadf4e2.csv,strict and movement-null-safe neighborhood row,-0.0002497195224705,-5.018126641484368e-05,0.0146974855620184,0.00030251443798159916,1.8126641484367425e-07,cellveto,0.1,,True
e344_nullsafe_top4,e344,submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,analysis_outputs/submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,strict and movement-null-safe neighborhood row,-0.0002503154716311,-5.017100584605437e-05,0.0147080761846608,0.00029192381533920016,1.710058460543693e-07,cellveto,0.1,,True
e344_nullsafe_top5,e344,submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_e131968c.csv,analysis_outputs/submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_e131968c.csv,strict and movement-null-safe neighborhood row,-0.0002490491022177,-5.011627886457851e-05,0.0146711325183864,0.00032886748161359974,1.1627886457850703e-07,cellveto,0.1,,True
e344_nullsafe_top6,e344,submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_9fdf1eb9.csv,analysis_outputs/submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_9fdf1eb9.csv,strict and movement-null-safe neighborhood row,-0.0002496450485156,-5.0106014816578314e-05,0.0146817231410287,0.0003182768589712996,1.0601481657831162e-07,cellveto,0.1,,True
e345_nullsafe_top1,e345,submission_e345_counterrefine_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_105_v0_35_q1q2s1_counter_61d91c4c.csv,analysis_outputs/submission_e345_counterrefine_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_105_v0_35_q1q2s1_counter_61d91c4c.csv,strict and movement-null-safe neighborhood row,-0.0002465802797464,-5.188773301777247e-05,0.0146558258772985,0.0003441741227014992,1.8877330177724682e-06,q1q2s1_counter,0.105,0.35,True
e345_nullsafe_top2,e345,submission_e345_counterrefine_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_105_v0_35_q1s1_counter_61d91c4c.csv,analysis_outputs/submission_e345_counterrefine_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_105_v0_35_q1s1_counter_61d91c4c.csv,strict and movement-null-safe neighborhood row,-0.0002465802797464,-5.188773301777247e-05,0.0146558258772985,0.0003441741227014992,1.8877330177724682e-06,q1s1_counter,0.105,0.35,True
