set,view,pending_pair,neighbor_rank,neighbor_pair,neighbor_family,neighbor_direction,distance,vote_new_won,vote_new_lost
top4,sequence_only,e176_vs_e95_pending,1,e72_vs_e95,q2s3_gate_fail,new_lost,15.657752269998266,0.49754817820718766,0.5024518217928124
top4,sequence_only,e176_vs_e95_pending,2,e101_vs_mixmin,mixmin_relative_success,new_won,17.148793974294115,0.49754817820718766,0.5024518217928124
top4,sequence_only,e176_vs_e95_pending,3,e95_vs_mixmin,frontier_hardtail_success,new_won,17.148793974294602,0.49754817820718766,0.5024518217928124
top4,sequence_only,e176_vs_e95_pending,4,e101_vs_e95,frontier_near_loss,new_lost,17.14879397429606,0.49754817820718766,0.5024518217928124
top4,sequence_only,e176_vs_e95_pending,5,mixmin_vs_a2c8,broad_public_success,new_won,18.578790648235902,0.49754817820718766,0.5024518217928124
top4,sequence_only,e176_vs_e95_pending,6,e72_vs_mixmin,q2s3_gate_fail,new_lost,20.01932730412819,0.49754817820718766,0.5024518217928124
top4,sequence_axis,e176_vs_e95_pending,1,e72_vs_e95,q2s3_gate_fail,new_lost,18.687273952753372,0.505578784918524,0.49442121508147585
top4,sequence_axis,e176_vs_e95_pending,2,mixmin_vs_a2c8,broad_public_success,new_won,19.581029167019253,0.505578784918524,0.49442121508147585
top4,sequence_axis,e176_vs_e95_pending,3,e101_vs_mixmin,mixmin_relative_success,new_won,20.090774735160753,0.505578784918524,0.49442121508147585
top4,sequence_axis,e176_vs_e95_pending,4,e95_vs_mixmin,frontier_hardtail_success,new_won,20.090774735161183,0.505578784918524,0.49442121508147585
top4,sequence_axis,e176_vs_e95_pending,5,e101_vs_e95,frontier_near_loss,new_lost,20.090774735162473,0.505578784918524,0.49442121508147585
top4,sequence_axis,e176_vs_e95_pending,6,e72_vs_mixmin,q2s3_gate_fail,new_lost,22.723347993122847,0.505578784918524,0.49442121508147585
top4,sequence_axis_flank,e176_vs_e95_pending,1,e72_vs_e95,q2s3_gate_fail,new_lost,18.870966271406505,0.5057612316288926,0.49423876837110725
top4,sequence_axis_flank,e176_vs_e95_pending,2,mixmin_vs_a2c8,broad_public_success,new_won,19.68160333305862,0.5057612316288926,0.49423876837110725
top4,sequence_axis_flank,e176_vs_e95_pending,3,e101_vs_mixmin,mixmin_relative_success,new_won,20.188809672171836,0.5057612316288926,0.49423876837110725
top4,sequence_axis_flank,e176_vs_e95_pending,4,e95_vs_mixmin,frontier_hardtail_success,new_won,20.188809672172265,0.5057612316288926,0.49423876837110725
top4,sequence_axis_flank,e176_vs_e95_pending,5,e101_vs_e95,frontier_near_loss,new_lost,20.188809672173548,0.5057612316288926,0.49423876837110725
top4,sequence_axis_flank,e176_vs_e95_pending,6,e72_vs_mixmin,q2s3_gate_fail,new_lost,22.760732082032863,0.5057612316288926,0.49423876837110725
top16,sequence_only,e176_vs_e95_pending,1,e72_vs_e95,q2s3_gate_fail,new_lost,18.51136397997582,0.4927290559106128,0.5072709440893872
top16,sequence_only,e176_vs_e95_pending,2,e101_vs_mixmin,mixmin_relative_success,new_won,19.40512714209814,0.4927290559106128,0.5072709440893872
top16,sequence_only,e176_vs_e95_pending,3,e95_vs_mixmin,frontier_hardtail_success,new_won,19.405127142098166,0.4927290559106128,0.5072709440893872
top16,sequence_only,e176_vs_e95_pending,4,e101_vs_e95,frontier_near_loss,new_lost,19.405127142098237,0.4927290559106128,0.5072709440893872
top16,sequence_only,e176_vs_e95_pending,5,e72_vs_mixmin,q2s3_gate_fail,new_lost,19.65013676739853,0.4927290559106128,0.5072709440893872
top16,sequence_only,e176_vs_e95_pending,6,mixmin_vs_a2c8,broad_public_success,new_won,20.452588118199625,0.4927290559106128,0.5072709440893872
top16,sequence_axis,e176_vs_e95_pending,1,e72_vs_e95,q2s3_gate_fail,new_lost,23.143363127763653,0.49926864089801704,0.500731359101983
top16,sequence_axis,e176_vs_e95_pending,2,mixmin_vs_a2c8,broad_public_success,new_won,23.60324404759949,0.49926864089801704,0.500731359101983
