candidate_id,basename,source_path,policy_id,target,view_id,split,rep,label_mode,gate_group,model,top_frac,delta_mode,scale,train_actual_delta,train_dominance,train_min_mode_dominance,test_selected_rows,test_delta_mean,test_delta_p90_abs,test_delta_l1
Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow_tf35_raw_s025,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow_tf35_raw_s025_4acef983.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow_tf35_raw_s025_4acef983.csv,Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow,Q3,raw_human_context,subject5,pc,strong35,dateblock5,hgb_shallow,0.35,raw,0.25,-0.02439916679475762,0.96875,0.90625,88,0.0011200000000000001,0.02,1.7600000000000002
Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow_tf35_raw_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow_tf35_raw_s050_88246d9b.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow_tf35_raw_s050_88246d9b.csv,Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow,Q3,raw_human_context,subject5,pc,strong35,dateblock5,hgb_shallow,0.35,raw,0.5,-0.02439916679475762,0.96875,0.90625,88,0.0022400000000000002,0.04,3.5200000000000005
Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow_tf35_centered_s025,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow_tf35_centered_s025_7e33df7a.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow_tf35_centered_s025_7e33df7a.csv,Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow,Q3,raw_human_context,subject5,pc,strong35,dateblock5,hgb_shallow,0.35,centered,0.25,-0.02439916679475762,0.96875,0.90625,88,0.002475430717408364,0.02,1.4211423206479088
Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow_tf35_centered_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow_tf35_centered_s050_46d350a9.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow_tf35_centered_s050_46d350a9.csv,Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow,Q3,raw_human_context,subject5,pc,strong35,dateblock5,hgb_shallow,0.35,centered,0.5,-0.02439916679475762,0.96875,0.90625,88,0.004950861434816728,0.04,2.8422846412958176
Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1_tf50_raw_s025,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1_tf50_raw_s025_77b15632.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1_tf50_raw_s025_77b15632.csv,Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1,Q3,raw_human_context,subject5,pc,strong35,dateblock5,lr_l1,0.5,raw,0.25,-0.024375984797601502,0.8645833333333334,0.625,125,-0.0012,0.02,2.5
Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1_tf50_raw_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1_tf50_raw_s050_d61c5c1d.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1_tf50_raw_s050_d61c5c1d.csv,Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1,Q3,raw_human_context,subject5,pc,strong35,dateblock5,lr_l1,0.5,raw,0.5,-0.024375984797601502,0.8645833333333334,0.625,125,-0.0024,0.04,5.0
Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1_tf50_centered_s025,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1_tf50_centered_s025_ef7d491f.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1_tf50_centered_s025_ef7d491f.csv,Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1,Q3,raw_human_context,subject5,pc,strong35,dateblock5,lr_l1,0.5,centered,0.25,-0.024375984797601502,0.8645833333333334,0.625,125,0.0013643283842860946,0.02,1.8589179039284764
Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1_tf50_centered_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1_tf50_centered_s050_3577ff3f.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1_tf50_centered_s050_3577ff3f.csv,Q3_raw_human_context_subject5_pc_strong35_dateblock5_lr_l1,Q3,raw_human_context,subject5,pc,strong35,dateblock5,lr_l1,0.5,centered,0.5,-0.024375984797601502,0.8645833333333334,0.625,125,0.0027286567685721893,0.04,3.717835807856953
Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_raw_s025,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_raw_s025_4cb9a5d6.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_raw_s025_4cb9a5d6.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2,Q3,raw_human_context,subject5,pc,good,dateblock5,lr_l2,0.5,raw,0.25,-0.02281324244872729,0.9583333333333334,0.9375,125,0.005512581542127258,0.02,2.402801916278909
Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_raw_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_raw_s050_b7ccfa00.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_raw_s050_b7ccfa00.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2,Q3,raw_human_context,subject5,pc,good,dateblock5,lr_l2,0.5,raw,0.5,-0.02281324244872729,0.9583333333333334,0.9375,125,0.011025163084254516,0.04,4.805603832557818
