target,view_id,split,policy,mode,rep,null_delta
Q2,jepa_resid,subject,abs_q75,row,0,0.002210504319812734
Q2,jepa_resid,subject,abs_q75,row,1,0.0019390543890663858
Q2,jepa_resid,subject,abs_q75,row,2,0.005105474154127876
Q2,jepa_resid,subject,abs_q75,row,3,0.0017607602949162304
Q2,jepa_resid,subject,abs_q75,row,4,0.00034174667369712974
Q2,jepa_resid,subject,abs_q75,row,5,0.003941108555013839
Q2,jepa_resid,subject,abs_q75,row,6,0.005777043734510712
Q2,jepa_resid,subject,abs_q75,row,7,0.005379840720705187
Q2,jepa_resid,subject,abs_q75,row,8,-0.002555925866577158
Q2,jepa_resid,subject,abs_q75,row,9,0.0009051244995446073
Q2,jepa_resid,subject,abs_q75,subject,0,-0.009836610872562268
Q2,jepa_resid,subject,abs_q75,subject,1,-0.00452812680739656
Q2,jepa_resid,subject,abs_q75,subject,2,0.008047198291996183
Q2,jepa_resid,subject,abs_q75,subject,3,-0.008364075203757593
Q2,jepa_resid,subject,abs_q75,subject,4,0.008560427354115996
Q2,jepa_resid,subject,abs_q75,subject,5,0.004163728522366905
Q2,jepa_resid,subject,abs_q75,subject,6,0.004788202163838129
Q2,jepa_resid,subject,abs_q75,subject,7,-0.02805895315312268
Q2,jepa_resid,subject,abs_q75,subject,8,0.0033282045178695263
Q2,jepa_resid,subject,abs_q75,subject,9,0.001892783477793314
Q2,jepa_resid,subject,abs_q75,dateblock,0,-0.00894926477076785
Q2,jepa_resid,subject,abs_q75,dateblock,1,-0.0010673665733959004
Q2,jepa_resid,subject,abs_q75,dateblock,2,0.003278461644023345
Q2,jepa_resid,subject,abs_q75,dateblock,3,0.005005550976240891
Q2,jepa_resid,subject,abs_q75,dateblock,4,0.0070262620354044625
Q2,jepa_resid,subject,abs_q75,dateblock,5,-0.007374108309665783
Q2,jepa_resid,subject,abs_q75,dateblock,6,-0.001425919071674886
Q2,jepa_resid,subject,abs_q75,dateblock,7,-0.0231267490336986
Q2,jepa_resid,subject,abs_q75,dateblock,8,0.0022408989844554528
Q2,jepa_resid,subject,abs_q75,dateblock,9,-0.009029040535849853
Q2,jepa_resid,subject,abs_q85,row,0,-0.0027261487971579346
Q2,jepa_resid,subject,abs_q85,row,1,0.004660088422691611
Q2,jepa_resid,subject,abs_q85,row,2,0.0047890615698953365
Q2,jepa_resid,subject,abs_q85,row,3,0.0018770581806115683
Q2,jepa_resid,subject,abs_q85,row,4,0.0025629895475659525
Q2,jepa_resid,subject,abs_q85,row,5,0.0024699343918807015
Q2,jepa_resid,subject,abs_q85,row,6,-0.0017765773232480964
Q2,jepa_resid,subject,abs_q85,row,7,0.0025003679419697278
Q2,jepa_resid,subject,abs_q85,row,8,0.0009369949969996183
Q2,jepa_resid,subject,abs_q85,row,9,0.004934986590977464
Q2,jepa_resid,subject,abs_q85,subject,0,-0.010554362681968188
Q2,jepa_resid,subject,abs_q85,subject,1,0.014158843583094716
Q2,jepa_resid,subject,abs_q85,subject,2,-0.018785599138959386
Q2,jepa_resid,subject,abs_q85,subject,3,0.0008008440106367365
Q2,jepa_resid,subject,abs_q85,subject,4,0.006521136266868788
Q2,jepa_resid,subject,abs_q85,subject,5,-0.0035439370174442653
Q2,jepa_resid,subject,abs_q85,subject,6,0.0036543626727567613
Q2,jepa_resid,subject,abs_q85,subject,7,-0.00865308428878131
Q2,jepa_resid,subject,abs_q85,subject,8,0.014957018457553706
Q2,jepa_resid,subject,abs_q85,subject,9,-0.0030232088131304513
Q2,jepa_resid,subject,abs_q85,dateblock,0,0.016500438344140056
Q2,jepa_resid,subject,abs_q85,dateblock,1,-0.009675907324575128
Q2,jepa_resid,subject,abs_q85,dateblock,2,0.0033643144328924235
Q2,jepa_resid,subject,abs_q85,dateblock,3,-0.0004550571676636972
Q2,jepa_resid,subject,abs_q85,dateblock,4,-0.011925743186609994
Q2,jepa_resid,subject,abs_q85,dateblock,5,-0.00535957702013623
Q2,jepa_resid,subject,abs_q85,dateblock,6,0.00014538245186845877
Q2,jepa_resid,subject,abs_q85,dateblock,7,-0.009050507653788231
