target,case,n_rows,n_blocks,true_rate,base_mean_pred,anchor_mean_pred,base_loss,anchor_loss,anchor_delta
Q1,diff01,87,9,0.4482758620689655,0.5603839214045427,0.5,0.5962528292001901,0.6931471805599455,0.09689435135975544
Q1,diff10,60,6,0.4666666666666667,0.43448279864699957,0.5,0.6471013712197347,0.6931471805599454,0.04604580934021074
Q1,next0,50,5,0.34,0.40216547390319085,0.25,0.49753261535811516,0.6612102505989381,0.16367763524082296
Q1,next1,45,5,0.5777777777777777,0.5558090879473727,0.75,0.4695950155617876,0.7515405943338715,0.2819455787720839
Q1,prev0,50,6,0.56,0.4011617163388155,0.25,0.6923055863793773,0.9029049541059223,0.21059936772654497
Q1,prev1,35,4,0.6285714285714286,0.6015168716780224,0.75,0.49943485274757454,0.6957380653856502,0.19630321263807565
Q1,same0,55,7,0.34545454545454546,0.3490419598539628,0.15000000000000002,0.6095403804749804,0.7617447486318479,0.15220436815686755
Q1,same1,68,8,0.6470588235294118,0.6357268110731025,0.85,0.5331642038307031,0.774731066693577,0.241566862862874
Q2,diff01,55,6,0.5818181818181818,0.5480156203129444,0.5,0.6340056969974545,0.6931471805599455,0.05914148356249105
Q2,diff10,77,9,0.6363636363636364,0.5502424865893714,0.5,0.6345228318861459,0.6931471805599454,0.05862434867379951
Q2,next0,39,4,0.38461538461538464,0.45933762807554895,0.25,0.6793922748761286,0.7102252604010538,0.030832985524925194
Q2,next1,56,6,0.5178571428571429,0.653763916267879,0.75,0.6569439184828018,0.8173701402024766,0.1604262217196748
Q2,prev0,31,4,0.6129032258064516,0.44197068213308166,0.25,0.7100234233738718,0.9610250880870739,0.25100166471320207
Q2,prev1,54,6,0.7222222222222222,0.6388943726630479,0.75,0.5444932036377812,0.5928521526373667,0.04835894899958548
Q2,same0,47,5,0.3617021276595745,0.41975765852424773,0.15000000000000005,0.6998936556921928,0.7899278218721966,0.09003416618000382
Q2,same1,91,10,0.5824175824175825,0.6516070310856241,0.8499999999999996,0.6376628702492845,0.8868578317477532,0.24919496149846876
Q3,diff01,74,8,0.6891891891891891,0.6112627469524909,0.5,0.61667088428385,0.6931471805599454,0.07647629627609542
Q3,diff10,85,10,0.5294117647058824,0.6056065942449624,0.5,0.6456116749381805,0.6931471805599454,0.047535505621764895
Q3,next0,26,3,0.5384615384615384,0.5688198233865079,0.25,0.6223788939792836,0.8792425355807629,0.25686364160147934
Q3,next1,69,7,0.5507246376811594,0.6356092518209,0.75,0.6557357930760728,0.7812615064910764,0.12552571341500363
Q3,prev0,28,4,0.5357142857142857,0.621543482895612,0.25,0.7253998643820211,0.8762243699525538,0.15082450557053273
Q3,prev1,57,6,0.7017543859649122,0.6017344295511111,0.75,0.5969285941660273,0.6153383690720943,0.01840977490606699
Q3,same0,35,4,0.6,0.597568246657796,0.15000000000000002,0.5672759662154971,1.203279562730639,0.6360035965151418
Q3,same1,76,8,0.6052631578947368,0.5861508001943015,0.85,0.6253654785194619,0.8472298724141328,0.22186439389467094
S1,diff01,53,6,0.5283018867924528,0.5848386151859223,0.5,0.5104808309410396,0.6931471805599454,0.18266634961890582
S1,diff10,54,6,0.5925925925925926,0.5352960874755769,0.5,0.5782902715690675,0.6931471805599455,0.11485690899087797
S1,next0,12,1,0.4166666666666667,0.3538676216949918,0.25,0.3836342572011248,0.7454371927301598,0.36180293552903503
S1,next1,83,9,0.7349397590361446,0.7134677510603684,0.75,0.4369318361267074,0.5788805104120026,0.14194867428529523
S1,prev0,41,5,0.6097560975609756,0.5593337940645186,0.25,0.579396100154695,0.9575676143225795,0.3781715141678845
S1,prev1,44,5,0.8636363636363636,0.8264890162177706,0.75,0.32306099786308234,0.4374928390883412,0.11443184122525885
S1,same0,21,3,0.5238095238095238,0.5698526799618185,0.14999999999999997,0.5508633551730892,1.0711194823201164,0.5202561271470273
S1,same1,142,15,0.7535211267605634,0.7972937852644545,0.8499999999999999,0.4706641372232024,0.590061443149773,0.11939730592657066
S2,diff01,36,4,0.5833333333333334,0.5030636078918871,0.5,0.714479682690662,0.6931471805599451,-0.021332502130716913
S2,diff10,20,3,0.5,0.44268304143432413,0.5,0.7221267009794387,0.6931471805599453,-0.028979520419493365
S2,next0,23,3,0.34782608695652173,0.3405143290418096,0.25,0.5522181965694514,0.6698080859015584,0.11758988933210701
S2,next1,72,7,0.7638888888888888,0.7544277318731911,0.75,0.5466744682261048,0.5470766406095291,0.00040217238342432626
S2,prev0,31,4,0.3870967741935484,0.46833841937577575,0.25,0.656585203714869,0.7129513454845975,0.05636614176972854
S2,prev1,54,6,0.6666666666666666,0.811685970400071,0.75,0.5600245087265148,0.6538861686744839,0.09386165994796913
S2,same0,46,6,0.34782608695652173,0.3663927747252439,0.15000000000000005,0.5507141547022733,0.7658584270240726,0.21514427232179933
S2,same1,168,17,0.8035714285714286,0.7718254738424088,0.8499999999999998,0.44271043806716814,0.503244136806153,0.06053369873898484
S3,diff01,32,4,0.5625,0.6252062310950086,0.5,0.6325884968540101,0.6931471805599453,0.0605586837059352
S3,diff10,40,5,0.525,0.5449136891603397,0.5,0.49398465338207076,0.6931471805599453,0.19916252717787453
S3,next0,44,5,0.5681818181818182,0.4570136207351506,0.25,0.5392545776877168,0.9118936001041157,0.3726390224163989
S3,next1,51,5,0.8431372549019608,0.7973216473699312,0.75,0.40009481019510784,0.46001341185070005,0.05991860165559221
S3,prev0,34,4,0.5294117647058824,0.5392890484874784,0.25,0.6145063281990517,0.869300342923133,0.25479401472408125
S3,prev1,51,6,0.7058823529411765,0.7726854131454567,0.75,0.5450763571981353,0.6108033338247543,0.06572697662661897
S3,same0,43,5,0.37209302325581395,0.3413306792778021,0.15000000000000002,0.6035064695660586,0.8079518803398609,0.2044454107738023
S3,same1,155,16,0.7806451612903226,0.7880881881190606,0.8499999999999996,0.43722460274545827,0.5430120642280692,0.10578746148261098
S4,diff01,95,10,0.5368421052631579,0.5344277860255103,0.5,0.6155820627048126,0.6931471805599454,0.07756511785513276
S4,diff10,36,4,0.4722222222222222,0.5100310620465667,0.5,0.5911923927753375,0.6931471805599451,0.10195478778460754
S4,next0,24,3,0.5,0.37159070809854305,0.25,0.7472078857143888,0.8369882167858358,0.089780331071447
S4,next1,71,7,0.647887323943662,0.5984266865997783,0.75,0.620911546142154,0.6745173853630869,0.05360583922093287
S4,prev0,33,4,0.30303030303030304,0.44926479590858326,0.25,0.6747673092151801,0.6205948871996929,-0.05417242201548722
S4,prev1,52,6,0.6923076923076923,0.6514243338019294,0.75,0.5236797575689325,0.6257166228111992,0.10203686524226674
S4,same0,50,6,0.38,0.400614116996046,0.15000000000000002,0.5810291589960344,0.8216673305452553,0.24063817154922096
S4,same1,89,10,0.6853932584269663,0.7141698952839317,0.8499999999999998,0.5752895541352013,0.7082361154625725,0.13294656132737115
