keep_targets,evaluated,strict,deployable,unique_source_files,unique_seed_ranks,source_families,best_all_delta,median_all_delta,worst_strict_all_delta,best_inverse_top_delta,worst_strict_inverse_top_delta,best_world,best_raw_energy
"S1,S2,S3",80,80,80,18,80,"gate,rawcorr_micro,rawcorr_refine",-2.387582191021309e-05,-2.3303357111259526e-05,-2.2599696741010256e-05,-8.651093079792282e-06,-4.003262107588057e-06,-0.0001476224178872,-6.496533625621748e-05
"Q2,S1,S2,S3",80,80,80,18,80,"gate,rawcorr_micro,rawcorr_refine",-2.382255741384398e-05,-2.3160697265489638e-05,-2.2964475070330614e-05,-8.712976644953407e-06,-4.566295996988323e-06,-0.0004422559895573,-0.0002794611179934
"Q2,S1,S3,S4",80,80,80,18,80,"gate,rawcorr_micro,rawcorr_refine",-1.9435732900197067e-05,-1.8739652695831666e-05,-1.846693409379707e-05,-5.989805641370971e-06,-1.4567536337217746e-06,-0.0005193992573815,-0.0002997623015909
"S1,S3,S4",80,80,80,18,80,"gate,rawcorr_micro,rawcorr_refine",-1.9435732900197067e-05,-1.8877571199782395e-05,-1.8029540341579775e-05,-5.82074564792201e-06,-6.692945592190469e-07,-0.0002234375402549,-0.0001109277249615
"Q2,S1,S3",80,80,80,18,80,"gate,rawcorr_micro,rawcorr_refine",-1.6321165997257303e-05,-1.56187592199597e-05,-1.538294929337436e-05,-1.932679933225323e-05,-1.4849736567845715e-05,-0.0005448869992743,-0.0003068897541594
"S1,S3",80,80,80,18,80,"gate,rawcorr_micro,rawcorr_refine",-1.6321165997257303e-05,-1.583408334182579e-05,-1.5037030145048648e-05,-1.9193903471492743e-05,-1.4221411802850524e-05,-0.0002435931255223,-0.0001066499862146
"Q2,S2,S3",80,55,55,18,55,"gate,rawcorr_micro,rawcorr_refine",-1.3819931565794974e-05,-1.3594834479380148e-05,-1.3395059291876343e-05,-6.881491084520519e-06,-2.4322039618995817e-06,-0.0002406699779195,-0.0001376457233022
"Q2,S1",15,0,0,0,0,,,,,,,,
"Q2,S3,S4",12,0,0,0,0,,,,,,,,
S1,4,0,0,0,0,,,,,,,,
"S2,S3",80,0,0,0,0,,,,,,,,
"S3,S4",29,0,0,0,0,,,,,,,,
