candidate,direction,actual_anchor_score_final,anchor_delta_vs_mixmin,mean_actual_anchor,min_set_score,max_set_score,mean_abs_prob_move_vs_mixmin,mean_abs_logit_move_vs_mixmin,max_abs_logit_move_vs_mixmin,pred_index,band,target_mask,cell_gate,row_gate,weight,cap,active_gate_mean,hash,world_all_worlds,world_all_better_rate,world_all_median_delta,world_all_p90_delta,world_all_max_delta,raw_energy_half_worlds,raw_energy_half_better_rate,raw_energy_half_median_delta,raw_energy_half_p90_delta,raw_energy_half_max_delta,raw_energy_quarter_worlds,raw_energy_quarter_better_rate,raw_energy_quarter_median_delta,raw_energy_quarter_p90_delta,raw_energy_quarter_max_delta,low_slack_half_worlds,low_slack_half_better_rate,low_slack_half_median_delta,low_slack_half_p90_delta,low_slack_half_max_delta,mean_prob_delta_Q1,mean_abs_prob_delta_Q1,mean_prob_delta_Q2,mean_abs_prob_delta_Q2,mean_prob_delta_Q3,mean_abs_prob_delta_Q3,mean_prob_delta_S1,mean_abs_prob_delta_S1,mean_prob_delta_S2,mean_abs_prob_delta_S2,mean_prob_delta_S3,mean_abs_prob_delta_S3,mean_prob_delta_S4,mean_abs_prob_delta_S4,world_support_score,prefilter_keep,anchor_beats_mixmin,anchor_margin_gate,movement_guard,world_guard,eligible_submission_gate,diagnostic_reverse_gate,selection_score
mixmin,reference,0.5777344877066474,0.0,0.5776007350054972,0.5772305660209559,0.578037556989407,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2c8,reference,0.5778270681645602,9.258045791282754e-05,0.5777841604763623,0.5777214450713848,0.5779985663687973,0.00849582438014208,0.04561420000223732,0.08210850000001058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw05,reference,0.5779059943862466,0.00017150667959919819,0.5778501495454361,0.5777302084275879,0.5781360888903859,0.009174226027820472,0.049029823053049724,0.1855896083238608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toward_teacher|low_slack_half|no_q2|raw_agree|all|w0.070|c0.120,toward_teacher,0.5777304068446932,-4.080861954136594e-06,0.577591960952196,0.5772020083577288,0.5780470954282139,0.0007927260232133312,0.004192490592857838,0.00840000000000396,79127.0,low_slack_half,no_q2,raw_agree,all,0.07,0.12,0.5268571428571428,b15af68d,45.0,1.0,-0.0005084151791895364,-0.00031927968586094037,-0.00028307655704906676,22.0,1.0,-0.0005277941419591925,-0.00034090022855738346,-0.000293600603008648,11.0,1.0,-0.0008602646055809737,-0.0005281999321445907,-0.0005273883517737943,22.0,1.0,-0.0005625095486737619,-0.00044612387664009204,-0.00033816266373820625,-2.5210277801986592e-05,0.0009009058142956173,7.993605777301126e-18,1.0658141036401503e-17,-2.2428329931421853e-05,0.0010852737283823086,0.0002542116766237127,0.001011943625006526,0.0004202252629921767,0.0009128061411993065,0.0003739001133310342,0.0007458420304312685,-0.00019200967141871317,0.0008923108231782811,-0.001043156106536075,True,True,False,True,True,False,False,-4.080861954136594e-06
toward_teacher|low_slack_half|no_q2|raw_agree|all|w0.095|c0.120,toward_teacher,0.5777305018695978,-3.985837049524932e-06,0.5775903952437952,0.5771933392086334,0.5780519868149168,0.0010761248405048236,0.005689808661735642,0.011400000000004074,79128.0,low_slack_half,no_q2,raw_agree,all,0.095,0.12,0.5268571428571428,b3d6e932,45.0,1.0,-0.000688410916859783,-0.00043172703305658364,-0.00038259421538333616,22.0,1.0,-0.0007147109377614314,-0.0004610691981445145,-0.0003968768491857677,11.0,1.0,-0.0011659208526766385,-0.0007152616530130551,-0.0007141602225098076,22.0,1.0,-0.0007618247040169224,-0.0006038727205427085,-0.00045735393160417637,-3.425273662270234e-05,0.0012231274155601389,7.993605777301126e-18,1.0658141036401503e-17,-3.0852301581460016e-05,0.0014732489054003928,0.0003447098995168724,0.0013739352801218918,0.0005700074552807738,0.0012389251825964678,0.0005071039506505759,0.0010122614477498777,-0.0002608569294382235,0.0012113756521049857,-0.0014135773576158805,True,True,False,True,True,False,False,-3.985837049524932e-06
toward_teacher|low_slack_half|no_q2|raw_agree|all|w0.095|c0.080,toward_teacher,0.5777305066974292,-3.981009218168019e-06,0.5775923496674928,0.5772040068530608,0.578046185672178,0.0007327464991963891,0.0038699903900459224,0.007600000000004048,79120.0,low_slack_half,no_q2,raw_agree,all,0.095,0.08,0.5268571428571428,04468d83,45.0,1.0,-0.00045484807613072054,-0.0002889007906561991,-0.00025040493086736504,22.0,1.0,-0.0004808339490934288,-0.0003092162389788598,-0.00026612449757257295,11.0,1.0,-0.0007789605244123976,-0.0004817831905957748,-0.0004798847075910828,22.0,1.0,-0.0005081413601584761,-0.000404091757529601,-0.00031027587684873126,-2.8141972802565418e-05,0.0008322563891317565,7.993605777301126e-18,1.0658141036401503e-17,-2.326375711271189e-05,0.0009940793411611307,0.00023094726906420287,0.0009223456443457938,0.00038917844073126296,0.0008544340667466771,0.0003436980149344994,0.0006987404600133233,-0.0001793916952726944,0.0008273695929760325,-0.0009448911296744134,True,True,False,True,True,False,False,-3.981009218168019e-06
toward_teacher|low_slack_half|all|raw_agree|raw_row_top50|w0.095|c0.120,toward_teacher,0.5777305907081198,-3.896998527541662e-06,0.5775931480392097,0.5772078062994677,0.5780439141571709,0.000641233283010092,0.0035632811311392416,0.011400000000004074,77280.0,low_slack_half,all,raw_agree,raw_row_top50,0.095,0.12,0.32971428571428574,ceae1793,45.0,1.0,-0.00042569253828628195,-0.00022742573184331147,-0.0001427512951318599,22.0,1.0,-0.0005854750045596324,-0.00033081592193169297,-0.00027987052527200795,11.0,1.0,-0.0009143609528984298,-0.0005895726660777312,-0.00058348878288772,22.0,1.0,-0.00043916638564334143,-0.00031691470888531856,-0.0002196534140315176,-3.3025252253956584e-05,0.0006730670960369489,0.0001567838784033444,0.0008828707815653309,-3.601233329835774e-05,0.0007247579212799562,0.00026900130421079197,0.0006577763149327913,0.0004011147815594457,0.000573445372194644,0.00021031871625862037,0.00040223695492479656,-7.086031569097428e-05,0.000574478540136177,-0.0011043233732464907,True,True,False,True,True,False,False,-3.896998527541662e-06
toward_teacher|all|no_q2|raw_agree|all|w0.070|c0.120,toward_teacher,0.5777307103928222,-3.7773138251706584e-06,0.5775921197450798,0.5772012516466494,0.5780478642758589,0.0008120958661978333,0.0042809032555701535,0.00840000000000396,2261.0,all,no_q2,raw_agree,all,0.07,0.12,0.536,953b1f0d,45.0,1.0,-0.0005019714888592208,-0.0003798013579265902,-0.0002695754865561506,22.0,1.0,-0.0005639601590994303,-0.0005097335224360844,-0.0004659090422128864,11.0,1.0,-0.0009622602911031342,-0.0005309491991961623,-0.0005301187089337134,22.0,1.0,-0.0004830652854717066,-0.0004004177853024648,-0.0002695754865561506,1.492079763410864e-05,0.0009342443838217222,7.993605777301126e-18,1.0658141036401503e-17,5.276268214159186e-05,0.0011006100901946986,0.0002848111876962744,0.000986792109434025,0.00042320827669068415,0.0009515972055941731,0.0003715299826858343,0.0007614582959107305,-0.00016139361320948088,0.0009499689784294735,-0.0011451947397880969,True,True,False,True,True,False,False,-3.7773138251706584e-06
toward_teacher|all|no_q2|raw_agree|all|w0.095|c0.080,toward_teacher,0.5777307726222923,-3.7150843550382007e-06,0.577592624410164,0.577203575229052,0.578046650652938,0.0007495382798127645,0.00395089272778445,0.007600000000004048,2254.0,all,no_q2,raw_agree,all,0.095,0.08,0.536,6b366ccf,45.0,1.0,-0.0004508650721545271,-0.00034160873139188475,-0.00024924578119855934,22.0,1.0,-0.0005083435289373051,-0.0004598557563040617,-0.0004248225553563634,11.0,1.0,-0.0008711469463575927,-0.0004802474734981743,-0.0004791203795705412,22.0,1.0,-0.0004356189473623262,-0.00036284615124047013,-0.00024924578119855934,9.820446870488886e-06,0.0008632936863074115,7.993605777301126e-18,1.0658141036401503e-17,4.924982024570856e-05,0.0010107557325808234,0.0002533755628329191,0.0009022231369280325,0.0003822995710137334,0.0008808749353760912,0.0003404488638280861,0.0007066923906748755,-0.00014364275973123957,0.0008829280768221075,-0.001036295321947589,True,True,False,True,True,False,False,-3.7150843550382007e-06
toward_teacher|all|all|raw_agree|raw_row_top50|w0.095|c0.120,toward_teacher,0.5777309326034497,-3.5551031977165692e-06,0.5775927016370023,0.5772054200823209,0.5780457887913575,0.0006681370398253013,0.003689744634115451,0.011400000000004074,431.0,all,all,raw_agree,raw_row_top50,0.095,0.12,0.33714285714285713,c06cde29,45.0,1.0,-0.00040501709630724747,-0.00024717822336262074,-0.0001542260941531648,22.0,1.0,-0.0006714949823466432,-0.00043618040200545935,-0.00037182570935900827,11.0,1.0,-0.000986346407791383,-0.0005653602092573484,-0.0005588459235429388,22.0,1.0,-0.00036754385047610416,-0.00025118188540299566,-0.0001542260941531648,4.709733124392379e-06,0.000708383730571347,0.00013097222198238235,0.0009220316645287887,4.233226766725107e-06,0.0007581683562695045,0.0002846030935916411,0.0006496031686147395,0.0004327166889214736,0.0005766724112469205,0.0002412498437363513,0.00046838492428566804,-4.171145630311435e-05,0.0005937150232601405,-0.0011681881697364449,True,True,False,True,True,False,False,-3.5551031977165692e-06
toward_teacher|all|no_q2|raw_agree|all|w0.095|c0.120,toward_teacher,0.5777310388393634,-3.4488672839838586e-06,0.577590645292606,0.5771925169983585,0.5780532039771354,0.0011024048970792255,0.005809797275416653,0.011400000000004074,2262.0,all,no_q2,raw_agree,all,0.095,0.12,0.536,3763878c,45.0,1.0,-0.0006796255581271726,-0.0005138232375758722,-0.00036423098357307726,22.0,1.0,-0.0007637530391675917,-0.0006901597465529763,-0.0006306836662500759,11.0,1.0,-0.001304303218315539,-0.0007189524507275058,-0.0007178253567998727,22.0,1.0,-0.0006539671392442603,-0.0005418026747287308,-0.00036423098357307726,2.0251674001227737e-05,0.0012683978628807268,7.993605777301126e-18,1.0658141036401503e-17,7.11793536107187e-05,0.0014939867331272155,0.00038628082973586614,0.0013397568452535307,0.0005740546287301407,0.0012915752958619735,0.0005038631373120744,0.0010334649199543367,-0.00021930572377413282,0.001289652622476785,-0.0015520038868101326,True,True,False,True,True,False,False,-3.4488672839838586e-06
