prior,strategy,weight,base_loss,candidate_loss,delta,changed_blocks,Q1_delta,Q2_delta,Q3_delta,S1_delta,S2_delta,S3_delta,S4_delta
uniform_total,nearest,0.75,0.5623851178987495,0.5619038172099254,-0.00048130068882401567,100,0.0,-0.0015224368969247726,-0.00184666792484256,0.0,0.0,0.0,0.0
global_center,nearest,0.75,0.5623851178987495,0.5619038172099254,-0.00048130068882401567,100,0.0,-0.0015224368969247726,-0.00184666792484256,0.0,0.0,0.0,0.0
uniform_total,nearest,1.0,0.5623851178987495,0.5619137378473505,-0.0004713800513989064,100,0.0,-0.001241362672140256,-0.0020582976876520886,0.0,0.0,0.0,0.0
global_center,nearest,1.0,0.5623851178987495,0.5619137378473505,-0.0004713800513989064,100,0.0,-0.001241362672140256,-0.0020582976876520886,0.0,0.0,0.0,0.0
uniform_total,nearest,0.5,0.5623851178987495,0.5619799513507681,-0.00040516654798139484,100,0.0,-0.0014025859018325093,-0.0014335799340366995,0.0,0.0,0.0,0.0
global_center,nearest,0.5,0.5623851178987495,0.5619799513507681,-0.00040516654798139484,100,0.0,-0.0014025859018325093,-0.0014335799340366995,0.0,0.0,0.0,0.0
uniform_total,nearest,0.25,0.5623851178987495,0.5621406476443993,-0.0002444702543501487,100,0.0,-0.0008927888916112625,-0.0008185028888395562,0.0,0.0,0.0,0.0
global_center,nearest,0.25,0.5623851178987495,0.5621406476443993,-0.0002444702543501487,100,0.0,-0.0008927888916112625,-0.0008185028888395562,0.0,0.0,0.0,0.0
uniform_total,range,0.25,0.5623851178987495,0.5623851178987495,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,0.5,0.5623851178987495,0.5623851178987495,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,0.75,0.5623851178987495,0.5623851178987495,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,1.0,0.5623851178987495,0.5623851178987495,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global_center,range,0.25,0.5623851178987495,0.5623851178987495,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global_center,range,0.5,0.5623851178987495,0.5623851178987495,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global_center,range,0.75,0.5623851178987495,0.5623851178987495,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global_center,range,1.0,0.5623851178987495,0.5623851178987495,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,0.25,0.5623851178987495,0.5646556581191605,0.002270540220411066,100,0.0,0.00994813473834033,0.005945646804537352,0.0,0.0,0.0,0.0
global_center,posterior_mean_nearest,0.25,0.5623851178987495,0.5648913992876724,0.0025062813889229485,100,0.0,0.011434893858928152,0.006109075863533042,0.0,0.0,0.0,0.0
global_center,posterior_mean,0.25,0.5623851178987495,0.5649083188226621,0.002523200923912672,100,0.0,0.010134578787657,0.007527827679732146,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,0.25,0.5623851178987495,0.5650310684984283,0.00264595059967887,100,0.0,0.010662672068716628,0.007858982129036352,0.0,0.0,0.0,0.0
global_center,posterior_mode,0.25,0.5623851178987495,0.565336452252618,0.0029513343538685177,100,0.0,0.011989041144225276,0.008670299332854903,0.0,0.0,0.0,0.0
