candidate_id,label,family,source,strategy,selector,target_scope,graft_alpha,selected_cells,selected_s3_cells,all_delta_vs_mixmin,mean_vs_e95_broad_plausible,p95_vs_e95_broad_plausible,beat_e95_rate_broad_plausible,e101_pass,dominates_e101,e106_replaces_e101,prior_healthier_than_e101,tag
c0000,control_e86,control,e86,control,,,,,,-2.7705869828476004e-05,2.0344644904461583e-05,4.660642555632791e-05,0.00028968713789107763,False,False,False,False,e104_control_a3f7c96f
c0001,control_e90,control,e90,control,,,,,,-2.6932385085221e-05,1.3372299834651114e-05,3.124429880987986e-05,0.002607184241019699,False,False,False,False,e104_control_28925de5
c0002,control_e95,control,e95,control,,,,,,-2.6207391227939247e-05,4.435812413452495e-18,2.710505431213761e-20,0.0,False,False,False,False,e104_control_541e3973
c0003,control_e89,control,e89,control,,,,,,-2.5895951955900998e-05,3.833278692823146e-06,1.2551921445197673e-05,0.19582850521436848,False,False,False,False,e104_control_00d7807f
c0004,control_e101,control,e101,control,,,,,,-2.5372405273338394e-05,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,False,False,False,False,e104_control_177569bc
c0005,control_e85,control,e85,control,,,,,,-2.387582191021309e-05,9.659143591790456e-06,1.8271319049969094e-05,0.03186558516801854,False,False,False,False,e104_control_58b23ed1
c0006,control_mixmin,control,mixmin,control,,,,,,0.0,1.5310700000048527e-05,1.5310700000048527e-05,0.0,False,False,False,False,e104_control_0c916bb4
c0007,e104_amp_active_s3_all_a0.005_9bc7ed9a,e104_amp,e95,e95_q2s3_tail_graft,active_s3_all,S3,0.005,39.0,,-2.6196576450865372e-05,-3.355542646145221e-07,-3.0166420376043905e-08,0.977694090382387,True,False,False,False,e104_e95_q2s3_tail_graft_9bc7ed9a
c0008,e104_amp_active_topgap40_a0.005_2126cfc3,e104_amp,e95,e95_q2s3_tail_graft,active_topgap40,Q2+S3,0.005,40.0,,-2.6196560566793536e-05,-3.363272346614486e-07,-3.0185527683490553e-08,0.9782734646581692,True,False,False,False,e104_e95_q2s3_tail_graft_2126cfc3
c0009,e104_amp_active_all_a0.005_6a7b3dd8,e104_amp,e95,e95_q2s3_tail_graft,active_all,Q2+S3,0.005,50.0,,-2.6196455712557132e-05,-3.456806403305958e-07,-3.7230864521383164e-08,0.9869640787949016,True,False,False,False,e104_e95_q2s3_tail_graft_6a7b3dd8
