mask_kind,mask_name,rows,loocv_mae,loocv_median_abs,loocv_max_abs,fit_slack_mean,fit_slack_max,mean_abs_dev,rank_accuracy,a2c8_predicted_best,raw05_direction_correct,mae_over_raw05_gap,mae_over_selector_error,max_abs_over_selector_error,selector_scale_gate,strict_subgap_gate
global_key_order,suffix_frac0.20,50,0.0004295279053926626,0.00022262558716057423,0.0012981684773070157,0.0,0.0,0.1209413662915442,0.8928571428571429,True,True,4.937885611654791,1.96771194656904,5.947044625939198,False,False
raw_cluster,cluster_7_domain_auc_1.000,23,0.0006624631627506622,0.0005007068982647023,0.0017383868742146813,0.0,0.0,0.07530175994073257,0.8571428571428571,True,True,7.615727123962785,3.0348125538310042,7.963730824482708,False,False
global_key_order,suffix_frac0.30,75,0.0007591771064272695,0.0007665262969460129,0.0019423915102046996,0.0,0.0,0.11274470094587125,0.8928571428571429,True,True,8.72755800836257,3.477869174793253,8.89829725044299,False,False
random_control,frac0.30_rep04,75,0.0007981054381452218,0.0006010634798424563,0.0021311425127104044,0.0,0.0,0.06217775251968251,0.8214285714285714,True,True,9.175081083493337,3.656203905598209,9.762985197126753,False,False
global_key_mod,mod7_rem4,36,0.0009408095141045375,0.00042255835958621146,0.002557698812356901,0.0,0.0,0.05521846655021503,0.75,False,True,10.815618041761088,4.309946099210848,11.717083909133352,False,False
raw_domain,missing_high30,75,0.0009840028814586815,0.000656917179487182,0.0037102742795803723,0.0,0.0,0.0582551305169118,0.75,False,True,11.312172292367855,4.507819401243685,16.99715183418407,False,False
subject_order,per_subject_head_frac0.30,75,0.0009891632207319478,0.0005605992612763844,0.0031513949322869994,0.0,0.0,0.05567195689126443,0.75,False,True,11.371495946847125,4.5314594514217355,14.436867497466647,False,False
global_key_order,prefix_frac0.40,100,0.001005226144843191,0.00042447691896790873,0.004036694844464672,0.0,0.0,0.05122000030742378,0.8214285714285714,True,True,11.556156549462688,4.605045375115402,18.49251834486858,False,False
raw_domain,density_radius_low30,75,0.001007368031361311,0.000944701067981335,0.0017743843938627935,0.0,0.0,0.058115423668973196,0.7857142857142857,False,True,11.580779840491832,4.614857579717213,8.128639200793417,False,False
raw_domain,missing_low40,104,0.0010538056070865387,0.000736942238949656,0.0027378458802959083,0.0,0.0,0.06553823688819475,0.7142857142857143,False,True,12.114629758354814,4.8275929372505075,12.54235633793845,False,False
subject_order,per_subject_mid_frac0.30,75,0.0010561940992361157,0.000488832980004128,0.004523302093218939,0.0,0.0,0.052565524017827006,0.75,False,True,12.142088046561177,4.838534867863171,20.721716691796797,False,False
