method,target,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mixmin_better_block_rate,mean_predicted_rate
calendar_count_indep,Q1,0.000649262090596273,-2.9792777753740204e-05,0.4722222222222222,0.46421477637101805
struct_raw_subject_fbsubject_k8_a4_w1.00,Q1,0.0009643069902808135,0.00048308300735645023,0.4722222222222222,0.46866370489553777
struct_raw_subject_fbraw_k8_a4_w1.00,Q1,0.0010014432257998492,0.0005664767684029995,0.4722222222222222,0.47037306223970266
struct_raw_subject_fbsubject_k8_a4_w0.65,Q1,0.0011323051378436205,0.0006295591516426292,0.4166666666666667,0.4725849095302276
struct_raw_subject_fbsubject_k8_a12_w1.00,Q1,0.0011563048800015655,0.0006504843184337891,0.3888888888888889,0.4731450821178623
struct_raw_subject_fbsubject_k16_a4_w1.00,Q1,0.0011747727481807328,0.000837566762680961,0.4444444444444444,0.4784096619469762
struct_raw_subject_fbraw_k8_a4_w0.65,Q1,0.0011954367782316252,0.0007713285642463998,0.4166666666666667,0.47549081997393194
struct_raw_subject_fbraw_k16_a4_w1.00,Q1,0.0011970544781740374,0.0008876030109074562,0.4444444444444444,0.4794352756013844
struct_raw_calendar_subject_fbsubject_k4_a4_w1.00,Q1,0.001202363142797362,0.000578185375093644,0.5277777777777778,0.4685881466708788
struct_raw_subject_fbraw_k8_a12_w1.00,Q1,0.0012231501428647568,0.0008005931065097585,0.4166666666666667,0.47622192822167914
struct_raw_calendar_subject_fbsubject_k8_a4_w1.00,Q1,0.0012466988220253756,0.0007285301901870378,0.4444444444444444,0.47103382721468695
struct_raw_subject_fbsubject_k4_a4_w1.00,Q1,0.0012517330880975645,0.000778031048537933,0.5,0.4733433347582048
struct_raw_subject_fbsubject_k16_a12_w1.00,Q1,0.001251781025644857,0.0008558580552142833,0.5,0.4788260866215327
struct_raw_subject_fbsubject_k8_a12_w0.65,Q1,0.0012571037663645802,0.000738370003942236,0.4166666666666667,0.4754978047395485
struct_raw_calendar_subject_fbraw_k4_a4_w1.00,Q1,0.001258067516508626,0.0007032760258249714,0.5277777777777778,0.471152184220132
struct_raw_subject_fbsubject_k8_a24_w1.00,Q1,0.0012643036893290756,0.0007446475541348826,0.4166666666666667,0.47566585653903687
struct_raw_subject_fbsubject_k16_a4_w0.65,Q1,0.0012691078801982255,0.0008599735925289688,0.5,0.47891978159126974
struct_raw_subject_fbsubject_k8_a4_w0.35,Q1,0.0012763035504744775,0.0007551101326723578,0.4166666666666667,0.4759459421060009
struct_raw_calendar_subject_fbraw_k8_a4_w1.00,Q1,0.0012838350720826104,0.000811923967483166,0.4722222222222222,0.47274318487132216
struct_raw_calendar_subject_fbsubject_k4_a4_w0.65,Q1,0.0012870416373118566,0.000691375690899449,0.4722222222222222,0.47253579670606904
struct_raw_calendar_fbsubject_k4_a4_w1.00,Q1,0.001290807657067583,0.00035158713039544335,0.5277777777777778,0.48273989409903606
struct_raw_subject_fbraw_k16_a12_w1.00,Q1,0.0012995276325420409,0.0009630786116966964,0.4722222222222222,0.4810238331994585
struct_raw_subject_fbraw_k4_a4_w1.00,Q1,0.0013074374618905007,0.0009031216998651109,0.5,0.4759073722962152
struct_raw_subject_fbsubject_k16_a24_w1.00,Q1,0.0013095372305754601,0.0008695765232043332,0.4166666666666667,0.4791384048933938
struct_raw_calendar_subject_fbsubject_k8_a4_w0.65,Q1,0.0013158598281084153,0.0007890998200711744,0.4444444444444444,0.47412548903007184
struct_raw_subject_fbsubject_k4_a4_w0.65,Q1,0.0013191321017550193,0.0008212753786231153,0.4722222222222222,0.475626668963124
struct_raw_subject_fbsubject_k16_a12_w0.65,Q1,0.0013191632606885074,0.0008718629327371879,0.4166666666666667,0.4791904576399838
struct_raw_subject_fbraw_k16_a4_w0.65,Q1,0.0013225840922748522,0.0009800606218742945,0.4444444444444444,0.4813812586590251
struct_raw_calendar_subject_fbsubject_k4_a12_w1.00,Q1,0.0013233324272597265,0.0007398858307296351,0.4444444444444444,0.4742276471589709
struct_raw_calendar_subject_fbsubject_k8_a12_w1.00,Q1,0.0013257399795844412,0.0007977526295001314,0.4444444444444444,0.4745671555124516
struct_raw_subject_fbsubject_k8_a24_w0.65,Q1,0.0013273029925414885,0.0007995761072038995,0.4166666666666667,0.47713630812164737
