combo,fold,delta_mean,Q1_delta,Q2_delta,Q3_delta,S1_delta,S2_delta,S3_delta,S4_delta
q1_rank,geom_r00,-0.0013707459827467794,-0.0095952218792279,0.0,0.0,0.0,0.0,0.0,0.0
q1_rank,geom_r01,-0.00048751942320324204,-0.0034126359624223612,0.0,0.0,0.0,0.0,0.0,0.0
q1_rank,geom_r02,-0.0018857611992361134,-0.013200328394653016,0.0,0.0,0.0,0.0,0.0,0.0
q1_rank,geom_r03,0.0014642268013433934,0.010249587609403865,0.0,0.0,0.0,0.0,0.0,0.0
q1_rank,geom_r04,-0.0018461205113784462,-0.01292284357964868,0.0,0.0,0.0,0.0,0.0,0.0
q1_rank,geom_r05,-0.0012475496352923887,-0.008732847447045944,0.0,0.0,0.0,0.0,0.0,0.0
q1_rank,geom_r06,0.00026553969545028977,0.0018587778681526945,0.0,0.0,0.0,0.0,0.0,0.0
q1_rank,geom_r07,-0.000259380328170411,-0.001815662297192877,0.0,0.0,0.0,0.0,0.0,0.0
s2_rank,geom_r00,0.0003189338875322356,0.0,0.0,0.0,0.0,0.0022325372127255383,0.0,0.0
s2_rank,geom_r01,-8.151191669236724e-05,0.0,0.0,0.0,0.0,-0.0005705834168465707,0.0,0.0
s2_rank,geom_r02,-0.0011536607178241898,0.0,0.0,0.0,0.0,-0.008075625024770217,0.0,0.0
s2_rank,geom_r03,-0.001243253682258194,0.0,0.0,0.0,0.0,-0.008702775775807248,0.0,0.0
s2_rank,geom_r04,-0.0010403938907502797,0.0,0.0,0.0,0.0,-0.007282757235251958,0.0,0.0
s2_rank,geom_r05,-0.00047072906088763133,0.0,0.0,0.0,0.0,-0.003295103426213142,0.0,0.0
s2_rank,geom_r06,-0.001281941599331371,0.0,0.0,0.0,0.0,-0.008973591195319042,0.0,0.0
s2_rank,geom_r07,-0.0005381982676306851,0.0,0.0,0.0,0.0,-0.003767387873414574,0.0,0.0
s4_deep_rank,geom_r00,-0.0006358120865546102,0.0,0.0,0.0,0.0,0.0,0.0,-0.004450684605882604
s4_deep_rank,geom_r01,-0.00040813096107017444,0.0,0.0,0.0,0.0,0.0,0.0,-0.002856916727490555
s4_deep_rank,geom_r02,-0.0007688964163272693,0.0,0.0,0.0,0.0,0.0,0.0,-0.0053822749142914406
s4_deep_rank,geom_r03,-0.0007807345024426482,0.0,0.0,0.0,0.0,0.0,0.0,-0.005465141517098204
s4_deep_rank,geom_r04,0.00016197495299130615,0.0,0.0,0.0,0.0,0.0,0.0,0.0011338246709395872
s4_deep_rank,geom_r05,0.0012072970404732875,0.0,0.0,0.0,0.0,0.0,0.0,0.008451079283313456
s4_deep_rank,geom_r06,-0.0011122388337156952,0.0,0.0,0.0,0.0,0.0,0.0,-0.007785671836009311
s4_deep_rank,geom_r07,0.0001666934915617313,0.0,0.0,0.0,0.0,0.0,0.0,0.0011668544409322301
s4_deep_z,geom_r00,-6.394096142670058e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.00044758672998679305
s4_deep_z,geom_r01,3.479671797990136e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002435770258597536
s4_deep_z,geom_r02,-0.00036495260969204857,0.0,0.0,0.0,0.0,0.0,0.0,-0.002554668267844895
s4_deep_z,geom_r03,-0.00016251640111231147,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011376148077859582
s4_deep_z,geom_r04,0.00012832938103612967,0.0,0.0,0.0,0.0,0.0,0.0,0.0008983056672529077
s4_deep_z,geom_r05,0.0016810945740024508,0.0,0.0,0.0,0.0,0.0,0.0,0.011767662018017044
s4_deep_z,geom_r06,-0.00095112792727714,0.0,0.0,0.0,0.0,0.0,0.0,-0.006657895490939314
s4_deep_z,geom_r07,-0.00023595993221148248,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016517195254802663
q1_s4_rank,geom_r00,-0.0020065580693015006,-0.0095952218792279,0.0,0.0,0.0,0.0,0.0,-0.004450684605882604
q1_s4_rank,geom_r01,-0.0008956503842733055,-0.0034126359624223612,0.0,0.0,0.0,0.0,0.0,-0.002856916727490555
q1_s4_rank,geom_r02,-0.0026546576155634938,-0.013200328394653016,0.0,0.0,0.0,0.0,0.0,-0.0053822749142914406
q1_s4_rank,geom_r03,0.0006834922989007453,0.010249587609403865,0.0,0.0,0.0,0.0,0.0,-0.005465141517098204
q1_s4_rank,geom_r04,-0.001684145558387029,-0.01292284357964868,0.0,0.0,0.0,0.0,0.0,0.0011338246709395872
q1_s4_rank,geom_r05,-4.025259481899024e-05,-0.008732847447045944,0.0,0.0,0.0,0.0,0.0,0.008451079283313456
q1_s4_rank,geom_r06,-0.0008466991382652944,0.0018587778681526945,0.0,0.0,0.0,0.0,0.0,-0.007785671836009311
q1_s4_rank,geom_r07,-9.268683660867971e-05,-0.001815662297192877,0.0,0.0,0.0,0.0,0.0,0.0011668544409322301
q1_s2_rank,geom_r00,-0.0010518120952145438,-0.0095952218792279,0.0,0.0,0.0,0.0022325372127255383,0.0,0.0
q1_s2_rank,geom_r01,-0.0005690313398956093,-0.0034126359624223612,0.0,0.0,0.0,-0.0005705834168465707,0.0,0.0
q1_s2_rank,geom_r02,-0.003039421917060414,-0.013200328394653016,0.0,0.0,0.0,-0.008075625024770217,0.0,0.0
q1_s2_rank,geom_r03,0.00022097311908519934,0.010249587609403865,0.0,0.0,0.0,-0.008702775775807248,0.0,0.0
q1_s2_rank,geom_r04,-0.002886514402128615,-0.01292284357964868,0.0,0.0,0.0,-0.007282757235251958,0.0,0.0
q1_s2_rank,geom_r05,-0.001718278696179909,-0.008732847447045944,0.0,0.0,0.0,-0.003295103426213142,0.0,0.0
q1_s2_rank,geom_r06,-0.0010164019038809702,0.0018587778681526945,0.0,0.0,0.0,-0.008973591195319042,0.0,0.0
q1_s2_rank,geom_r07,-0.0007975785958010961,-0.001815662297192877,0.0,0.0,0.0,-0.003767387873414574,0.0,0.0
s2_s4_rank,geom_r00,-0.0003168781990223746,0.0,0.0,0.0,0.0,0.0022325372127255383,0.0,-0.004450684605882604
s2_s4_rank,geom_r01,-0.0004896428777624307,0.0,0.0,0.0,0.0,-0.0005705834168465707,0.0,-0.002856916727490555
s2_s4_rank,geom_r02,-0.0019225571341516812,0.0,0.0,0.0,0.0,-0.008075625024770217,0.0,-0.0053822749142914406
s2_s4_rank,geom_r03,-0.0020239881847007313,0.0,0.0,0.0,0.0,-0.008702775775807248,0.0,-0.005465141517098204
s2_s4_rank,geom_r04,-0.0008784189377588625,0.0,0.0,0.0,0.0,-0.007282757235251958,0.0,0.0011338246709395872
s2_s4_rank,geom_r05,0.0007365679795856561,0.0,0.0,0.0,0.0,-0.003295103426213142,0.0,0.008451079283313456
s2_s4_rank,geom_r06,-0.002394180433046955,0.0,0.0,0.0,0.0,-0.008973591195319042,0.0,-0.007785671836009311
s2_s4_rank,geom_r07,-0.0003715047760689538,0.0,0.0,0.0,0.0,-0.003767387873414574,0.0,0.0011668544409322301
q1_s2_s4_rank,geom_r00,-0.001687624181769265,-0.0095952218792279,0.0,0.0,0.0,0.0022325372127255383,0.0,-0.004450684605882604
q1_s2_s4_rank,geom_r01,-0.0009771623009657837,-0.0034126359624223612,0.0,0.0,0.0,-0.0005705834168465707,0.0,-0.002856916727490555
q1_s2_s4_rank,geom_r02,-0.0038083183333877946,-0.013200328394653016,0.0,0.0,0.0,-0.008075625024770217,0.0,-0.0053822749142914406
q1_s2_s4_rank,geom_r03,-0.0005597613833573378,0.010249587609403865,0.0,0.0,0.0,-0.008702775775807248,0.0,-0.005465141517098204
q1_s2_s4_rank,geom_r04,-0.0027245394491373087,-0.01292284357964868,0.0,0.0,0.0,-0.007282757235251958,0.0,0.0011338246709395872
q1_s2_s4_rank,geom_r05,-0.0005109816557066216,-0.008732847447045944,0.0,0.0,0.0,-0.003295103426213142,0.0,0.008451079283313456
q1_s2_s4_rank,geom_r06,-0.0021286407375965544,0.0018587778681526945,0.0,0.0,0.0,-0.008973591195319042,0.0,-0.007785671836009311
q1_s2_s4_rank,geom_r07,-0.0006308851042393648,-0.001815662297192877,0.0,0.0,0.0,-0.003767387873414574,0.0,0.0011668544409322301
