scenario_id,family,mask_name,order_name,gamma,complete_budget,achieved_e72_delta,target_e72_delta,budget_coverage,positive_cells_available,selected_full_cells,selected_fractional_cells,alpha,lambda,solved,det,tail_mixmin,pred_mixmin,pred_vs_e95_mixmin,tail_failed_e72,pred_failed_e72,pred_vs_e95_failed_e72,tail_e85,pred_e85,pred_vs_e95_e85,tail_e86,pred_e86,pred_vs_e95_e86,tail_noq2,pred_noq2,pred_vs_e95_noq2,tail_e90,pred_e90,pred_vs_e95_e90,tail_e89,pred_e89,pred_vs_e95_e89,tail_e95,pred_e95,pred_vs_e95_e95,winner_live,best_live_delta,abs_e72_residual,abs_e95_residual,is_positive_transfer,is_broad_plausible,is_tight_plausible,is_near_unit_tail
d0001,deterministic,all,top,,True,0.0001011367,0.0001011367,1.0,893,6,6.949310265463193,12.474824196078254,2.3007839983606955,True,1.2221888914678137e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0001354416140013,1.377521733955542e-05,2.9085917339603947e-05,0.0001530670364559,6.548332844560987e-06,2.1859032844609514e-05,0.000161864754542,3.6268114078370935e-05,5.157881407841946e-05,0.0001405117329037,-1.2689622472447041e-05,2.6210775276014862e-06,0.0001354416140013,-1.1425549833616753e-05,3.885150166431774e-06,0.0001354416140013,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,False,False,False
d0002,deterministic,all,bottom,,True,0.0001011367,0.0001011367,1.0,893,203,203.41722109887905,0.07163335345485004,1.0074694054568543,True,2.791144454841479e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,-5.699937498728414e-06,-7.452817832904492e-06,7.857882167144035e-06,-6.469117360550449e-06,-8.502102187261663e-06,6.808597812786864e-06,-6.336678287336181e-06,-8.31424822441211e-06,6.996451775636417e-06,-6.175024861628583e-06,-8.150405686218009e-06,7.160294313830518e-06,-7.1761947928761545e-06,-9.084810580928384e-06,6.225889419120143e-06,-1.3333781262564915e-05,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,True,False,False
d0003,deterministic,all,median,,True,0.0001011367,0.0001011367,1.0,893,46,46.52380924473128,0.7457415970781917,1.0777605135867718,True,2.609107133740754e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,5.459420031423587e-06,-1.1921246225923795e-05,3.389453774124732e-06,6.714904988346751e-06,-1.3424360165401208e-05,1.886339834647319e-06,7.1048507994626505e-06,-1.2437491800693624e-05,2.873208199354903e-06,6.7149049883466565e-06,-1.2847540417650707e-05,2.4631595823978197e-06,4.50402068765907e-06,-1.4457432919916848e-05,8.532670801316789e-07,3.927813030967064e-06,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,True,True,True
d0004,deterministic,q2,top,,True,0.0001011367,0.0001011367,1.0,40,12,12.07744365436508,0.5842130514587778,1.0609174908621504,True,2.6505290644027258e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,-1.268826313857322e-19,-1.3948566774252067e-05,1.3621332257964598e-06,5.9449549849349706e-05,4.6884936503242766e-05,6.219563650329129e-05,-1.268826313857322e-19,-1.5742256880673582e-05,-4.3155688062505493e-07,2.753794247046196e-05,1.3481233955568916e-05,2.8791933955617443e-05,-1.268826313857322e-19,-1.512875311258696e-05,1.8194688746156715e-07,-1.268826313857322e-19,-1.5310700000048527e-05,0.0,noq2,-1.5742256880673582e-05,0.0,0.0,True,True,True,True
d0005,deterministic,q2,bottom,,True,0.0001011367,0.0001011367,1.0,40,21,21.087254697595107,1.817884682163388,1.1895558020101777,True,2.3639014157313863e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,-1.268826313857322e-19,-4.340349092463753e-05,-2.8092790924589e-05,5.9465904522109184e-05,2.0371935378858935e-05,3.568263537890746e-05,-1.268826313857322e-19,-4.8984882440745696e-05,-3.367418244069717e-05,3.705783066223695e-05,-4.877612826374317e-06,1.043308717367421e-05,-1.268826313857322e-19,-4.70758543906716e-05,-3.1765154390623074e-05,2.7179317706702043e-05,-1.5310700000048527e-05,0.0,noq2,-4.8984882440745696e-05,0.0,0.0,True,True,True,True
d0006,deterministic,q2,median,,True,0.0001011367,0.0001011367,1.0,40,17,17.762259407954843,0.7016454349629634,1.0731624862986087,True,2.6202860054883643e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,0.0,-1.6752361449289717e-05,-1.4416614492411896e-06,5.944544077326112e-05,4.43549199325213e-05,5.966561993256983e-05,0.0,-1.8906600338281204e-05,-3.5959003382326773e-06,3.324834999477519e-05,1.678389689800936e-05,3.2094596898057885e-05,0.0,-1.8169776473878157e-05,-2.8590764738296298e-06,2.8677823317680825e-06,-1.5310700000048527e-05,0.0,noq2,-1.8906600338281204e-05,0.0,0.0,True,True,True,True
d0007,deterministic,s1,top,,True,0.0001011367,0.0001011367,1.0,197,19,19.887846873363852,2.6747247980039166,1.2789008616535222,True,2.1987573304373613e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,4.72857119679225e-05,-3.387515156295836e-06,1.1923184843752691e-05,6.061451716976286e-05,3.414381156628644e-06,1.872508115667717e-05,6.061274523714575e-05,5.4443196483977275e-06,2.0755019648446255e-05,5.898501412357234e-05,3.3992671304504087e-06,1.8709967130498936e-05,5.328642290354028e-05,-1.1164926985947804e-06,1.4194207301453747e-05,4.2839019701242226e-05,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,True,True,True
d0008,deterministic,s1,bottom,,True,0.0001011367,0.0001011367,1.0,197,116,116.68628547695307,3.202188393376689,1.333900931698147,True,2.1080970690105776e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,4.6281444656083776e-05,-1.4720017656126826e-05,5.906823439217007e-07,5.912093656330954e-05,-9.857942428485617e-06,5.45275757156291e-06,5.910752898124671e-05,-7.442865470284334e-06,7.867834529764193e-06,5.813645376647491e-05,-8.694301081119016e-06,6.6163989189295115e-06,5.375267081706463e-05,-1.122297910448024e-05,4.087720895568287e-06,5.143583183752258e-05,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,True,True,True
d0009,deterministic,s1,median,,True,0.0001011367,0.0001011367,1.0,197,68,68.45287273584677,2.973322225352683,1.3100364311286448,True,2.1464995763825503e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,4.4316713845415566e-05,-1.2934002288801535e-05,2.3766977112469917e-06,5.71249430384693e-05,-7.542722027192595e-06,7.767977972855932e-06,5.711231820711471e-05,-5.300187798116312e-06,1.0010512201932215e-05,5.301654648365634e-05,-1.0625051809429672e-05,4.685648190618855e-06,5.045600380269283e-05,-1.089780634645269e-05,4.412893653595837e-06,4.779433404959079e-05,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,True,True,True
d0010,deterministic,s2,top,,True,0.0001011367,0.0001011367,1.0,149,19,19.087145375571207,0.7127599302176839,1.0743214250820299,True,2.617459336481751e-09,0.0,0.0,1.5310700000048527e-05,0.0001011367,0.00010113670000000408,0.0001164474000000526,6.925940267509425e-06,-9.57704314038959e-06,5.7336568596589376e-06,9.427101205401244e-06,-9.619897044185603e-06,5.690802955862924e-06,9.422772674790006e-06,-9.083005948421568e-06,6.22769405162696e-06,9.427101205401244e-06,-9.068588112558726e-06,6.242111887489801e-06,9.639287565833164e-06,-8.101903754507115e-06,7.208796245541413e-06,3.135819750134613e-06,-1.5310700000048527e-05,0.0,e95,-1.5310700000048527e-05,0.0,0.0,True,True,True,True
