prior,folds,mean_base_loss,mean_projected_loss,mean_delta,win_rate,max_constraint_residual
anchor,8,0.5666413887936841,0.5443639876997124,-0.02227740109397168,1.0,2.3880897259687117e-12
proj0,8,0.5516019185931706,0.5404986163247443,-0.011103302268426402,1.0,7.860379014346108e-14
public2d0,8,0.5512854745758611,0.5404116586869133,-0.0108738158889478,1.0,7.538414337204813e-14
stage2,8,0.55734803649265,0.5443639876997125,-0.012984048792937491,1.0,1.602051824534101e-13
