candidate,scenario,source,direction,rank,feature,family,target_family,value_scaled,coef,contribution
e174,direct_vs_e95,candidate_direct,negative,5,abs__z__target_not_e72_Q1_support_swing,target,Q1,3.101069037743303,-0.1649430552596996,-0.5114998016566371
e174,direct_vs_e95,candidate_direct,negative,6,abs__z__target_not_e72_S3_support_swing,target,S3,2.6248547189956777,-0.18076163103514722,-0.4744730202359617
e174,direct_vs_e95,candidate_direct,negative,7,abs__z__target_between_not_e72_Q2_support_swing,target,Q2,3.4611238554506656,-0.12753872471636601,-0.44142732260956985
e174,direct_vs_e95,candidate_direct,negative,8,abs__z__target_between_not_e72_S3_support_swing,target,S3,2.5074700873041325,-0.16985016284345572,-0.42589420265370104
e172,direct_vs_e95,candidate_direct,positive,1,abs__z__target_top33_Q2_support_swing,target,Q2,3.2300048565101465,0.22663335448602523,0.7320268356370471
e172,direct_vs_e95,candidate_direct,positive,2,abs__z__target_all_S4_support_swing,target,S4,2.43677673689568,0.25225010761895744,0.6146771941253072
e172,direct_vs_e95,candidate_direct,positive,3,abs__z__target_all_S2_support_swing,target,S2,2.1302982509401898,0.20887936356769235,0.444975342865755
e172,direct_vs_e95,candidate_direct,positive,4,abs__z__target_between_S4_support_swing,target,S4,2.716231590488637,0.14965445399042585,0.40649615558612295
e172,direct_vs_e95,candidate_direct,positive,5,abs__z__target_top4_S1_support_swing,target,S1,2.3862350360052176,0.09607824091844853,0.229265264677352
e172,direct_vs_e95,candidate_direct,positive,6,abs__z__target_top16_S1_support_swing,target,S1,2.0233598203003873,0.08130826073082091,0.16451586782125083
e172,direct_vs_e95,candidate_direct,positive,7,abs__z__target_between_S2_support_swing,target,S2,1.139295456198644,0.09267948392709448,0.105589314920974
e172,direct_vs_e95,candidate_direct,positive,8,abs__z__target_top33_S1_support_swing,target,S1,1.810368230419259,0.0029669423915054914,0.005371258247065681
e172,direct_vs_e95,candidate_direct,positive,9,abs__z__shape_top1_support_label_swing,shape,no_target,1.0,5.127632140123918e-05,5.127632140123918e-05
e172,direct_vs_e95,candidate_direct,positive,10,abs__z__shape_top1_support_label_mean,shape,no_target,1.0,5.127632140123918e-05,5.127632140123918e-05
e172,direct_vs_e95,candidate_direct,positive,11,abs__z__target_not_e72_S4_swing_share,target,S4,0.0,0.0,0.0
e172,direct_vs_e95,candidate_direct,positive,12,abs__z__target_not_e72_S4_cell_share,target,S4,0.0,0.0,0.0
e172,direct_vs_e95,candidate_direct,negative,1,abs__z__target_between_not_e72_S1_support_swing,target,S1,6.606865046231291,-0.1074140241318417,-0.7096699615117094
