candidate,direction,actual_anchor_score_final,anchor_delta_vs_mixmin,mean_actual_anchor,min_set_score,max_set_score,mean_abs_prob_move_vs_mixmin,mean_abs_logit_move_vs_mixmin,max_abs_logit_move_vs_mixmin,pred_index,band,target_mask,base_cell_gate,transition_gate,row_gate,weight,cap,active_gate_mean,hash,world_all_worlds,world_all_better_rate,world_all_median_delta,world_all_p90_delta,world_all_max_delta,raw_energy_half_worlds,raw_energy_half_better_rate,raw_energy_half_median_delta,raw_energy_half_p90_delta,raw_energy_half_max_delta,raw_energy_quarter_worlds,raw_energy_quarter_better_rate,raw_energy_quarter_median_delta,raw_energy_quarter_p90_delta,raw_energy_quarter_max_delta,low_slack_half_worlds,low_slack_half_better_rate,low_slack_half_median_delta,low_slack_half_p90_delta,low_slack_half_max_delta,mean_prob_delta_Q1,mean_abs_prob_delta_Q1,mean_prob_delta_Q2,mean_abs_prob_delta_Q2,mean_prob_delta_Q3,mean_abs_prob_delta_Q3,mean_prob_delta_S1,mean_abs_prob_delta_S1,mean_prob_delta_S2,mean_abs_prob_delta_S2,mean_prob_delta_S3,mean_abs_prob_delta_S3,mean_prob_delta_S4,mean_abs_prob_delta_S4,world_support_score,prefilter_keep,anchor_beats_mixmin,anchor_margin_gate,movement_guard,world_guard,eligible_submission_gate,diagnostic_reverse_gate,selection_score
mixmin,reference,0.5777344877066474,0.0,0.5776007350054972,0.5772305660209559,0.578037556989407,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2c8,reference,0.5778270681645602,9.258045791282754e-05,0.5777841604763623,0.5777214450713848,0.5779985663687973,0.00849582438014208,0.04561420000223732,0.08210850000001058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw05,reference,0.5779059943862466,0.00017150667959919819,0.5778501495454361,0.5777302084275879,0.5781360888903859,0.009174226027820472,0.049029823053049724,0.1855896083238608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toward_teacher|low_slack_half|no_s3|all|trans_bal_raw_consensus|all|w0.070|c0.080,toward_teacher,0.5777317712730926,-2.716433554761366e-06,0.5775961020672518,0.5772149337618302,0.5780417085570305,0.00041240887190793904,0.0021033526517037666,0.005600000000003824,282540.0,low_slack_half,no_s3,all,trans_bal_raw_consensus,all,0.07,0.08,0.388,a5f26ec8,45.0,1.0,-0.0002481579582400695,-0.00014687481573805167,-7.323241362922062e-05,22.0,1.0,-0.00034991005373996575,-0.0002130422641240525,-0.00019634052033357108,11.0,1.0,-0.00056140602412591,-0.00036660949484701444,-0.0003588106126329871,22.0,1.0,-0.00026274220217492594,-0.00019764222502618442,-0.00017552756432692718,3.3662220422329135e-06,0.0005017161162474897,0.00026207568512555835,0.000502437888242369,0.00013376217443367844,0.00048223825082140636,0.0002459599289569424,0.0005704318738694184,0.0002885726403163703,0.00038819595501909487,1.5543122344752192e-18,9.547918011776345e-18,-0.00010005974971864506,0.00044184201915578505,-0.0006778741936616705,True,True,False,True,True,False,False,-2.716433554761366e-06
toward_teacher|all|no_s3|all|trans_bal_raw_consensus|all|w0.070|c0.080,toward_teacher,0.5777318828062391,-2.6049004082651095e-06,0.5775962308507585,0.5772155687423997,0.5780414691018723,0.0004268914669304362,0.002170097540603461,0.005600000000003824,13596.0,all,no_s3,all,trans_bal_raw_consensus,all,0.07,0.08,0.39485714285714285,248ef2ce,45.0,1.0,-0.0002183376213348298,-0.0001393619429592041,-0.00010491374068688497,22.0,1.0,-0.00034889086864636765,-0.00028543842191181,-0.00020672812970112808,11.0,1.0,-0.0006169709680059476,-0.00035567574664718826,-0.00034927574664711525,22.0,1.0,-0.00021093287551793294,-0.00016022186298964014,-0.00013708529222633548,3.667234170643613e-05,0.0005167387874378968,0.0002563656335305118,0.0005286928544333009,0.0001648018471611371,0.0005060934764252251,0.00025760355239312584,0.0005616863411579144,0.00029155803321509574,0.00039659627293412434,1.5543122344752192e-18,9.547918011776345e-18,-6.938259751604625e-05,0.00047843253612458227,-0.0007277236668012277,True,True,False,True,True,False,False,-2.6049004082651095e-06
toward_teacher|all|no_q2|all|trans_bal_raw_consensus|all|w0.070|c0.080,toward_teacher,0.5777321344702733,-2.353236374097456e-06,0.5775957097517869,0.5772131771617919,0.5780433965116236,0.0003971384215959829,0.0020678839036102482,0.005600000000003824,6960.0,all,no_q2,all,trans_bal_raw_consensus,all,0.07,0.08,0.37714285714285717,86471018,45.0,1.0,-0.0002051101596745042,-0.0001348964190331481,-6.660038280514868e-05,22.0,1.0,-0.00031367623663985933,-0.0002587271559698623,-0.0002051101596745042,11.0,1.0,-0.0005328747735247052,-0.00032291604834089327,-0.00031971604834069023,22.0,1.0,-0.00020291258809235213,-0.00015943111763310202,-0.0001290661839132845,3.667234170643613e-05,0.0005167387874378968,7.993605777301126e-18,1.0658141036401503e-17,0.0001648018471611371,0.0005060934764252251,0.00025760355239312584,0.0005616863411579144,0.00029155803321509574,0.00039659627293412434,0.00026493664305038964,0.00032042153709212684,-6.938259751604625e-05,0.00047843253612458227,-0.000634114801577379,True,True,False,True,True,False,False,-2.353236374097456e-06
toward_teacher|raw_energy_half|no_s3|all|trans_bal_raw_consensus|all|w0.070|c0.080,toward_teacher,0.5777321529676869,-2.3347389604966295e-06,0.5775974418044498,0.5772195705024774,0.5780394897532968,0.0004077606219543534,0.002001774841710757,0.005600000000003824,106244.0,raw_energy_half,no_s3,all,trans_bal_raw_consensus,all,0.07,0.08,0.3628571428571429,45930769,45.0,0.7333333333333333,-6.099081110721993e-05,3.169702910938988e-05,5.120817964643365e-05,22.0,1.0,-0.0004278945013375113,-0.0003242422383526344,-0.00010038360403841207,11.0,1.0,-0.0007877545353307536,-0.0004390945013376113,-0.00043589450133740826,22.0,0.8181818181818182,-4.262036718055695e-05,3.525965944737309e-05,5.120817964643365e-05,5.5810209401189025e-05,0.0005463218648835579,0.00034286855677544457,0.000562230016735088,0.0002175337771247806,0.00043220694789259685,0.0002567950117302027,0.0005179454988065868,0.0003294269390408537,0.0003933353928913015,1.5543122344752192e-18,9.547918011776345e-18,1.3659195069815055e-06,0.00040228463247133294,-0.0009036272417758783,True,True,False,True,True,False,False,-2.3347389604966295e-06
toward_teacher|low_slack_half|no_q2|all|trans_bal_raw_consensus|all|w0.070|c0.080,toward_teacher,0.5777321859974868,-2.3017091606014617e-06,0.577595668709218,0.577212852926745,0.5780436861603814,0.00038720053764909195,0.0020161115809293386,0.005600000000003824,275752.0,low_slack_half,no_q2,all,trans_bal_raw_consensus,all,0.07,0.08,0.3697142857142857,ccfdbab8,45.0,1.0,-0.0002331233682763001,-0.00011693601394262564,-7.608224323307766e-05,22.0,1.0,-0.0003166644196406776,-0.0001870742226244614,-0.00016605184870222,11.0,1.0,-0.0004873600377685028,-0.00032536386074766277,-0.00032076497853372743,22.0,1.0,-0.00023908463736915797,-0.00019391125964820507,-0.0001709225035974038,3.3662220422329135e-06,0.0005017161162474897,7.993605777301126e-18,1.0658141036401503e-17,0.00013376217443367844,0.00048223825082140636,0.0002459599289569424,0.0005704318738694184,0.0002885726403163703,0.00038819595501909487,0.0002593249506348219,0.0003259795484304386,-0.00010005974971864506,0.00044184201915578505,-0.0005920133397830484,True,True,False,True,True,False,False,-2.3017091606014617e-06
toward_teacher|low_slack_half|no_s3|all|trans_bal_raw_consensus|all|w0.050|c0.080,toward_teacher,0.5777323292906092,-2.1584160381227235e-06,0.5775971941641385,0.5772193162066216,0.5780402454122597,0.000294540364653883,0.0015023947512169766,0.004000000000003112,282539.0,low_slack_half,no_s3,all,trans_bal_raw_consensus,all,0.05,0.08,0.388,92f0be0c,45.0,1.0,-0.00017748864619338,-0.0001051435444061832,-5.254182861413881e-05,22.0,1.0,-0.0002501687144075837,-0.00015240600753909644,-0.00014047619054580185,11.0,1.0,-0.0004012372646832185,-0.000262096886626928,-0.00025652625647398786,22.0,1.0,-0.00018790596328971398,-0.00014140597961195264,-0.0001256097933982625,2.4116961939843473e-06,0.00035828318046094137,0.00018721878114136324,0.00035887477917920707,9.558125954622753e-05,0.00034442175496959425,0.00017571852994572684,0.00040736528926253295,0.00020614994430620716,0.0002772974421470116,1.5543122344752192e-18,9.547918011776345e-18,-7.14274598071346e-05,0.00031554010655788454,-0.0004845103509592885,True,True,False,True,True,False,False,-2.1584160381227235e-06
toward_teacher|all|no_s3|all|trans_bal_raw_consensus|all|w0.050|c0.080,toward_teacher,0.5777323551710652,-2.1325355821222303e-06,0.5775972776117849,0.5772196195229019,0.5780400696975891,0.00030488502093439795,0.001550069671859612,0.004000000000002668,13595.0,all,no_s3,all,trans_bal_raw_consensus,all,0.05,0.08,0.39485714285714285,b8cab593,45.0,1.0,-0.00015619726130922107,-9.978606246969779e-05,-7.518020370356204e-05,22.0,1.0,-0.0002494495808175734,-0.0002041264045785862,-0.00014790476728532287,11.0,1.0,-0.0004409353660743687,-0.0002542959222467944,-0.00024972449367521854,22.0,1.0,-0.00015090815715440575,-0.0001146860053485521,-9.81598833748043e-05,2.619483811286477e-05,0.0003690090044693191,0.0001831375007810423,0.0003776249898792625,0.00011775892886021011,0.00036146863456674685,0.00018403139454863178,0.0004011237357727126,0.0002082821409095067,0.00028329790244130306,1.5543122344752192e-18,9.547918011776345e-18,-4.9516477536846185e-05,0.0003416708794114325,-0.0005201290727669894,True,True,False,True,True,False,False,-2.1325355821222303e-06
toward_teacher|raw_energy_quarter|no_s3|all|trans_bal_raw_consensus|all|w0.070|c0.080,toward_teacher,0.5777323568366189,-2.1308700284272675e-06,0.5775975475227989,0.5772200352187188,0.5780396869287544,0.00037977735426029854,0.0018225169537706694,0.005600000000003824,195560.0,raw_energy_quarter,no_s3,all,trans_bal_raw_consensus,all,0.07,0.08,0.32971428571428574,37c79195,45.0,0.7333333333333333,-5.31721652460293e-05,4.685592849105191e-05,6.971676396616555e-05,22.0,1.0,-0.00042470475343553415,-0.00022338492528417572,-7.046157520051999e-05,11.0,1.0,-0.0008561733786442982,-0.00043750475343551365,-0.00043430475343542163,22.0,0.7727272727272727,-2.8004229093492317e-05,4.996552473651717e-05,6.971676396616555e-05,5.0928079237226085e-05,0.0004925752926951544,0.0003502721031902141,0.0005387032498483034,0.00023797801302047905,0.0004219660483484665,0.0002824377582384545,0.0004896988890009128,0.00032518783460707123,0.00038707217542733864,1.5543122344752192e-18,9.547918011776345e-18,2.7516127659829802e-05,0.0003284258245019044,-0.0009708667835277796,True,True,False,True,True,False,False,-2.1308700284272675e-06
