pred_index,base_index,tag,strategy,source,fallback,selector,target_scope,graft_alpha,selected_cells,selected_rows,move_cells,selected_s3_cells,selected_q2_cells,subject_support_mean,global_support_mean,subject_expected_delta_e101_basis,global_expected_delta_e101_basis,flip_benefit_share,all_delta_vs_mixmin,all_minus_base,all_worst_minus_base,set_inverse_top_delta_vs_mixmin,set_inverse_top_minus_base,set_inverse_top_worst_minus_base,set_raw05_compatible_delta_vs_mixmin,set_raw05_compatible_minus_base,set_raw05_compatible_worst_minus_base,set_all_sign_delta_vs_mixmin,set_all_sign_minus_base,set_all_sign_worst_minus_base,best_set_delta_vs_mixmin,worst_set_delta_vs_mixmin,sets_beating_base,sets_tail_neutral,row_id,world_support_minus_base,raw_energy_q_p90_minus_base,hidden_core_minus_base,hidden_q2_minus_base,hidden_s3_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_mean_minus_base,block_q2s3_max_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,nonanchor_evaluated,mean_abs_logit_move_vs_mixmin,mean_abs_q2s3_logit_move_vs_mixmin,all_beats_base,all_margin_vs_mixmin,all_sets_beat_base,all_sets_tail_neutral,hidden_q2s3_beats_base,world_nonworse,block_majority_beats,block_tail_safe,strict_gate,loose_gate,deployable_gate,structural_all_sets_tail_neutral,structural_all_sets_beat_base,structural_hidden_core_beats_base,structural_world_nonworse,structural_raw_energy_nonworse,structural_strict_gate,structural_loose_gate,e72_adverse_positive_exposure_all,e72_adverse_weighted_positive_mean,e72_adverse_positive_weight_frac,hard_worst_tail_mean,kl_if_mixmin_calibrated,move_l1_vs_e95,active_cells_vs_e95,is_graft,is_strict_like,beat_e95_rate_broad_plausible,beat_e95_rate_broad_q2s3,beat_e95_rate_near_unit_tail,beat_e95_rate_tight_plausible,mean_pred_delta_broad_plausible,mean_pred_delta_broad_q2s3,mean_pred_delta_near_unit_tail,mean_pred_delta_tight_plausible,mean_vs_e95_broad_plausible,mean_vs_e95_broad_q2s3,mean_vs_e95_near_unit_tail,mean_vs_e95_tight_plausible,p95_vs_e95_broad_plausible,p95_vs_e95_broad_q2s3,p95_vs_e95_near_unit_tail,p95_vs_e95_tight_plausible,e101_pass,active_delta_cells,support_label_1_cells,support_label_0_cells,all_support_delta_vs_e95,all_adverse_delta_vs_e95,global_prior_expected_delta_vs_e95,subject_prior_expected_delta_vs_e95,global_prior_p_beats_e95,global_prior_p_beats_e101_edge,global_prior_q05,global_prior_q50,global_prior_q95,subject_prior_p_beats_e95,subject_prior_p_beats_e101_edge,subject_prior_q05,subject_prior_q50,subject_prior_q95,mean_gain_vs_e101,p95_gain_vs_e101,beat_gap_vs_e101,dominates_e101,beats_mean_p95_loses_beat,e101_ref_mean_vs_e95,e101_ref_p95_vs_e95,e101_ref_beat_rate,subject_expected_gain_vs_e101,global_expected_gain_vs_e101,subject_beat_gain_vs_e101,global_beat_gain_vs_e101,prior_healthier_than_e101,e106_replaces_e101,e106_interesting_but_not_replacement
5,0,e106_control_a3f7c96f,control,e86,,,,,,,,,,,,,,,-2.7705869828476004e-05,-2.7705869828476004e-05,-3.498042661254086e-05,-6.9100032192848104e-06,-6.9100032192848104e-06,-1.3700079533940368e-05,-3.533869208549589e-05,-3.533869208549589e-05,-3.498042661254086e-05,-4.086891418064731e-05,-4.086891418064731e-05,-3.498042661254086e-05,-4.086891418064731e-05,-6.9100032192848104e-06,3,3,5,-0.0003074391775771235,-0.00017278562923006557,-0.00023918120377530716,-0.000290814306410897,-0.00046435628805567564,-0.0003775852972332863,-0.0005349503017766005,6.344131569286608e-17,0.75,1.0,True,0.006064145347338554,0.005556388911177608,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0010102416357210917,0.0033252470618392728,0.40808492206760344,0.00292307752318128,1.333451444160868e-05,0.0005158669242698437,134,False,False,0.00028968713789107763,0.0,0.0004248088360237893,0.00035842293906810036,5.033944904413055e-06,2.487548290270845e-05,1.977582109812559e-06,3.170313020004565e-06,2.0344644904461583e-05,4.018618290275698e-05,1.7288282109861087e-05,1.8481013020053092e-05,4.660642555632791e-05,4.917921991988985e-05,4.518135510693425e-05,4.598739589983163e-05,False,31,21,29,-4.091944121042836e-05,2.777772908618934e-05,-7.837603221747587e-06,-1.946739393554555e-06,0.8955,0.1151875,-1.8100163837041857e-05,-7.781810500965712e-06,2.3302194722877384e-06,0.6339125,0.0068625,-1.08243978343367e-05,-1.8335963482668933e-06,6.712594197921134e-06,3.65499366550583e-05,4.817050434854915e-05,-0.9831981460023175,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-9.799491311732369e-06,-5.678748766236983e-05,0.29567499999999997,0.8796499999999999,False,False,False
6,0,e106_control_28925de5,control,e90,,,,,,,,,,,,,,,-2.6932385085221e-05,-2.6932385085221e-05,-3.1945072631711646e-05,-6.1633542025596455e-06,-6.1633542025596455e-06,-1.2825509790648226e-05,-3.453015277210536e-05,-3.453015277210536e-05,-3.1945072631711646e-05,-4.010364828088697e-05,-4.010364828088697e-05,-3.1945072631711646e-05,-4.010364828088697e-05,-6.1633542025596455e-06,3,3,6,-0.000250999367211191,-0.0001371198192592349,-0.0002161681491864298,-0.00014939940246563865,-0.00045027753282264604,-0.00029983846764414235,-0.0004585389359312461,8.326672684688674e-17,0.75,1.0,True,0.005777398679573552,0.00490186612030714,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009340306314570177,0.0029883889789963968,0.37181946833365975,0.00279194413055124,1.2516592119249648e-05,0.00045289608918243953,162,False,False,0.002607184241019699,0.002717391304347826,0.002973661852166525,0.0025089605734767025,-1.9384001653974126e-06,5.843104420419096e-06,-3.625782807051655e-06,-3.0098603560129998e-06,1.3372299834651114e-05,2.1153804420467624e-05,1.1684917192996872e-05,1.2300839644035527e-05,3.124429880987986e-05,3.4259935062827696e-05,2.4938911743229367e-05,2.71915261385158e-05,False,29,23,27,-2.7683823425541642e-05,3.851019909835847e-05,-4.0722212382444e-07,-1.6683970629958737e-06,0.5313625,0.0061375,-1.0439676782573503e-05,-4.962873383913844e-07,9.919533604190511e-06,0.6359375,0.001875,-9.377092185098051e-06,-1.6356380848786405e-06,5.93147014190154e-06,2.9577591585247835e-05,3.2808377602101105e-05,-0.9808806488991889,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-9.521148981173688e-06,-4.935710656444668e-05,0.2977,0.5155124999999999,False,False,False
1,0,e106_control_541e3973,control,e95,,,,,,,,,,,,,,,-2.6207391227939247e-05,-2.6207391227939247e-05,-3.206587268245187e-05,-5.237699563953591e-06,-5.237699563953591e-06,-1.1858257184638177e-05,-3.382512599237053e-05,-3.382512599237053e-05,-3.206587268245187e-05,-3.955934812749362e-05,-3.955934812749362e-05,-3.206587268245187e-05,-3.955934812749362e-05,-5.237699563953591e-06,3,3,1,-0.000132931105064088,-5.0461039464821944e-05,-0.0001750389610192249,-6.0655941758358534e-05,-0.00044162306692771547,-0.000251139504343037,-0.0004165212412064805,4.949975109809384e-05,0.7222222222222222,0.9722222222222222,True,0.005548278423068733,0.0043169757420437,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007889140929277208,0.002542592130590844,0.33569169885030703,0.0027017499803879156,1.14525787886106e-05,0.0,0,False,False,0.0,0.0,0.0,0.0,-1.5310700000044092e-05,-1.531070000003636e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,4.435812413452495e-18,1.2164608430713466e-17,-1.3385567390764643e-22,-9.107881153272047e-23,2.710505431213761e-20,1.0121975957053102e-16,1.3552527156068805e-20,1.3552527156068805e-20,False,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6205291750601158e-05,1.5640787922212697e-06,-0.9834878331402086,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-7.852751918177814e-06,-4.894988444062224e-05,-0.3382375,-0.01585,False,False,False
14,0,e106_subject_prior_gate_bc894c1e,subject_prior_gate,e95,mixmin,active_q2_all,Q2,0.25,11.0,11.0,11.0,0.0,11.0,0.5282476409441549,0.5056565656565657,2.1087860554501103e-06,2.9039102617763215e-06,0.06413767794290012,-2.6191393771801685e-05,-2.6191393771801685e-05,-3.2050714675047054e-05,-5.241188483107173e-06,-5.241188483107173e-06,-1.1875798235472246e-05,-3.381015626946482e-05,-3.381015626946482e-05,-3.2050714675047054e-05,-3.95228365625e-05,-3.95228365625e-05,-3.2050714675047054e-05,-3.95228365625e-05,-5.241188483107173e-06,3,3,15,-0.00012454500192851659,-4.251809404209883e-05,-0.00017289328050687502,-4.563617817157639e-05,-0.00044162306692771547,-0.00024362962254964593,-0.0004099681628843035,4.9499751098091703e-05,0.7222222222222222,0.9444444444444444,True,0.00552850122308085,0.004247755542086082,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007820986603792099,0.0025210670356891466,0.3480563223557736,0.0026949345478394057,1.1404538034826423e-05,1.977719998795145e-05,11,True,True,0.4130938586326767,0.782608695652174,0.4468988954970263,0.43942652329749105,-1.5780851462580613e-05,-1.68759745597581e-05,-1.5787323217418e-05,-1.5797461914838767e-05,-4.7015146253208515e-07,-1.5652745597095733e-06,-4.7662321736947176e-07,-4.867619147902425e-07,1.1341091021007461e-07,1.1781259819172348e-07,7.315135409763351e-08,8.63840023404753e-08,False,11,14,36,-6.815432548515859e-06,1.2961767439383705e-05,2.9039102617763494e-06,2.1087860554504538e-06,0.1760375,0.0,-1.9125413468534634e-06,3.0001451800622957e-06,8.030575117508781e-06,0.2459,0.0,-2.2834866626929216e-06,1.8631125809752685e-06,6.731566416306322e-06,1.5735140288064637e-05,1.6774897024313172e-06,-0.5703939745075319,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-5.74396586272736e-06,-4.604597417884589e-05,-0.09233750000000002,0.1601875,False,False,False
15,0,e106_subject_prior_gate_accb1569,subject_prior_gate,e95,mixmin,active_q2_all,Q2,0.5,11.0,11.0,11.0,0.0,11.0,0.5282476409441549,0.5056565656565657,2.1087860554501103e-06,2.9039102617763215e-06,0.06413767794290012,-2.6159173575623917e-05,-2.6159173575623917e-05,-3.200980773765405e-05,-5.2283859365287455e-06,-5.2283859365287455e-06,-1.187850359452014e-05,-3.37809388762933e-05,-3.37809388762933e-05,-3.200980773765405e-05,-3.946819591404971e-05,-3.946819591404971e-05,-3.200980773765405e-05,-3.946819591404971e-05,-5.2283859365287455e-06,3,3,16,-0.00011614034105971172,-3.456140215041259e-05,-0.00017073385352536774,-3.052018930105316e-05,-0.00044162306692771547,-0.0002360716281143843,-0.0004033601804351674,4.9499751098091703e-05,0.7222222222222222,0.9444444444444444,True,0.0055087240230929585,0.0041785353421284616,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007752969742998159,0.002499588620122892,0.3480563223557736,0.0026881328617600116,1.1370243750161988e-05,3.955439997584323e-05,11,True,True,0.4130938586326767,0.782608695652174,0.4468988954970263,0.43942652329749105,-1.619188326766785e-05,-1.8345598158583626e-05,-1.6220897657464427e-05,-1.6235789447071943e-05,-8.811832676193245e-07,-3.034898158535099e-06,-9.101976574159019e-07,-9.25089447023414e-07,3.418298378345523e-07,3.55096888370622e-07,2.2048421498606783e-07,2.603685082578193e-07,False,11,14,36,-1.3617118627909776e-05,2.5937281347881833e-05,5.821566992671029e-06,4.231318580019063e-06,0.1760375,0.0,-3.8113362245868138e-06,6.014036829245393e-06,1.607489670413585e-05,0.2459,0.0,-4.55322685626701e-06,3.7399716310681102e-06,1.3476879301731725e-05,1.5324108482977397e-05,1.905908630055795e-06,-0.5703939745075319,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-3.621433338158751e-06,-4.312831744795121e-05,-0.09233750000000002,0.1601875,False,False,False
16,0,e106_subject_prior_gate_b7919db8,subject_prior_gate,e95,mixmin,active_q2_all,Q2,0.75,11.0,11.0,11.0,0.0,11.0,0.5282476409441549,0.5056565656565657,2.1087860554501103e-06,2.9039102617763215e-06,0.06413767794290012,-2.6111759492408737e-05,-2.6111759492408737e-05,-3.194316979393541e-05,-5.199314800252708e-06,-5.199314800252708e-06,-1.1866405412064296e-05,-3.3737488565832585e-05,-3.3737488565832585e-05,-3.194316979393541e-05,-3.9398475110918874e-05,-3.9398475110918874e-05,-3.194316979393541e-05,-3.9398475110918874e-05,-5.199314800252708e-06,3,3,17,-0.0001077171448316927,-2.6590980362839467e-05,-0.00016856069664816786,-1.5308091160765036e-05,-0.00044162306692771547,-0.00022846557904424025,-0.0003966973543527563,6.959866097080739e-05,0.7222222222222222,0.9444444444444444,True,0.0054889468231050665,0.004109315142170837,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007685090181160874,0.002478156817759839,0.3480563223557736,0.0026813449055762832,1.1349679361163163e-05,5.933159996373557e-05,11,True,True,0.41280417149478565,0.782608695652174,0.4464740866610025,0.4390681003584229,-1.6547478685162366e-05,-1.972542725663297e-05,-1.661408882355358e-05,-1.6628687582174493e-05,-1.2367786851138396e-06,-4.4147272565844435e-06,-1.3033888235050528e-06,-1.3179875821259678e-06,6.779629259931444e-07,7.042759255845698e-07,4.37293960276049e-07,5.163978569372253e-07,False,11,14,36,-2.0405074811638237e-05,3.8926525152045507e-05,8.752953619231143e-06,6.367581000253176e-06,0.175225,0.0041,-5.696401206654317e-06,9.041658374093147e-06,2.4132948186428074e-05,0.2422375,0.00545,-6.809237154176207e-06,5.630560576827019e-06,2.023592208282293e-05,1.4968513065482884e-05,2.2420417182143872e-06,-0.570683661645423,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-1.4851709179246382e-06,-4.01969308213911e-05,-0.09600000000000003,0.159375,False,False,False
17,0,e106_subject_prior_gate_5644de61,subject_prior_gate,e95,mixmin,active_q2_all,Q2,1.0,11.0,11.0,11.0,0.0,11.0,0.5282476409441549,0.5056565656565657,2.1087860554501103e-06,2.9039102617763215e-06,0.06413767794290012,-2.6049298154195988e-05,-2.6049298154195988e-05,-3.185081887224772e-05,-5.153997501006202e-06,-5.153997501006202e-06,-1.1839535854374361e-05,-3.367981998592118e-05,-3.367981998592118e-05,-3.185081887224772e-05,-3.9314076975660583e-05,-3.9314076975660583e-05,-3.185081887224772e-05,-3.9314076975660583e-05,-5.153997501006202e-06,3,3,18,-9.927543566399799e-05,-1.860684528687262e-05,-0.0001663738264822967,0.0,-0.00044162306692771547,-0.00022081153346385773,-0.0003899797452767834,9.759021446266827e-05,0.6388888888888888,0.9444444444444444,True,0.005469169623117174,0.004040094942213215,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007617347752210204,0.0024567715623707164,0.32799142362472317,0.002674570662681216,1.1342828260825787e-05,7.910879995162822e-05,11,True,True,0.41251448435689453,0.782608695652174,0.4464740866610025,0.43870967741935485,-1.6848163743202084e-05,-2.1016300089829973e-05,-1.6967277657940607e-05,-1.697658568463657e-05,-1.5374637431535573e-06,-5.705600089781447e-06,-1.6565776578920802e-06,-1.6658856845880447e-06,1.1207706548421295e-06,1.1642698442951945e-06,7.22910087596668e-07,8.536802560859512e-07,False,11,14,36,-2.7179317706705306e-05,5.1929482244871264e-05,1.1698053534453045e-05,8.517556709148995e-06,0.1743875,0.007925,-7.567752900060489e-06,1.2082993207603225e-05,3.220471295738262e-05,0.2394875,0.0127,-9.051534163423477e-06,7.534862811247217e-06,2.700867815257585e-05,1.4667828007443165e-05,2.684849447063372e-06,-0.5709733487833141,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,6.648047909711806e-07,-3.72518309061692e-05,-0.09875000000000003,0.1585375,False,False,False
42,0,e106_subject_prior_gate_8acca0da,subject_prior_gate,e95,mixmin,s3_high_subject_support_0p90,S3,0.25,7.0,7.0,7.0,7.0,0.0,0.9583333333333333,0.6622222222222222,-6.561466297330032e-07,1.991811242069486e-05,0.2253294347299414,-2.6005317606214717e-05,-2.6005317606214717e-05,-3.1513470525657006e-05,-4.8284327156533635e-06,-4.8284327156533635e-06,-1.1686848958136764e-05,-3.375259209903447e-05,-3.375259209903447e-05,-3.1513470525657006e-05,-3.943492800373427e-05,-3.943492800373427e-05,-3.1513470525657006e-05,-3.943492800373427e-05,-4.8284327156533635e-06,3,3,43,-0.00013714400964546237,-5.401225068890625e-05,-0.00017067215385171974,-6.0655941758358534e-05,-0.00041105541675529045,-0.0002358556792568245,-0.0003758256764165769,4.9499751098091703e-05,0.75,0.9722222222222222,True,0.005478796872804631,0.004073790316119316,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007853628817036512,0.0025195034051483196,0.3480563223557736,0.0026981987691638474,1.1250751561241356e-05,6.948155026416448e-05,7,True,True,0.1332560834298957,0.1956521739130435,0.1669498725573492,0.15591397849462366,-1.4767111645767466e-05,-1.4722923173349449e-05,-1.4971296542684447e-05,-1.491209691471834e-05,5.435883542810592e-07,5.877768266990812e-07,3.394034573640803e-07,3.9860308533018557e-07,1.455193286028345e-06,1.5420195443846366e-06,9.363092179971072e-07,1.123768402312605e-06,False,7,14,36,-3.5512112240715866e-06,6.593033904004085e-05,1.9918112420695282e-05,-6.56146629733182e-07,0.055775,0.0,-3.551211224071141e-06,1.827874795009065e-05,4.09541892720753e-05,0.745725,0.0,-3.5512112240713948e-06,-3.5512112240710775e-06,8.067982578752241e-06,1.674888010487778e-05,3.0192720782495873e-06,-0.8502317497103129,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-8.508898547910996e-06,-2.903177201992696e-05,0.40748749999999995,0.039925,True,False,False
162,0,e106_subject_prior_gate_fcb7ba8d,subject_prior_gate,e95,mixmin,support_prob_best_top8,S3,0.25,8.0,8.0,8.0,8.0,0.0,0.9505208333333334,0.6622222222222223,-5.77733226080146e-07,2.1853832899831084e-05,0.25111274326243044,-2.5995906677844793e-05,-2.5995906677844793e-05,-3.1513470525657006e-05,-4.757052788684213e-06,-4.757052788684213e-06,-1.1686848958136764e-05,-3.376284932543605e-05,-3.376284932543605e-05,-3.1513470525657006e-05,-3.9467817919414117e-05,-3.9467817919414117e-05,-3.1513470525657006e-05,-3.9467817919414117e-05,-4.757052788684213e-06,3,3,163,-0.00013815617973944038,-5.4762006314157397e-05,-0.0001703730409528259,-6.0655941758358534e-05,-0.0004089616264631446,-0.00023480878411075157,-0.0003753712948427654,4.9499751098091703e-05,0.75,0.9722222222222222,True,0.005470846450127176,0.004045963836748222,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007846131260784026,0.002515341751919626,0.3480563223557736,0.0026974490135385984,1.1218326904687351e-05,7.743197294162018e-05,8,True,True,0.15701042873696408,0.2418478260869565,0.1898895497026338,0.1824372759856631,-1.4783334661895734e-05,-1.4812241252947957e-05,-1.498925137979889e-05,-1.4931856521771223e-05,5.273653381527929e-07,4.984587471005706e-07,3.2144862024963547e-07,3.788434782773036e-07,1.5211562725981329e-06,1.6119995553030677e-06,9.781746739933275e-07,1.1728385153630382e-06,False,8,15,35,-4.300966849320344e-06,7.31310060922478e-05,2.1853832899831565e-05,-5.777332260803033e-07,0.0368125,0.0,3.166440597038324e-06,2.2604163124313664e-05,4.4928957364422446e-05,0.6683875,0.0,-4.3009668493201635e-06,-4.300966849319846e-06,1.204275067109919e-05,1.6732657088749516e-05,3.0852350648193755e-06,-0.8264774044032446,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-8.430485144258118e-06,-2.7096051540790678e-05,0.33015,0.0209625,True,False,False
86,0,e106_subject_prior_gate_8fba1a57,subject_prior_gate,e95,mixmin,subject_expected_best_top8,Q2+S3,0.25,8.0,8.0,8.0,6.0,2.0,0.8397495361781075,0.6372222222222222,-1.0130344620626186e-06,1.1177859263378684e-05,0.20603452971167294,-2.5967276703342534e-05,-2.5967276703342534e-05,-3.166404792476207e-05,-4.991814643973136e-06,-4.991814643973136e-06,-1.1719107050556232e-05,-3.3642238041586836e-05,-3.3642238041586836e-05,-3.166404792476207e-05,-3.926777742435661e-05,-3.926777742435661e-05,-3.166404792476207e-05,-3.926777742435661e-05,-4.991814643973136e-06,3,3,87,-0.00013120252257108888,-5.839616978275952e-05,-0.00017227310908657367,-5.933845583358521e-05,-0.00042357958932442985,-0.00024145902257900753,-0.00040600947275604344,4.9499751098091703e-05,0.75,0.9722222222222222,True,0.00548474656115527,0.004094614225346551,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007781528697530113,0.002471452549367134,0.3480563223557736,0.002690988757213207,1.1073234535390433e-05,6.353186191353181e-05,8,True,True,0.38760139049826187,0.5489130434782609,0.3606627017841971,0.37240143369175627,-1.6523636824515763e-05,-1.7722648192903958e-05,-1.614635632880624e-05,-1.630432822410168e-05,-1.2129368244672334e-06,-2.411948192855431e-06,-8.356563287577152e-07,-9.93628224053155e-07,1.62264589426422e-06,1.7680001028033703e-06,1.0659417572472747e-06,1.2323062411995185e-06,False,8,15,35,-1.0761223174714526e-05,5.27706387387654e-05,1.1177859263378393e-05,-1.013034462062694e-06,0.1729125,0.0,-7.935130317931836e-06,1.1113069989180015e-05,3.0896345574869404e-05,0.64765,0.0,-1.0761223174711161e-05,-2.443532003237563e-07,1.1374840602498036e-05,1.4992354926129488e-05,3.186724686485463e-06,-0.5958864426419468,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-8.865786380240507e-06,-3.777202517724385e-05,0.3094124999999999,0.1570625,True,False,False
