source_basename,feature_block,recipe,actual_pred_rank_health,actual_true_rank_health,pred_top_mode,true_top_mode,source_actual_p90,source_null_strict_rate,source_worst_mode_p90_dominance,source_final_decision
submission_e315_humancomp_family_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv__09a4b12d.csv,action_shape,family_consensus,0.46874999999999767,0.25,actual,row,-0.0001714366393983,0.7727272727272727,0.0,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_l1mean_c160_w12_00_6e0c7ea0.csv,action_shape,family_consensus,0.46874999999999994,0.75,actual,subject,-0.000264852647856,0.4545454545454545,0.6,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_l1mean_c24_w12_00_0958e5f2.csv,action_shape,family_consensus,0.46875000000000044,0.4375,actual,subject,-0.0002904996770849,0.6818181818181818,0.0,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_l1mean_c48_w12_00_e61f47be.csv,action_shape,family_consensus,0.46874999999999956,0.5625,actual,subject,-0.0002578236366014,0.6363636363636364,0.4,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_l1mean_c96_w12_00_6e0c7ea0.csv,action_shape,family_consensus,0.46874999999999983,0.75,actual,subject,-0.000264852647856,0.5909090909090909,0.6,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_l1mean_call_w12_00_6e0c7ea0.csv,action_shape,family_consensus,0.4687499999999999,0.625,actual,dateblock,-0.000264852647856,0.6363636363636364,0.4,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_maxmean_c160_w5_00_5548dd85.csv,action_shape,family_consensus,0.46874999999999994,0.5625,actual,subject,-0.0001997063601529,0.5454545454545454,0.2,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_maxmean_c160_w8_00_6d271745.csv,action_shape,family_consensus,0.46875000000000044,0.875,actual,row,-0.0002935588545162,0.5,0.8,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_maxmean_c24_w12_00_7d4e5920.csv,action_shape,family_consensus,0.4687500000000004,0.625,actual,subject,-0.0003035021835329,0.7272727272727273,0.4,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_maxmean_c24_w5_00_827a8fe9.csv,action_shape,family_consensus,0.4687500000000009,0.375,actual,subject,-0.0002352953433375,0.6363636363636364,0.0,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_maxmean_c24_w8_00_82833aba.csv,action_shape,family_consensus,0.46875000000000067,0.4375,actual,dateblock,-0.0002910702772185,0.6363636363636364,0.0,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_maxmean_c48_w12_00_8467d720.csv,action_shape,family_consensus,0.46874999999999983,0.5625,actual,dateblock,-0.0003388626996542,0.5454545454545454,0.2,information_sensor_only
submission_e315_humancomp_family_bedtime_arousal_maxmean_c48_w5_00_d15a6127.csv,action_shape,family_consensus,0.46874999999999956,0.4375,actual,subject,-0.0002289347369142,0.5909090909090909,0.2,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_maxmean_c48_w8_00_af769609.csv,action_shape,family_consensus,0.46874999999999944,0.5625,actual,dateblock,-0.0003366717219436,0.5,0.4,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_maxmean_c96_w5_00_5548dd85.csv,action_shape,family_consensus,0.4687499999999999,0.625,actual,subject,-0.0001997063601529,0.6363636363636364,0.2,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_maxmean_c96_w8_00_6d271745.csv,action_shape,family_consensus,0.46875000000000006,0.75,actual,dateblock,-0.0002935588545162,0.5454545454545454,0.6,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_maxmean_call_w5_00_5548dd85.csv,action_shape,family_consensus,0.46874999999999994,0.375,actual,subject,-0.0001997063601529,0.5454545454545454,0.0,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_family_bedtime_arousal_maxmean_call_w8_00_6d271745.csv,action_shape,family_consensus,0.46875000000000044,0.8125,actual,subject,-0.0002935588545162,0.5454545454545454,0.6,blocked_by_human_ready_composition_nulls
submission_e315_humancomp_neg_top3_l1avg_c160_w10_00_f27cec0c.csv,action_shape,ranked_negative_stack,0.4687499999999999,0.375,actual,subject,-0.000205065150528,0.6363636363636364,0.0,blocked_by_human_ready_composition_nulls
