comparison,target,changed_cells,mean_abs_prob_delta,max_abs_prob_delta,mean_abs_logit_delta,max_abs_logit_delta,signed_prob_delta_sum,signed_logit_delta_sum
e237_vs_e224,Q1,0,0.0,0.0,0.0,0.0,0.0,0.0
e237_vs_e224,Q2,0,0.0,0.0,0.0,0.0,0.0,0.0
e237_vs_e224,Q3,25,0.002153316558927893,0.041105375827835466,0.009282638642174058,0.17209235472968332,0.2587472024893704,1.0663699735657954
e237_vs_e224,S1,0,0.0,0.0,0.0,0.0,0.0,0.0
e237_vs_e224,S2,0,0.0,0.0,0.0,0.0,0.0,0.0
e237_vs_e224,S3,0,0.0,0.0,0.0,0.0,0.0,0.0
e237_vs_e224,S4,0,1.7763568394002505e-18,1.1102230246251565e-16,6.772360450213455e-18,6.661338147750939e-16,-4.440892098500626e-16,-1.6930901125533637e-15
e237_vs_e95,Q1,70,0.000664288394131008,0.0052680447455851764,0.003297393055186506,0.023459001777274335,0.08872334644198734,0.42018904694444625
e237_vs_e95,Q2,0,4.440892098500626e-19,1.1102230246251565e-16,8.881784197001253e-19,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16
e237_vs_e95,Q3,238,0.006328135527452927,0.034208456559790545,0.029096527724668052,0.13702647791740413,-0.4448405041733011,-2.1104786514187124
e237_vs_e95,S1,0,1.7208456881689926e-18,2.0816681711721685e-16,1.199040866595169e-17,1.7763568394002505e-15,-4.3021142204224816e-16,-2.9976021664879227e-15
e237_vs_e95,S2,39,0.0002940916617147844,0.0052437953777627055,0.0018953441438920447,0.02135885040269403,0.003370932891908318,0.0713879932522162
e237_vs_e95,S3,56,0.00038093438163977846,0.005462311610252069,0.002153058001600783,0.02200776788037867,-0.05614216510255557,-0.3121977285035668
e237_vs_e95,S4,119,0.004914730609884973,0.027480903530896383,0.025941678242696952,0.16929496819948486,0.22663524629834414,0.7872747915245978
