view_id,split,story,source,mapped_family,r2,corr
family_jepa_context,dateblock5,payeom_post3_late_shopping,cashflow,cognitive_money,0.6463405935693723,0.8048565243524409
family_jepa_context,dateblock5,pay20_post3_relief_home,cashflow,routine_calendar,0.4715723808261215,0.6964823268101287
family_jepa_context,dateblock5,pay25_pre3_cash_stress,cashflow,cognitive_money,0.16017970845348162,0.45355893130023933
raw_human_context,subject5,commute_workday,human_social,mobility_context,-0.4401542971827115,0.4780225658821031
raw_human_context,subject5,bright_light_late,human_social,bedtime_phone,-1.0223293454060953,0.388166805277137
raw_human_context,subject5,vehicle_noise_day,human_social,mobility_context,-2.575732022126658,0.12206686353164213
raw_human_context,subject5,single_app_monotony,human_social,routine_calendar,-12.82751912416527,0.2958921871568586
raw_human_context,subject5,app_entropy_scattered_day,human_social,routine_calendar,-21.758682591225213,0.30828358418410584
raw_human_context,subject5,heart_stress_late,human_social,physiology_activity,0.07587454773974245,0.7071980417218472
raw_human_context,subject5,outdoor_nature_day,human_social,mobility_context,-2.09421521817335,0.19837056951747314
raw_human_context,subject5,morning_after_badnight,human_social,diary_global,-0.2884772517460359,0.48299375807676903
raw_human_context,subject5,quiet_dark_bedtime,human_social,routine_calendar,-0.697695428040487,0.4203364408738573
raw_human_context,subject5,media_binge_late,human_social,media_game,0.002005025446022879,0.6380286467911209
raw_human_context,subject5,night_out_mobility,human_social,mobility_context,-3.2434027424190743,0.17041965290808134
raw_human_context,subject5,weekday_routine_pressure,human_social,routine_calendar,-0.9282914497663997,0.40807332265283847
raw_human_context,subject5,phone_in_bed,human_social,bedtime_phone,-1.1386697378418442,0.3374005407467323
raw_human_context,subject5,paymonth_start_post7_spend_outing,cashflow,cognitive_money,-1.5269486880786083,0.12421925200291378
raw_human_context,subject5,monthstart_spending_reset,cashflow,cognitive_money,-1.7568310434671721,0.12589243667973124
raw_human_context,subject5,paymonth_start_post3_late_shopping,cashflow,cognitive_money,-1.3715162500038827,-0.07208034014352563
raw_human_context,subject5,weekend_ritual_rest,human_social,routine_calendar,-0.40544307921199874,0.4489171850891072
