feature_block,task,heldout_experiment,n_valid,positive_rate,auc,average_precision,pred_mean,mae,spearman
semantic_only,null_common,e279,66,0.24242424242424243,0.5,0.24242424242424243,0.865714941669381,,
semantic_only,null_common,e284,9,0.0,,,0.2784960961800531,,
semantic_only,null_common,e285,158,0.0,,,0.6861333148840397,,
semantic_only,null_common,e286,533,0.0,,,0.38343979724806126,,
semantic_only,null_common,e287,3,0.0,,,0.5498327848742123,,
semantic_only,null_common,e289,28,0.42857142857142855,0.375,0.4095238095238095,0.5925759407093737,,
semantic_only,null_common,e290,48,0.7083333333333334,0.5,0.7083333333333334,0.6062304523192861,,
semantic_only,null_common,e291,40,0.45,0.43939393939393934,0.4141975308641975,0.6803079492827366,,
semantic_only,null_common,e292,56,0.2857142857142857,0.59375,0.3359375,0.5598289096473975,,
semantic_only,null_common,e293,64,0.75,0.6145833333333334,0.8072916666666666,0.37488321964432425,,
semantic_only,null_common,e297,39,0.5128205128205128,0.381578947368421,0.49450549450549447,0.12599773590713242,,
semantic_only,null_common,e299,71,0.6619718309859155,0.5,0.6619718309859155,0.8165439566063897,,
semantic_only,null_common,e300,120,0.7,0.5,0.7,0.8030190207446561,,
semantic_only,null_common,e301,1,0.0,,,0.8026479704387983,,
semantic_only,null_common,e303,12,0.9166666666666666,0.5,0.9166666666666666,0.803933809970479,,
semantic_only,null_common,e305,14,1.0,,,0.7954249245875625,,
semantic_only,null_common,e306,20,1.0,,,0.7924965328773421,,
semantic_only,null_common,e307,22,1.0,,,0.7912360443099405,,
semantic_only,null_common,e310,42,0.5714285714285714,0.33333333333333337,0.5714285714285714,0.5725187197274619,,
semantic_only,null_common,e311,37,0.7567567567567568,0.5,0.7567567567567568,0.8086323707797118,,
semantic_only,null_common,__global_oof__,1383,0.2993492407809111,0.7134839443023587,0.496780492528727,0.557036154300922,,
semantic_only,null_rare,e279,66,0.696969696969697,0.5,0.696969696969697,0.11112445707424347,,
semantic_only,null_rare,e284,9,1.0,,,0.7189571861790577,,
semantic_only,null_rare,e285,158,1.0,,,0.28151254140505483,,
semantic_only,null_rare,e286,533,1.0,,,0.6210361773967222,,
semantic_only,null_rare,e287,3,1.0,,,0.4220434407861326,,
semantic_only,null_rare,e289,28,0.5357142857142857,0.43846153846153846,0.5071428571428571,0.4111794528786811,,
semantic_only,null_rare,e290,48,0.25,0.5,0.25,0.4221860923788466,,
semantic_only,null_rare,e291,40,0.55,0.43939393939393945,0.5227272727272728,0.31460262925706417,,
semantic_only,null_rare,e292,56,0.6785714285714286,0.5526315789473684,0.7028900375939849,0.45517882718799335,,
semantic_only,null_rare,e293,64,0.21875,0.61,0.2641509433962264,0.611403809124857,,
semantic_only,null_rare,e297,39,0.4358974358974359,0.5441176470588235,0.5035193564605329,0.707477710261721,,
semantic_only,null_rare,e299,71,0.29577464788732394,0.5,0.29577464788732394,0.1621013735163824,,
semantic_only,null_rare,e300,120,0.25,0.5,0.25,0.17220911155246466,,
semantic_only,null_rare,e301,1,0.0,,,0.17674269784981558,,
semantic_only,null_rare,e303,12,0.0,,,0.1744597034221483,,
semantic_only,null_rare,e305,14,0.0,,,0.18148199056746675,,
semantic_only,null_rare,e306,20,0.0,,,0.1836433491172092,,
semantic_only,null_rare,e307,22,0.0,,,0.18490640774089329,,
semantic_only,null_rare,e310,42,0.21428571428571427,0.30808080808080807,0.17239858906525574,0.42595106373074804,,
semantic_only,null_rare,e311,37,0.08108108108108109,0.5,0.08108108108108109,0.17868527250865512,,
semantic_only,null_rare,__global_oof__,1383,0.6724511930585684,0.7742611977497686,0.8806742300424993,0.43120981921626333,,
semantic_only,visible_null_common,e279,66,0.19696969696969696,0.5,0.19696969696969696,0.8645875954107209,,
semantic_only,visible_null_common,e284,9,0.0,,,0.27650468280896134,,
semantic_only,visible_null_common,e285,158,0.0,,,0.6841077445264419,,
semantic_only,visible_null_common,e286,533,0.0,,,0.383067347408443,,
semantic_only,visible_null_common,e287,3,0.0,,,0.5484236009667898,,
semantic_only,visible_null_common,e289,28,0.42857142857142855,0.375,0.4095238095238095,0.588418539700435,,
semantic_only,visible_null_common,e290,48,0.6875,0.5,0.6875,0.611374828322851,,
semantic_only,visible_null_common,e291,40,0.45,0.43939393939393934,0.4141975308641975,0.6834309665141335,,
semantic_only,visible_null_common,e292,56,0.2857142857142857,0.59375,0.3359375,0.5552538938719129,,
semantic_only,visible_null_common,e293,64,0.75,0.6145833333333334,0.8072916666666666,0.3711733210683562,,
semantic_only,visible_null_common,e297,39,0.5128205128205128,0.381578947368421,0.49450549450549447,0.12215392079569504,,
semantic_only,visible_null_common,e299,71,0.6619718309859155,0.5,0.6619718309859155,0.8102835490487504,,
semantic_only,visible_null_common,e300,120,0.6916666666666667,0.5,0.6916666666666667,0.795640061436739,,
semantic_only,visible_null_common,e301,1,0.0,,,0.7973421177881237,,
semantic_only,visible_null_common,e303,12,0.9166666666666666,0.5,0.9166666666666666,0.7985305950859479,,
semantic_only,visible_null_common,e305,14,1.0,,,0.7895161986357272,,
semantic_only,visible_null_common,e306,20,1.0,,,0.7861459010228736,,
semantic_only,visible_null_common,e307,22,1.0,,,0.7852186905097132,,
semantic_only,visible_null_common,e310,42,0.5476190476190477,0.34210526315789475,0.5476190476190477,0.5729037814180752,,
semantic_only,visible_null_common,e311,37,0.7567567567567568,0.5,0.7567567567567568,0.8023720842706409,,
semantic_only,visible_null_common,__global_oof__,1383,0.2950108459869848,0.7087870789341377,0.48540839329830693,0.5548952332906065,,
semantic_only,action_cliff,e279,66,0.19696969696969696,0.5,0.19696969696969696,0.8705063577276727,,
semantic_only,action_cliff,e284,9,0.0,,,0.2776619165486539,,
semantic_only,action_cliff,e285,158,0.0,,,0.6882126856279481,,
semantic_only,action_cliff,e286,533,0.0,,,0.38215357924676935,,
semantic_only,action_cliff,e287,3,0.0,,,0.5516754203930049,,
semantic_only,action_cliff,e289,28,0.42857142857142855,0.375,0.4095238095238095,0.5954071475012503,,
semantic_only,action_cliff,e290,48,0.6875,0.5,0.6875,0.6087571124970542,,
semantic_only,action_cliff,e291,40,0.45,0.43939393939393934,0.41397707231040565,0.7108346229637694,,
semantic_only,action_cliff,e292,56,0.32142857142857145,0.5526315789473685,0.3482142857142857,0.5508870624825697,,
semantic_only,action_cliff,e293,64,0.75,0.6145833333333334,0.8072916666666666,0.3513161597083798,,
semantic_only,action_cliff,e297,39,0.5128205128205128,0.381578947368421,0.49450549450549447,0.1269444743997768,,
semantic_only,action_cliff,e299,71,0.6901408450704225,0.5,0.6901408450704225,0.815291658237699,,
semantic_only,action_cliff,e300,120,0.7166666666666667,0.5,0.7166666666666667,0.7949763020230061,,
semantic_only,action_cliff,e301,1,0.0,,,0.8010408777914055,,
semantic_only,action_cliff,e303,12,1.0,,,0.8022907498212138,,
semantic_only,action_cliff,e305,14,1.0,,,0.793548318405726,,
semantic_only,action_cliff,e306,20,1.0,,,0.790173352641881,,
semantic_only,action_cliff,e307,22,1.0,,,0.7893425872322353,,
semantic_only,action_cliff,e310,42,0.5476190476190477,0.34210526315789475,0.5476190476190477,0.5770540041263827,,
semantic_only,action_cliff,e311,37,0.7567567567567568,0.5,0.7567567567567568,0.8066524897279652,,
semantic_only,action_cliff,__global_oof__,1383,0.3007953723788865,0.7132872782594861,0.4979246876215217,0.5558316850574375,,
semantic_only,safe_invisible,e279,66,0.696969696969697,0.5,0.696969696969697,0.10918513639651795,,
semantic_only,safe_invisible,e284,9,1.0,,,0.7196767068167398,,
semantic_only,safe_invisible,e285,158,1.0,,,0.2808266080405875,,
semantic_only,safe_invisible,e286,533,1.0,,,0.6224705048833383,,
semantic_only,safe_invisible,e287,3,1.0,,,0.42269241258662116,,
semantic_only,safe_invisible,e289,28,0.5357142857142857,0.43846153846153846,0.5071428571428571,0.4121861506480103,,
semantic_only,safe_invisible,e290,48,0.25,0.5,0.25,0.425398213886166,,
semantic_only,safe_invisible,e291,40,0.55,0.43939393939393945,0.5227272727272728,0.31581520253239975,,
