block_idx,block_id,subject_id,n_rows,len_bin,context_type,start,end,method,row_logloss,count_nll_per_row,rate_mae,count_mae,support_min,support_mean,dominant_stage
5,pseudo_id01_l13_s28,id01,13,11-16,after_train_run,2024-08-17,2024-08-31,edge_shrink050,0.8518503251927846,0.3017973865262405,0.2558869701726844,3.326530612244898,,,
5,pseudo_id01_l13_s28,id01,13,11-16,after_train_run,2024-08-17,2024-08-31,calendar_count_strict,0.6841721741990878,0.13411923553254382,0.08325369212068716,1.082297997568933,5.0,5.714285714285714,exact_len
5,pseudo_id01_l13_s28,id01,13,11-16,after_train_run,2024-08-17,2024-08-31,calendar_count_local,0.6829693476725331,0.1329164090059891,0.08074700340710195,1.0497110442923252,5.0,6.857142857142857,exact_len
6,pseudo_id01_l14_s0,id01,14,11-16,before_train_run,2024-06-26,2024-07-09,subject_mean,0.6626108235296774,0.1373843135019541,0.09297052154195014,1.3015873015873018,,,
6,pseudo_id01_l14_s0,id01,14,11-16,before_train_run,2024-06-26,2024-07-09,edge_shrink025,0.6971909719493969,0.17196446192167375,0.1439909297052154,2.015873015873016,,,
6,pseudo_id01_l14_s0,id01,14,11-16,before_train_run,2024-06-26,2024-07-09,edge_shrink050,0.8018911053748737,0.27666459534715054,0.2373393801965231,3.3227513227513232,,,
6,pseudo_id01_l14_s0,id01,14,11-16,before_train_run,2024-06-26,2024-07-09,calendar_count_strict,0.6621628077024129,0.13693629767468965,0.09706590367304657,1.358922651422652,5.0,5.142857142857143,lenbin_both_edges
6,pseudo_id01_l14_s0,id01,14,11-16,before_train_run,2024-06-26,2024-07-09,calendar_count_local,0.6622430867830285,0.13701657675530524,0.09612393205681384,1.345735048795394,5.0,6.428571428571429,lenbin_both_edges
7,pseudo_id01_l14_s7,id01,14,11-16,between_train_runs,2024-07-03,2024-07-17,subject_mean,0.6295510052543966,0.1366825070739372,0.09901738473167046,1.3862433862433865,,,
7,pseudo_id01_l14_s7,id01,14,11-16,between_train_runs,2024-07-03,2024-07-17,edge_shrink025,0.6122384392399995,0.11936994105954009,0.06774376417233562,0.9484126984126985,,,
7,pseudo_id01_l14_s7,id01,14,11-16,between_train_runs,2024-07-03,2024-07-17,edge_shrink050,0.6042531850565679,0.1113846868761086,0.04856386999244142,0.6798941798941799,,,
7,pseudo_id01_l14_s7,id01,14,11-16,between_train_runs,2024-07-03,2024-07-17,calendar_count_strict,0.6250944989732949,0.1322260007928357,0.0970159347465065,1.358223086451091,5.0,7.285714285714286,exact_len
7,pseudo_id01_l14_s7,id01,14,11-16,between_train_runs,2024-07-03,2024-07-17,calendar_count_local,0.6243023485125215,0.13143385033206212,0.09493867396324239,1.3291414354853934,7.0,8.857142857142858,exact_len
8,pseudo_id01_l14_s14,id01,14,11-16,between_train_runs,2024-07-10,2024-07-28,subject_mean,0.6434143698988217,0.16678147145066738,0.1647770219198791,2.306878306878307,,,
8,pseudo_id01_l14_s14,id01,14,11-16,between_train_runs,2024-07-10,2024-07-28,edge_shrink025,0.6519278711371076,0.17529497268895325,0.1541950113378685,2.158730158730159,,,
8,pseudo_id01_l14_s14,id01,14,11-16,between_train_runs,2024-07-10,2024-07-28,edge_shrink050,0.7001062332647987,0.2234733348166443,0.1746031746031746,2.444444444444444,,,
8,pseudo_id01_l14_s14,id01,14,11-16,between_train_runs,2024-07-10,2024-07-28,calendar_count_strict,0.636169481495515,0.15953658304736057,0.15066827016041345,2.1093557822457885,5.0,7.571428571428571,lenbin_both_edges
8,pseudo_id01_l14_s14,id01,14,11-16,between_train_runs,2024-07-10,2024-07-28,calendar_count_local,0.6363702514439776,0.1597373529958233,0.15101101262138253,2.1141541766993552,5.0,7.714285714285714,lenbin_both_edges
9,pseudo_id01_l14_s21,id01,14,11-16,between_train_runs,2024-07-19,2024-08-24,subject_mean,0.6482741679442293,0.14922061054366473,0.1247165532879819,1.7460317460317465,,,
9,pseudo_id01_l14_s21,id01,14,11-16,between_train_runs,2024-07-19,2024-08-24,edge_shrink025,0.6849476059524207,0.1858940485518559,0.145124716553288,2.031746031746032,,,
9,pseudo_id01_l14_s21,id01,14,11-16,between_train_runs,2024-07-19,2024-08-24,edge_shrink050,0.7673404067437073,0.26828684934314256,0.20483749055177627,2.867724867724868,,,
9,pseudo_id01_l14_s21,id01,14,11-16,between_train_runs,2024-07-19,2024-08-24,calendar_count_strict,0.6592128681172238,0.16015931071665918,0.12990187786518148,1.8186262901125405,5.0,8.142857142857142,lenbin_both_edges
9,pseudo_id01_l14_s21,id01,14,11-16,between_train_runs,2024-07-19,2024-08-24,calendar_count_local,0.6588232590707819,0.15976970167021715,0.1293767507799384,1.8112745109191375,7.0,9.285714285714286,lenbin_both_edges
10,pseudo_id01_l14_s27,id01,14,11-16,after_train_run,2024-07-28,2024-08-31,subject_mean,0.6721522406682369,0.12314250645724072,0.061980347694633404,0.8677248677248677,,,
10,pseudo_id01_l14_s27,id01,14,11-16,after_train_run,2024-07-28,2024-08-31,edge_shrink025,0.7114639756500892,0.16245424143909312,0.14002267573696145,1.9603174603174602,,,
10,pseudo_id01_l14_s27,id01,14,11-16,after_train_run,2024-07-28,2024-08-31,edge_shrink050,0.8240620878242566,0.2750523536132607,0.24981103552532122,3.497354497354497,,,
10,pseudo_id01_l14_s27,id01,14,11-16,after_train_run,2024-07-28,2024-08-31,calendar_count_strict,0.6689941694454062,0.1199844352344102,0.06189278701593973,0.8664990182231562,5.0,5.0,exact_len
10,pseudo_id01_l14_s27,id01,14,11-16,after_train_run,2024-07-28,2024-08-31,calendar_count_local,0.6685104369231841,0.11950070271218816,0.060442447888816864,0.846194270443436,5.0,6.428571428571429,exact_len
11,pseudo_id02_l16_s0,id02,16,11-16,before_train_run,2024-07-17,2024-08-07,subject_mean,0.5505941818990545,0.12191850405084706,0.09821428571428571,1.5714285714285714,,,
