strategy,mask_name,keep_factor,rollback_cells,rollback_q2s3_cells,rollback_s_cells,all_minus_base,original_strict_submit,e144_submit,beats_e143_local,p95_not_worse_than_e143,gate_active_q2s3_not_more_than_e101,e101_active_delta95_l1,q2s3_delta95_l1,e72_plausible_gap_vs_e95,post101_mean_vs_e95_e101_sensor,post101_p95_vs_e95_e101_sensor,mean_abs_logit_move_vs_e95,changed_cells_vs_e95,tail_equal_law_cosine,tail_equal_law_resid_ratio,tag
active_boundary_refine,top_q2s3_weighted_24,0.15,24,24,24,-9.72592963266461e-06,True,True,True,True,True,0.0009200000000002201,0.0010640000000000215,2.8189256484623115e-18,-1.332658313851886e-05,-3.4304890503887105e-06,0.001881142857142909,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_24_d7b4b331
active_boundary_refine,top_q2s3_weighted_23,0.1,23,23,23,-9.672798483295608e-06,True,True,True,True,True,0.0008800000000002111,0.001052000000000016,2.8189256484623115e-18,-1.3267118441229957e-05,-3.411748854538147e-06,0.0018777142857143363,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_23_7b64ced8
active_boundary_refine,top_q2s3_weighted_24,0.1,24,24,24,-9.650621854873087e-06,True,True,True,True,True,0.0008800000000002111,0.0010160000000000156,2.8189256484623115e-18,-1.324229822725576e-05,-3.4039268073044826e-06,0.0018674285714286216,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_24_b7427c0e
active_boundary_refine,top_q2s3_weighted_22,0.05,22,22,22,-9.595749740243242e-06,True,True,True,True,True,0.0008400000000002156,0.0010440000000000163,2.8189256484623115e-18,-1.3180885031327995e-05,-3.384572545499304e-06,0.0018754285714286216,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_22_7899d834
active_boundary_refine,top_q2s3_weighted_23,0.05,23,23,23,-9.595618117974603e-06,True,True,True,True,True,0.0008400000000002156,0.0010060000000000158,2.8189256484623115e-18,-1.3180737718904791e-05,-3.3845261202455327e-06,0.0018645714285714788,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_23_31254f60
active_boundary_refine,s3_non_e101,0.53,43,43,43,-9.577739626176474e-06,True,True,True,True,True,0.0016000000000002252,0.0010716000000000347,2.8189256484623115e-18,-1.316072800491622e-05,-3.378220093709524e-06,0.0018833142857143414,185,0.971693316627712,0.2436718036084944,e143_s3_non_e101_0ea7bb5f
active_boundary_refine,q2s3,0.57,47,47,47,-9.57604051687877e-06,True,True,True,True,True,0.0009120000000002499,0.0010716000000000345,2.8189256484623115e-18,-1.315882635171939e-05,-3.3776207910144256e-06,0.0018833142857143414,185,0.971693316627712,0.2436718036084944,e143_q2s3_2eed36d3
active_boundary_refine,top_q2s3_weighted_24,0.05,24,24,24,-9.567544502209202e-06,True,True,True,True,True,0.0008400000000002156,0.0009680000000000159,2.8189256484623115e-18,-1.3149317561744242e-05,-3.374624112404084e-06,0.0018537142857143359,185,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_24_60a96f16
active_boundary_refine,top_tension_24,0.15,24,24,24,-9.566318781684124e-06,True,True,True,True,True,0.0002400000000002306,0.0010640000000000233,2.8189256484623115e-18,-1.3147945728067576e-05,-3.3741917814085976e-06,0.0018811428571429093,185,0.971693316627712,0.2436718036084944,e143_top_tension_24_f2df6e3e
control_e143,none,1.0,0,0,0,-9.551357769921331e-06,True,False,False,True,True,0.0007999999999999884,0.0010399999999999858,-1.5178830414797062e-18,-1.3131201275026914e-05,-3.3689147961770574e-06,0.0018742857142857098,164,0.9716933166277121,0.24367180360849447,e144_control_e143
active_boundary_refine,top_q2s3_weighted_21,0.0,21,21,21,-9.551357769921331e-06,True,False,False,True,True,0.0007999999999999884,0.0010399999999999858,-1.5178830414797062e-18,-1.3131201275026914e-05,-3.3689147961770574e-06,0.0018742857142857098,164,0.9716933166277121,0.24367180360849447,e143_top_q2s3_weighted_21_68ca656f
active_boundary_refine,s3_non_e101,0.52,43,43,43,-9.54923025908716e-06,True,False,False,False,True,0.0016000000000002252,0.00105440000000004,2.8189256484623115e-18,-1.3128820152291191e-05,-3.3681643894912945e-06,0.001878400000000057,185,0.971693316627712,0.2436718036084944,e143_s3_non_e101_a7a12bf7
active_boundary_refine,q2s3,0.56,47,47,47,-9.547377568641657e-06,True,False,False,False,True,0.0008960000000002499,0.0010528000000000377,2.8189256484623115e-18,-1.3126746610163455e-05,-3.367510916298796e-06,0.0018779428571429138,185,0.971693316627712,0.2436718036084944,e143_q2s3_7a5c326f
active_boundary_refine,s3_non_e101,0.51,43,43,43,-9.520568001408769e-06,True,False,False,False,True,0.0016000000000002252,0.0010372000000000402,2.8189256484623115e-18,-1.309674118361267e-05,-3.3580547583466373e-06,0.0018734857142857716,185,0.971693316627712,0.2436718036084944,e143_s3_non_e101_b8305d31
active_boundary_refine,q2s3,0.55,47,47,47,-9.518554889731412e-06,True,False,False,False,True,0.0008800000000002362,0.0010340000000000405,2.8189256484623115e-18,-1.3094488097091403e-05,-3.35734470205102e-06,0.001872571428571486,185,0.971693316627712,0.2436718036084944,e143_q2s3_63bfe095
active_boundary_refine,top_q2s3_weighted_22,0.0,22,22,22,-9.513393433246975e-06,True,False,False,False,True,0.00080000000000022,0.001000000000000016,2.8189256484623115e-18,-1.3088711364401408e-05,-3.3555241747983393e-06,0.0018628571428571932,163,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_22_7852ee91
active_boundary_refine,top_q2s3_weighted_23,0.0,23,23,23,-9.512702533909234e-06,True,False,False,False,True,0.00080000000000022,0.0009600000000000162,2.8189256484623115e-18,-1.308793810576756e-05,-3.355280483685763e-06,0.0018514285714286219,162,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_23_555ca0d2
active_boundary_refine,top_tension_22,0.05,22,22,22,-9.511582688026543e-06,True,False,False,False,True,8.000000000023877e-05,0.001044000000000017,2.8189256484623115e-18,-1.3086684767618181e-05,-3.3548854963494584e-06,0.001875428571428622,185,0.971693316627712,0.2436718036084944,e143_top_tension_22_ba3e34c0
active_boundary_refine,top_tension_23,0.1,23,23,23,-9.511059509526021e-06,True,False,False,False,True,0.00016000000000023553,0.001052000000000019,2.8189256484623115e-18,-1.3086099223139451e-05,-3.354700963026142e-06,0.0018777142857143367,185,0.971693316627712,0.2436718036084944,e143_top_tension_23_2191d281
active_boundary_refine,s3_non_e101,0.5,43,43,43,-9.491752851142898e-06,True,False,False,False,True,0.0016000000000002252,0.0010200000000000328,2.8189256484623115e-18,-1.3064491096644027e-05,-3.3478911995706826e-06,0.0018685714285714837,185,0.971693316627712,0.2436718036084944,e143_s3_non_e101_1fe623d9
active_boundary_refine,q2s3,0.54,47,47,47,-9.489572476928387e-06,True,False,False,False,True,0.0008640000000002262,0.0010152000000000446,2.8189256484623115e-18,-1.306205080889979e-05,-3.347122147135479e-06,0.0018672000000000586,185,0.971693316627712,0.2436718036084944,e143_q2s3_6a13003c
active_boundary_refine,top_q2s3_weighted_24,0.0,24,24,24,-9.481907504382825e-06,True,False,False,False,True,0.00080000000000022,0.0009200000000000163,2.8189256484623115e-18,-1.3053472126195524e-05,-3.3444185902126756e-06,0.0018400000000000504,161,0.971693316627712,0.2436718036084944,e143_top_q2s3_weighted_24_8d1a2eb9
active_boundary_refine,top_tension_24,0.1,24,24,24,-9.476827742660454e-06,True,False,False,False,True,0.00016000000000023553,0.0010160000000000186,2.8189256484623115e-18,-1.304778682676745e-05,-3.3426268779933473e-06,0.0018674285714286225,185,0.971693316627712,0.2436718036084944,e143_top_tension_24_37e5845c
active_boundary_refine,top_tension_21,0.0,21,21,21,-9.469925475680263e-06,True,False,False,False,True,2.34257058195908e-16,0.0010400000000000175,2.8189256484623115e-18,-1.30400617686526e-05,-3.3401923393741396e-06,0.0018742857142857651,164,0.971693316627712,0.2436718036084944,e143_top_tension_21_73020281
active_boundary_refine,q2s3,0.53,47,47,47,-9.460430327012936e-06,True,False,False,False,True,0.0008480000000002335,0.0009964000000000355,2.8189256484623115e-18,-1.3029434741985167e-05,-3.336843250416548e-06,0.0018618285714286276,185,0.971693316627712,0.2436718036084944,e143_q2s3_d342fab2
