split,task,feature_block,n,target_mean,spearman,pearson,rmse,positive_rate,auc,average_precision,logloss,pred_mean
source_group,predict_p90,identity_signal,1072,-0.00026696215913347846,0.18218575942766177,0.2381643802974497,0.000169934953115117,,,,,
source_group,predict_p90,human_signature,1072,-0.00026696215913347846,0.39971113798086544,0.4469716831014816,0.00017158518525993408,,,,,
source_group,predict_p90,shape_signature,1072,-0.00026696215913347846,0.8036746068475834,0.8818457306635502,8.24882097968614e-05,,,,,
source_group,predict_p90,action_shape,1072,-0.00026696215913347846,0.8188435209982287,0.8960844323781351,7.772455131731763e-05,,,,,
source_group,predict_p90,human_plus_action,1072,-0.00026696215913347846,0.9028038883893901,0.9347995950005146,6.26540316768126e-05,,,,,
source_group,predict_p90,human_plus_identity_action,1072,-0.00026696215913347846,0.9038904645216701,0.934062066849691,6.305985005269629e-05,,,,,
source_group,predict_p90,shape_plus_identity,1072,-0.00026696215913347846,0.8843606852256531,0.9167526410813344,6.987865137924644e-05,,,,,
source_group,predict_mean,identity_signal,1072,-0.0006899928897292246,0.12537223177035867,0.08388201139383585,0.0005399312051384244,,,,,
source_group,predict_mean,human_signature,1072,-0.0006899928897292246,0.5419275023807629,0.6503444395126917,0.0004384605117576406,,,,,
source_group,predict_mean,shape_signature,1072,-0.0006899928897292246,0.9165956933505408,0.975041742545325,0.00012021427037363437,,,,,
source_group,predict_mean,action_shape,1072,-0.0006899928897292246,0.9273188377474001,0.986066601156403,9.008910876024568e-05,,,,,
source_group,predict_mean,human_plus_action,1072,-0.0006899928897292246,0.9579897418147268,0.9880409375432302,8.368803940030771e-05,,,,,
source_group,predict_mean,human_plus_identity_action,1072,-0.0006899928897292246,0.961333300259568,0.9880764773880223,8.360266803853901e-05,,,,,
source_group,predict_mean,shape_plus_identity,1072,-0.0006899928897292246,0.9471536512246951,0.9802144585610332,0.00010717377188668253,,,,,
source_group,predict_p90_rank,identity_signal,1072,0.46875,0.3978453097252046,0.4657302206733789,0.25496197784252733,,,,,
