scenario_id,feature_view,dropped_public,train_rows,feature_count,gated_count,top_variant,top_family,top_origin,top_file,top_score,generated_gated_count,train_spearman_ridge_10,train_spearman_ridge_1,train_spearman_knn3,train_spearman_extratrees,e365_rank,e365_score,top_beats_e365,top_is_e365
all__none,all,none,13,164,250,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.337640941434044,0,0.967032967032967,0.9945054945054945,1.0,0.9917393003710356,74.0,6.817673782156541,True,False
all__drop_submission_hybrid_0p578_logit_after_subjec,all,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,12,164,250,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.33271483305966,0,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,74.0,6.809080459770115,True,False
all__drop_submission_hybrid_0p567_foldsafe_stage2_q1,all,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,12,164,105,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.32351943076081,0,0.9790209790209792,0.9930069930069931,1.0,0.9929823694376383,74.0,6.822107279693487,True,False
all__drop_submission_ordinal_q_constraints_ambnext_Q,all,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,12,164,246,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.336984126984126,0,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,74.0,6.829824849480023,True,False
all__drop_submission_mixmin_0c916bb4_csv,all,submission_mixmin_0c916bb4.csv,12,164,246,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.340377668308703,0,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,74.0,6.82407772304324,True,False
all__drop_submission_e72_topabs50_q2s3_gate_4e48cba2,all,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,12,164,82,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.31279146141215,0,0.9580419580419581,0.9930069930069931,1.0,0.9947414184151023,74.0,6.664088669950739,True,False
all__drop_submission_e95_hardtail_541e3973_csv,all,submission_e95_hardtail_541e3973.csv,12,164,247,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.342183908045977,0,0.9860139860139862,1.0,1.0,0.9964973622679555,74.0,6.83048166392994,True,False
all__drop_submission_e101_q2s3tail_177569bc_csv,all,submission_e101_q2s3tail_177569bc.csv,12,164,248,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.341581828133553,0,1.0,1.0,1.0,0.99124495269876,74.0,6.822599890530926,True,False
all__drop_submission_e176_abl_q2_to0p75_91e49725_csv,all,submission_e176_abl_q2_to0p75_91e49725.csv,12,164,246,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.346945812807881,0,0.965034965034965,0.9930069930069931,1.0,0.9947414184151023,74.0,6.843234811165846,True,False
all__drop_submission_e216_maskfam_jepa_s2_rank_e154_,all,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,12,164,240,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.241472359058566,0,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,74.0,6.798352490421457,True,False
all__drop_submission_e247_featnn1_nn_smooth_sum_top3,all,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,12,164,247,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.30912424740011,0,0.9790209790209792,0.9930069930069931,1.0,0.99124495269876,74.0,6.834094143404489,True,False
all__drop_submission_e256_featnn1_top50_amp_then_smo,all,submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,12,164,242,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.329540229885056,0,0.9860139860139862,0.9930069930069931,1.0,0.9772344233319931,74.0,6.834258347016968,True,False
all__drop_submission_e267_humansocial_tail_balanced_,all,submission_e267_humansocial_tail_balanced_2936100f.csv,12,164,70,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.061231527093595,0,0.965034965034965,0.9930069930069931,1.0,0.9947414184151023,52.0,6.834367816091954,True,False
all__drop_submission_e323_5508f966_uploadsafe_csv,all,submission_e323_5508f966_uploadsafe.csv,12,164,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,8.32559934318555,0,0.9720279720279721,0.9930069930069931,1.0,0.9964973622679555,74.0,6.821067323481117,True,False
axis__none,axis,none,13,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,7.043661740558291,0,0.967032967032967,0.9780219780219779,1.0,0.9876212919459094,81.0,5.414444444444444,True,False
axis__drop_submission_hybrid_0p578_logit_after_subjec,axis,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,7.137969348659003,0,0.9090909090909092,0.9720279720279721,1.0,0.9790209790209792,77.0,5.690251778872469,True,False
axis__drop_submission_hybrid_0p567_foldsafe_stage2_q1,axis,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,7.414050355774493,0,0.9580419580419581,0.965034965034965,1.0,0.9842396880153765,77.0,5.6913464696223315,True,False
axis__drop_submission_ordinal_q_constraints_ambnext_Q,axis,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,7.070536398467432,0,0.8881118881118882,0.9510489510489512,1.0,0.9860139860139862,76.0,5.611215106732348,True,False
axis__drop_submission_mixmin_0c916bb4_csv,axis,submission_mixmin_0c916bb4.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,7.009671592775041,0,0.9790209790209792,0.9930069930069931,1.0,0.9842396880153765,81.0,5.3836836343732895,True,False
axis__drop_submission_e72_topabs50_q2s3_gate_4e48cba2,axis,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,7.065062944718116,0,0.965034965034965,0.9720279720279721,1.0,0.9842396880153765,79.0,5.5033880678708265,True,False
axis__drop_submission_e95_hardtail_541e3973_csv,axis,submission_e95_hardtail_541e3973.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,6.972616310892172,0,0.9790209790209792,0.9930069930069931,1.0,0.9772344233319931,85.0,5.339950738916256,True,False
axis__drop_submission_e101_q2s3tail_177569bc_csv,axis,submission_e101_q2s3tail_177569bc.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,7.003212917350847,0,0.9790209790209792,0.9930069930069931,1.0,0.9842396880153765,83.0,5.377389162561577,True,False
axis__drop_submission_e176_abl_q2_to0p75_91e49725_csv,axis,submission_e176_abl_q2_to0p75_91e49725.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,6.998615216201422,0,0.9580419580419581,0.9720279720279721,1.0,0.9824621881515054,80.0,5.47087575259989,True,False
axis__drop_submission_e216_maskfam_jepa_s2_rank_e154_,axis,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,7.284931581828133,0,0.9300699300699302,0.9720279720279721,1.0,0.9842396880153765,76.0,5.751937602627258,True,False
axis__drop_submission_e247_featnn1_nn_smooth_sum_top3,axis,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,6.72007115489874,0,0.965034965034965,0.9720279720279721,1.0,0.9562186292818428,91.0,5.276568144499179,True,False
axis__drop_submission_e256_featnn1_top50_amp_then_smo,axis,submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,7.259972632731253,0,0.965034965034965,0.9790209790209792,1.0,0.99124495269876,75.0,5.817892720306514,True,False
axis__drop_submission_e267_humansocial_tail_balanced_,axis,submission_e267_humansocial_tail_balanced_2936100f.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,7.418264915161466,0,0.965034965034965,0.9720279720279721,1.0,0.9842396880153765,76.0,5.968741105637657,True,False
axis__drop_submission_e323_5508f966_uploadsafe_csv,axis,submission_e323_5508f966_uploadsafe.csv,12,62,251,e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,e372_generated,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,7.567416529830322,0,0.9720279720279721,0.9860139860139862,1.0,0.99124495269876,75.0,5.923475643130816,True,False
