pair_id,moved_cells,moved_rows,subjects_moved,targets_moved,expected_focus,expected_global,expected_subject,expected_nearest_hard085,support_delta,adverse_delta,swing_sum,top1_swing,top3_swing,top5_swing,top10_swing,support_prob_focus_mean,support_prob_focus_swing_weighted,mean_abs_prob_delta,mean_abs_logit_delta,max_abs_logit_delta,cells_for_2e6_guard,cells_for_e95_over_mixmin_edge,cells_for_e259_clean_band,cells_for_e247_over_e95_edge,cells_to_overturn_expected_focus,top1_over_abs_expected,top5_over_abs_expected,top1_swing_share,top5_swing_share,expected_vs_e247_interpretation
e224_vs_e247,34,34,10,Q3,6.651906917979106e-05,6.446898023462583e-05,5.5880946708859845e-05,7.920728059588752e-05,-0.0006732576639732418,0.0006325915258670101,0.001305849189840252,9.403156022850842e-05,0.00024132355762201225,0.0003629689253283729,0.0006024954203246336,0.4533745833884182,0.43348991682298954,0.015299830498607376,0.06721282594766004,0.16455523039988984,1,1,1,2,1,1.4136030673302902,5.456614618994778,0.07200797837919672,0.27795623579838946,candidate_expected_worse_than_e247
e256_vs_e247,17,17,7,Q3,1.9101090325269154e-05,1.8441898993286885e-05,1.0421887813018463e-05,2.8439484169502095e-05,-0.0002736541665778529,0.0002691420271369358,0.0005427961937147887,8.463831019350367e-05,0.0002083276496944278,0.00028371742200992967,0.0004220825635860053,0.4750254647313471,0.46065344544963815,0.011328145495206263,0.05587607876475766,0.14811704283863136,1,1,1,2,1,4.4310721928545735,14.853467376916965,0.15593018369243894,0.5226960418941488,candidate_expected_worse_than_e247
