target,delta_mean,delta_median,win_rate,weight_mean,inner_score_mean,mode_config,submission
S3,0.0014909092546214753,0.0,0.0,0.0375,0.5083860488027541,base_calendar_k5_c0.02,
S1,0.003672087789208023,0.0032212018970730616,0.0,0.1125,0.4746171362622983,base_calendar_k10_c0.2,
S4,0.00383699596534659,0.003466379153966914,0.25,0.3375,0.6025755877761406,deep_proxy_k5_c0.2,
S2,0.009842997646416177,0.009023129851437328,0.0,0.375,0.558221351446243,deep_proxy_k5_c0.2,
Q1,0.011108376451161223,0.008523513930394078,0.25,0.3625,0.5675050252718614,deep_proxy_k40_c0.1,
