prior,outcome,world_count,world_rate,mean_delta_vs_e95,p05_delta_vs_e95,p50_delta_vs_e95,p95_delta_vs_e95,mean_public_lb,win_rate,e95_edge_or_better_rate,worse_than_e101_rate,worse_than_mixmin_rate
global,broad_breakthrough,50000,1.0,-0.00013163156221150088,-0.00016881885720952826,-0.00013156377129318813,-9.44706595426084e-05,0.5761596982377885,,,,
global,__summary__,50000,1.0,-0.00013163156221150088,-0.00016881885720952826,-0.00013156377129318813,-9.44706595426084e-05,0.5761596982377885,1.0,1.0,0.0,0.0
subject,broad_breakthrough,16506,0.33012,-4.321066555659948e-05,-6.422397968084063e-05,-4.064157110170649e-05,-3.089002132351032e-05,0.5762481191344434,,,,
subject,clean_win,14189,0.28378,-2.2524832809655185e-05,-2.9201687278133663e-05,-2.2412037651784446e-05,-1.6040821969473753e-05,0.5762688049671904,,,,
subject,micro_win,10081,0.20162,-9.4925413567183e-06,-1.4783518241757587e-05,-9.663449330496305e-06,-3.71250303794504e-06,0.5762818372586432,,,,
subject,tie,3462,0.06924,-1.7577782376436364e-07,-2.739205912749452e-06,-2.9984817253782157e-07,2.606141087813535e-06,0.5762911540221762,,,,
subject,small_loss,2392,0.04784,5.823396681094636e-06,3.27284508197487e-06,5.733944057105975e-06,8.647789205168902e-06,0.5762971531966811,,,,
subject,branch_loss,1743,0.03486,2.2782773634144813e-05,1.5711920006079216e-05,2.113213345003106e-05,3.576291371746305e-05,0.5763141125736341,,,,
subject,e101_worse_mixmin_safe,1618,0.03236,1.1885027510318446e-05,9.250061709661965e-06,1.177143540860744e-05,1.4877486524522631e-05,0.5763032148275103,,,,
subject,hard_fail,9,0.00018,5.549171283613372e-05,5.030441317768434e-05,5.517950637621324e-05,6.399406957152485e-05,0.5763468215128361,,,,
subject,__summary__,50000,1.0,-2.111547222847329e-05,-5.42363883120086e-05,-2.1021563701050577e-05,1.1978009550696176e-05,0.5762702143277715,0.85352,0.6139,0.0674,0.03504
nearest_beta,branch_loss,14531,0.29062,2.619600458564353e-05,1.6066960524907803e-05,2.44431269277015e-05,4.2551878447897593e-05,0.5763175258045856,,,,
nearest_beta,micro_win,9593,0.19186,-8.643080990111815e-06,-1.4510814624757614e-05,-8.419903253604436e-06,-3.5185981667116373e-06,0.5762826867190098,,,,
nearest_beta,e101_worse_mixmin_safe,6316,0.12632,1.2100370831306684e-05,9.339487825942917e-06,1.2067269345301257e-05,1.4957845678274556e-05,0.5763034301708313,,,,
nearest_beta,small_loss,6313,0.12626,6.00620968961818e-06,3.289390674525707e-06,6.011389316161772e-06,8.723535102334146e-06,0.5762973360096896,,,,
nearest_beta,tie,6137,0.12274,1.0820772742391784e-08,-2.7018399959616243e-06,-2.249637346247964e-08,2.6995392004032013e-06,0.5762913406207727,,,,
nearest_beta,clean_win,5272,0.10544,-2.1347033811401345e-05,-2.8670095395572255e-05,-2.078487081817744e-05,-1.573931677350178e-05,0.5762699827661886,,,,
nearest_beta,broad_breakthrough,1445,0.0289,-3.697103424898443e-05,-4.936400338037317e-05,-3.517693688455718e-05,-3.0426072547701932e-05,0.576254358765751,,,,
nearest_beta,hard_fail,393,0.00786,5.605078229398873e-05,5.028150595773713e-05,5.445060475775895e-05,6.77333015898851e-05,0.576347380582294,,,,
nearest_beta,__summary__,50000,1.0,5.364277368346067e-06,-2.54143736237114e-05,5.4138050022071486e-06,3.593237867403525e-05,0.5762966940773683,0.38808,0.13434,0.4248,0.29848
both_distance_beta,micro_win,11894,0.23788,-8.978539832570853e-06,-1.4645950141758999e-05,-8.85580205142836e-06,-3.560276983190529e-06,0.5762823512601674,,,,
both_distance_beta,clean_win,9075,0.1815,-2.1800448752178915e-05,-2.8909106342174518e-05,-2.1419352932396476e-05,-1.5824846326354436e-05,0.5762695293512478,,,,
both_distance_beta,branch_loss,8278,0.16556,2.4908314321969368e-05,1.591393911833217e-05,2.2987571300834587e-05,4.0440726335423975e-05,0.576316238114322,,,,
both_distance_beta,tie,6044,0.12088,-4.933732489208576e-08,-2.7063194479474675e-06,-5.420461452835655e-08,2.6914008700155614e-06,0.5762912804626751,,,,
both_distance_beta,small_loss,5494,0.10988,5.918396440583995e-06,3.246064006460881e-06,5.86091746318499e-06,8.709483553582908e-06,0.5762972481964406,,,,
both_distance_beta,e101_worse_mixmin_safe,4893,0.09786,1.2073890329341117e-05,9.327039034108337e-06,1.2062270639082936e-05,1.4952469279060425e-05,0.5763034036903293,,,,
both_distance_beta,broad_breakthrough,4187,0.08374,-3.916118712484256e-05,-5.47161602749785e-05,-3.704012769036586e-05,-3.054855850485959e-05,0.5762521686128751,,,,
both_distance_beta,hard_fail,135,0.0027,5.546717998460494e-05,5.0451997987218705e-05,5.422940561612767e-05,6.315377451903029e-05,0.5763467969799846,,,,
both_distance_beta,__summary__,50000,1.0,-3.2724719959353253e-06,-3.543049974650185e-05,-3.1419832509012864e-06,2.8193243090200068e-05,0.576288057328004,0.5646,0.26524,0.26612,0.16826
edge_endpoint_beta,branch_loss,14110,0.2822,2.6237451304382272e-05,1.608326752110081e-05,2.440105097775022e-05,4.253882892412072e-05,0.5763175672513043,,,,
edge_endpoint_beta,micro_win,9722,0.19444,-8.637767489409027e-06,-1.4554180506832119e-05,-8.34284630688991e-06,-3.4661653203354457e-06,0.5762826920325106,,,,
edge_endpoint_beta,small_loss,6588,0.13176,5.999201915009907e-06,3.309677813489767e-06,5.995610657530638e-06,8.72338779710754e-06,0.576297329001915,,,,
edge_endpoint_beta,e101_worse_mixmin_safe,6245,0.1249,1.2136180875022678e-05,9.358832707607936e-06,1.2136948491084958e-05,1.4970730794003319e-05,0.576303465980875,,,,
edge_endpoint_beta,tie,6243,0.12486,6.837162231813613e-08,-2.653168600129296e-06,1.05327288703219e-07,2.7192650406803633e-06,0.5762913981716223,,,,
edge_endpoint_beta,clean_win,5249,0.10498,-2.1282261713389364e-05,-2.8782706176118032e-05,-2.059143039208978e-05,-1.5735209172415206e-05,0.5762700475382866,,,,
edge_endpoint_beta,broad_breakthrough,1484,0.02968,-3.7153248467345096e-05,-5.0157124396660176e-05,-3.52551157909825e-05,-3.0387650185831463e-05,0.5762541765515327,,,,
edge_endpoint_beta,hard_fail,359,0.00718,5.612658450627026e-05,5.045474871423635e-05,5.497022390339756e-05,6.614482379629802e-05,0.5763474563845062,,,,
edge_endpoint_beta,__summary__,50000,1.0,5.10555059140327e-06,-2.557755375828365e-05,5.086600425229724e-06,3.576161071007401e-05,0.5762964353505914,0.38942,0.13466,0.41428,0.28938
nearest_hard085,micro_win,14480,0.2896,-9.100867409631677e-06,-1.4617821801144214e-05,-9.094366601475113e-06,-3.608159420366514e-06,0.5762822289325903,,,,
nearest_hard085,clean_win,12112,0.24224,-2.1803893953921946e-05,-2.8933079456420893e-05,-2.1382582721172686e-05,-1.587090390193344e-05,0.5762695259060461,,,,
nearest_hard085,tie,6347,0.12694,-6.866666729874724e-08,-2.7236941951218873e-06,-9.966609664944125e-08,2.6981107269350124e-06,0.5762912611333326,,,,
nearest_hard085,small_loss,4948,0.09896,5.90447624574947e-06,3.2785207765037013e-06,5.849971701789194e-06,8.661317753129983e-06,0.5762972342762457,,,,
nearest_hard085,broad_breakthrough,4869,0.09738,-3.817855115635961e-05,-5.2382117986874476e-05,-3.6068801915093216e-05,-3.049732969478746e-05,0.5762531512488436,,,,
nearest_hard085,branch_loss,3671,0.07342,2.2414434608696473e-05,1.5693820431112614e-05,2.0819046363089886e-05,3.475957308605193e-05,0.5763137442346087,,,,
nearest_hard085,e101_worse_mixmin_safe,3563,0.07126,1.1971772773662572e-05,9.275018975794206e-06,1.186826000761699e-05,1.4890051735566487e-05,0.5763033015727737,,,,
nearest_hard085,hard_fail,10,0.0002,5.387275362637407e-05,5.052632837983326e-05,5.1792735638552056e-05,6.062510679495397e-05,0.5763452025536263,,,,
nearest_hard085,__summary__,50000,1.0,-8.550072494754257e-06,-3.585388459671706e-05,-8.454324917360196e-06,1.854425986878851e-05,0.5762827797275052,0.69464,0.33962,0.14488,0.07362
conflict_flat,micro_win,11793,0.23586,-8.952976195657272e-06,-1.45786955181105e-05,-8.883117321988558e-06,-3.549770863479835e-06,0.5762823768238043,,,,
conflict_flat,clean_win,9517,0.19034,-2.1791457374905716e-05,-2.8828755845967713e-05,-2.1424061245562573e-05,-1.5881838060438184e-05,0.5762695383426251,,,,
conflict_flat,branch_loss,7919,0.15838,2.5092020875019635e-05,1.5955211148524486e-05,2.336747093003843e-05,4.058765086540919e-05,0.576316421820875,,,,
conflict_flat,tie,5816,0.11632,4.821314942154443e-09,-2.6864752893271513e-06,-2.4829378680683946e-08,2.693871906013942e-06,0.5762913346213149,,,,
conflict_flat,small_loss,5439,0.10878,5.938566953045214e-06,3.2943083350586183e-06,5.8818579782436e-06,8.703587391431227e-06,0.576297268366953,,,,
conflict_flat,broad_breakthrough,4794,0.09588,-3.940178051170737e-05,-5.574845599836127e-05,-3.726994564942033e-05,-3.0603599569412014e-05,0.5762519280194882,,,,
conflict_flat,e101_worse_mixmin_safe,4605,0.0921,1.205387940363542e-05,9.305789442418922e-06,1.1979646946201175e-05,1.4982395741301335e-05,0.5763033836794036,,,,
conflict_flat,hard_fail,117,0.00234,5.621560765490906e-05,5.048114570282638e-05,5.414353685539241e-05,6.849887300946276e-05,0.5763475454076549,,,,
conflict_flat,__summary__,50000,1.0,-4.17493846803053e-06,-3.690522890835019e-05,-4.013189953227275e-06,2.7958346494388824e-05,0.5762871548615319,0.58064,0.28622,0.25282,0.16072
focus_mean,broad_breakthrough,43405,0.8681,-5.8861898422484856e-05,-9.012960846653908e-05,-5.708299872512515e-05,-3.385536168804826e-05,0.5762324679015774,,,,
focus_mean,clean_win,4911,0.09822,-2.3849713964165717e-05,-2.9491788250259843e-05,-2.4358565309578692e-05,-1.6583628139596435e-05,0.5762674800860358,,,,
focus_mean,micro_win,1269,0.02538,-1.0523582945405334e-05,-1.4916584543123406e-05,-1.111251427062588e-05,-4.134357898932576e-06,0.5762808062170546,,,,
focus_mean,tie,229,0.00458,-3.265624870181924e-07,-2.729114153546481e-06,-4.508301637918888e-07,2.74940916553374e-06,0.5762910032375129,,,,
focus_mean,small_loss,121,0.00242,5.768460712482032e-06,3.335386837463632e-06,5.5415291011156156e-06,8.529502798716178e-06,0.5762970982607124,,,,
focus_mean,e101_worse_mixmin_safe,50,0.001,1.1439825017407916e-05,9.12628646495644e-06,1.0899472221696549e-05,1.441348751449775e-05,0.5763027696250174,,,,
focus_mean,branch_loss,15,0.0003,1.987936952400907e-05,1.61217677706746e-05,1.83113796986773e-05,2.610713764850317e-05,0.5763112091695239,,,,
focus_mean,__summary__,50000,1.0,-5.367775380666558e-05,-8.864639954377172e-05,-5.36416807146335e-05,-1.912495897562794e-05,0.5762376520461933,0.99446,0.96632,0.0013,0.0003
flank_mean,branch_loss,11013,0.22026,2.56372543229279e-05,1.6030811289292806e-05,2.3753809844344245e-05,4.155093802354133e-05,0.5763169670543229,,,,
flank_mean,micro_win,10731,0.21462,-8.757905546865076e-06,-1.4505566001689674e-05,-8.600659818910456e-06,-3.523802635063689e-06,0.5762825718944531,,,,
flank_mean,clean_win,7331,0.14662,-2.1538378875491208e-05,-2.8740538836386716e-05,-2.1041359014561183e-05,-1.586322591803308e-05,0.5762697914211244,,,,
flank_mean,tie,6230,0.1246,3.275377244610324e-09,-2.69019180427509e-06,-1.805941486133683e-08,2.6983162769741737e-06,0.5762913330753772,,,,
flank_mean,small_loss,6089,0.12178,5.974399409396961e-06,3.284168505109214e-06,5.956702289048585e-06,8.705682256432526e-06,0.5762973041994094,,,,
flank_mean,e101_worse_mixmin_safe,5493,0.10986,1.20598026765684e-05,9.322165862826855e-06,1.2033111641932791e-05,1.4940695117582261e-05,0.5763033896026766,,,,
flank_mean,broad_breakthrough,2841,0.05682,-3.829896453060223e-05,-5.3220133324229046e-05,-3.624768147831795e-05,-3.04782567293933e-05,0.5762530308354694,,,,
flank_mean,hard_fail,272,0.00544,5.585894477440589e-05,5.053463058855393e-05,5.414056938494141e-05,6.629407089712378e-05,0.5763471887447744,,,,
flank_mean,__summary__,50000,1.0,7.898687270481903e-07,-3.119845942127878e-05,9.110436631204463e-07,3.2234790929396904e-05,0.5762921196687271,0.48074,0.20344,0.33556,0.2257
visible_mean,broad_breakthrough,17788,0.35576,-4.401026041377797e-05,-6.612781005120771e-05,-4.131849053575648e-05,-3.103103474777087e-05,0.5762473195395862,,,,
visible_mean,clean_win,14118,0.28236,-2.2600790133437e-05,-2.9200726487836267e-05,-2.258189254267326e-05,-1.6050883984844587e-05,0.5762687290098666,,,,
visible_mean,micro_win,9851,0.19702,-9.52132825741777e-06,-1.4760565750951952e-05,-9.675623718770216e-06,-3.824700087066505e-06,0.5762818084717426,,,,
visible_mean,tie,3144,0.06288,-1.6373646311975361e-07,-2.7501990352382656e-06,-2.89693915752844e-07,2.6795793815476354e-06,0.5762911660635368,,,,
visible_mean,small_loss,2206,0.04412,5.8512448623307125e-06,3.2775394889327176e-06,5.746835672510158e-06,8.68459896325235e-06,0.5762971810448623,,,,
visible_mean,branch_loss,1481,0.02962,2.2589994900246233e-05,1.567649671107691e-05,2.079580706325191e-05,3.56285016269576e-05,0.5763139197949002,,,,
visible_mean,e101_worse_mixmin_safe,1409,0.02818,1.1907276440985496e-05,9.26832759974356e-06,1.1819037131995083e-05,1.4875180298526391e-05,0.5763032370764409,,,,
visible_mean,hard_fail,3,6e-05,5.4705491870561485e-05,5.201226499256343e-05,5.602884140618477e-05,5.647237407362326e-05,0.5763460352918706,,,,
visible_mean,__summary__,50000,1.0,-2.2658735237069814e-05,-5.656939492385985e-05,-2.241534373160917e-05,1.0492536997050614e-05,0.5762686710647629,0.86884,0.63812,0.05786,0.02968
