policy,rollback_cells,expected_delta_focus_mean,moved_cells,moved_rows,cells_to_flip_expected,top1_over_abs_expected,cells_for_2e6_guard,cells_for_e95_edge,support_prob_swing_weighted_focus,bad_span_energy,bad_span_residual,max_bad_axis,max_bad_cos,mean_abs_logit_move_vs_e95,max_abs_logit_move_vs_e95,q2s3_share_vs_e95,cos_e154_axis,cos_e101_axis,cos_mixmin_axis,mean_delta_focus_mean,std_delta_focus_mean,p05_delta_norm_focus_mean,p95_delta_norm_focus_mean,win_rate_norm_focus_mean,e95_edge_or_better_norm_focus_mean,worse_than_e101_norm_focus_mean,worse_than_mixmin_norm_focus_mean,mean_delta_visible_mean,std_delta_visible_mean,p05_delta_norm_visible_mean,p95_delta_norm_visible_mean,win_rate_norm_visible_mean,e95_edge_or_better_norm_visible_mean,worse_than_e101_norm_visible_mean,worse_than_mixmin_norm_visible_mean,mean_delta_subject,std_delta_subject,p05_delta_norm_subject,p95_delta_norm_subject,win_rate_norm_subject,e95_edge_or_better_norm_subject,worse_than_e101_norm_subject,worse_than_mixmin_norm_subject,mean_delta_flank_mean,std_delta_flank_mean,p05_delta_norm_flank_mean,p95_delta_norm_flank_mean,win_rate_norm_flank_mean,e95_edge_or_better_norm_flank_mean,worse_than_e101_norm_flank_mean,worse_than_mixmin_norm_flank_mean,mean_delta_nearest_hard085,std_delta_nearest_hard085,p05_delta_norm_nearest_hard085,p95_delta_norm_nearest_hard085,win_rate_norm_nearest_hard085,e95_edge_or_better_norm_nearest_hard085,worse_than_e101_norm_nearest_hard085,worse_than_mixmin_norm_nearest_hard085,cos_bad_a2c8,cos_bad_raw05,cos_bad_stage2,cos_bad_ordinal,cos_bad_final9,cos_bad_e72,cos_bad_q2_bad,cos_bad_lejepa_bad,cos_bad_resid_bad,rollback_keep,delta_mean_visible_vs_e169,delta_p95_visible_vs_e169,delta_worse_e101_visible_vs_e169,broad_body_retained,tail_repair,stress_gate
visible_positive_all_keep0p25,410,-0.00011269522177588047,904,193,30,0.051749822790708576,1,4,0.4691332816068873,0.25787361197098124,0.9661786585559837,q2_bad,0.14292705322578683,0.0007484935097949684,0.010205926073456162,0.3158656117427477,0.08286981923182553,-0.03114372862223293,0.003407764864946406,-7.626372872154472e-05,1.6812238695445446e-05,-0.00010391740051692205,-4.861005692616739e-05,0.9999971361982781,0.9998558070930592,1.9509693238717318e-07,2.56289511835206e-08,-5.285340157661736e-05,1.5910340554459644e-05,-7.90235829436534e-05,-2.668322020958132e-05,0.9995530510544818,0.9908537010960198,5.0143187071416406e-05,9.16724929478363e-06,-3.097845470203881e-05,1.550926312136693e-05,-5.648892239856392e-05,-5.467987005513707e-06,0.9771100098075403,0.8438048482495671,0.004939318637492529,0.0014196846167131572,-3.529565621792182e-05,1.4991428298955327e-05,-5.9954361428641426e-05,-1.0636951007202209e-05,0.9907234119279664,0.9087492265578452,0.0015525005875345332,0.00036815936916423375,-8.101932869230031e-05,1.322996336499513e-05,-0.00010278068191764766,-5.9257975466952966e-05,0.999999999543516,0.9999996594072933,4.984901380566953e-12,1.6542323066914832e-13,0.046757343410768704,0.024698264287211443,0.06716900386197502,-0.07198280671282578,0.07707211365662325,0.07896870657809699,0.14292705322578683,0.007727779667100252,0.1003254677187462,0.25,-3.023358137801276e-05,-3.728990332882281e-05,-0.05849457992351681,True,True,True
visible_positive_all_keep0p5,410,-0.00011530205817373638,904,193,31,0.050579823540303694,1,4,0.46523354121192334,0.2724305252700992,0.9621754564013039,q2_bad,0.1783369472812671,0.0008643050347925653,0.010205926073456162,0.32935241644237434,0.08685760665951972,-0.02833714591336313,-0.006038046562832304,-6.880070904615812e-05,1.7769834450677093e-05,-9.802948569268157e-05,-3.9571932399634685e-05,0.9999459760223598,0.998694440823996,5.926255628563304e-06,1.1040484571012144e-06,-4.279520798536712e-05,1.6855901316131122e-05,-7.052069840074149e-05,-1.5069717569992752e-05,0.9944396936955838,0.9485080863206465,0.0010526150585645766,0.0002831993121859,-2.7704993811815107e-05,1.651923033178624e-05,-5.4876709737500475e-05,-5.332778861297393e-07,0.953242042490081,0.7734614348814881,0.01306928343125735,0.004607448674123438,-2.329108218977385e-05,1.5931696437971448e-05,-4.9496390859261035e-05,2.914226479713333e-06,0.9281202956007132,0.6917835657871626,0.02122316786480849,0.007697418572950809,-5.690096253285984e-05,1.3969873671119938e-05,-7.987935990885535e-05,-3.392256515686433e-05,0.9999768061793824,0.9985452419822497,1.1794893266525719e-06,1.176125239421566e-07,0.07737280591809884,0.05980518472073288,0.10027403984459679,-0.06888659644318136,0.05016850633863866,0.057032651518313875,0.1783369472812671,0.0173157152339801,0.14630409401347336,0.5,-2.017538778676252e-05,-2.567640068923424e-05,-0.05749210805202365,True,True,True
all_visible_lt0p3_keep0p5,291,-8.458224281127335e-05,904,193,25,0.0539318023633781,1,4,0.4869667600286148,0.3190432255616687,0.9477401649308773,q2_bad,0.24676473660089687,0.000876235736808713,0.007982927404810436,0.33058513410807944,0.07564487614248318,-0.016002296964820167,-0.027429090454210804,-4.331581877529409e-05,1.7777601740652958e-05,-7.255737147690591e-05,-1.4074266073682263e-05,0.992585713459444,0.9424068002010533,0.0016156596368027687,0.0004872721127262558,-2.4640538643706174e-05,1.740993674301762e-05,-5.327733624045441e-05,3.9962589530420576e-06,0.9215118702157292,0.7039832606544693,0.02653566346367897,0.010874079706550521,-2.282452354401645e-05,1.7390685831709906e-05,-5.142965620947807e-05,5.78060912144517e-06,0.9053169703229603,0.6671511770420351,0.033471482282585896,0.014158973642899975,-1.0634078545015225e-05,1.7021531464010006e-05,-3.863200630986069e-05,1.7363849219830236e-05,0.7339300480144589,0.39175515733818483,0.12392003853016742,0.06372526905389808,-1.7103855132302922e-05,1.3397754941278703e-05,-3.9141200940472205e-05,4.933490675866361e-06,0.8991319555360668,0.5532354403650284,0.025523927340758812,0.007773024484998947,0.12755737772227854,0.1140565177942749,0.1489747316153732,-0.05471985875928212,0.010871409760541994,0.017300918621228636,0.24676473660089687,0.011089871642443214,0.2069775644890614,0.5,-2.020718445101572e-06,-6.6104241661994306e-06,-0.032009059646909255,True,True,True
all_visible_lt0p3_tophalf_swing_keep0p5,174,-8.956143328152924e-05,904,193,27,0.05093345020964098,1,4,0.4839988830308586,0.31515597282105184,0.9490398899915726,q2_bad,0.2425889313757587,0.0009060000299643252,0.007982927404810436,0.33735573070189817,0.07535218342462875,-0.01699012458187788,-0.023367603759823892,-4.428864249138256e-05,1.793564132090938e-05,-7.379014716978104e-05,-1.4787137812984073e-05,0.9932312887960784,0.94691634488908,0.0014739382287489722,0.0004453452081553122,-2.402123576019294e-05,1.7546242281517996e-05,-5.2882236016317085e-05,4.83976449593121e-06,0.9145041934006408,0.6902055678992294,0.029781272414917792,0.012493103588606447,-2.267555036881636e-05,1.7529345198423975e-05,-5.150875739652841e-05,6.157656658895688e-06,0.9020941413801655,0.6628098935497937,0.035220339908770826,0.015117080545969053,-8.820680711800707e-06,1.713727270607065e-05,-3.700898587843748e-05,1.9367624454836072e-05,0.6966212417410828,0.35245242064125004,0.1487079692629112,0.07954738749052148,-1.4742364822267635e-05,1.3537952798696006e-05,-3.70103155847006e-05,7.525585940165326e-06,0.8619154709909671,0.483256969940454,0.039506887062199625,0.013212368506351324,0.12536626342425886,0.1118105718460983,0.1458439284286786,-0.058558388474686224,0.008290467305916704,0.022243916688847846,0.2425889313757587,0.016310151281120226,0.2026521737932201,0.5,-1.401415561588337e-06,-5.7669186233102784e-06,-0.028763450695670434,True,True,True
top64_visible_lt0p3_keep0p0,45,-9.455069661505856e-05,859,193,29,0.04824578735068082,1,4,0.47846172691696215,0.29970194288050794,0.9540328848806254,q2_bad,0.21796662635843056,0.0009425483879614465,0.007982927404810436,0.3686182606229216,0.07151165462161457,-0.025237251421482285,-0.005506713171026805,-4.5373558026442614e-05,1.883753597406352e-05,-7.635854739620982e-05,-1.4388568656675397e-05,0.9919947910864932,0.9447446429112346,0.0019362254623024322,0.0006377093875529205,-2.3028271740186783e-05,1.828048770651071e-05,-5.3096998246682724e-05,7.040454766309158e-06,0.8961145668508078,0.6635514926836263,0.03971292761487588,0.017985195510585417,-2.2332895892457963e-05,1.8254043091887722e-05,-5.2358124878677944e-05,7.692333093762022e-06,0.8894199751541945,0.6497674228628414,0.042855109201320185,0.01959406723974888,-6.269307025494888e-06,1.7716252855357283e-05,-3.540994979061869e-05,2.2871335739628914e-05,0.638283042423014,0.30490505074168905,0.1938146503921474,0.11159470893207346,-1.2743554977191578e-05,1.4404828097758164e-05,-3.643738871940157e-05,1.0950278765018414e-05,0.8118333483615905,0.42927737620015677,0.0652699786969001,0.025733866960660268,0.1168893266086546,0.10512125316327335,0.13354029413700189,-0.06363121800218609,0.0006428239490900872,0.04375598488143089,0.21796662635843056,0.012795377301450356,0.19396824235525423,0.0,-4.0845154158218085e-07,-3.56622835293233e-06,-0.018831795495712345,True,True,True
top64_visible_lt0p3_keep0p25,45,-0.00010103854125553398,904,193,31,0.045147848989743854,1,4,0.4732789509912539,0.30633642478274414,0.951923313534933,q2_bad,0.22525357796781018,0.0009808933121680241,0.007982927404810436,0.3627962793850267,0.07795830040472944,-0.02498211007102051,-0.009984769371332882,-4.749542199555733e-05,1.8991809132202027e-05,-7.873416812902993e-05,-1.6256675862084738e-05,0.9938049933031933,0.95493034455127,0.0014571691750340232,0.0004714859199960175,-2.293749505773592e-05,1.8406341912297784e-05,-5.321323331108782e-05,7.338243195615986e-06,0.8936496425328988,0.6606936313692587,0.04118457601130998,0.018855138529573323,-2.2035775979064538e-05,1.8371899775045846e-05,-5.225486195803764e-05,8.183309999908558e-06,0.8848192698591424,0.6428369711681468,0.04539193225826188,0.021036151700654093,-4.519049854369827e-06,1.7815209961771105e-05,-3.382246257489103e-05,2.4784362866151374e-05,0.6001218280830878,0.2723387719109253,0.22336415643776908,0.13283708504775193,-1.1720309838267591e-05,1.455194406528781e-05,-3.565612781325119e-05,1.2215508136716014e-05,0.7897090047587456,0.4025588862275718,0.07688025511244045,0.0316162469475032,0.12123433523985629,0.10987636905937777,0.140806530615123,-0.0641175779086042,0.0015633634966911935,0.03765137723289171,0.22525357796781018,0.01845396405207346,0.20373879457731087,0.25,-3.1767485913131627e-07,-3.2684399236255025e-06,-0.017360147099278245,True,True,True
top64_visible_lt0p3_keep0p5,45,-0.00010751883274534933,904,193,34,0.042426732938524815,1,4,0.46848613914451837,0.30715533643788245,0.9516593924812234,q2_bad,0.2279658241116225,0.001019238236374603,0.007982927404810436,0.35741235751604455,0.0826698222483515,-0.024260746408540413,-0.01409927221874343,-4.960973281401187e-05,1.9447287001881684e-05,-8.159767337342318e-05,-1.762179225460056e-05,0.9946290488951648,0.9611081116018275,0.0012822058339092557,0.00042149818022862995,-2.2839165224625254e-05,1.8778844426800374e-05,-5.372761559000529e-05,8.049285140754778e-06,0.8880490213654353,0.6557536444207165,0.04480975311379165,0.021100415495888702,-2.1731102915011524e-05,1.8721018609462352e-05,-5.2524438275011674e-05,9.06223244498863e-06,0.8771356029046102,0.6341825565839165,0.05014357898434729,0.02392933965690025,-2.761239532585264e-06,1.810883702017022e-05,-3.254762578508534e-05,2.7025146719914812e-05,0.560595906656202,0.2441541448177288,0.2573702234710198,0.15914878134408084,-1.0689511548683622e-05,1.4984628348383229e-05,-3.5337031836041626e-05,1.3958008738674382e-05,0.7621900817497036,0.3788907917171164,0.09402050681802321,0.04135928458056537,0.12310080912644834,0.11235353543097672,0.14510820577969416,-0.06336320365165872,0.002418490935430429,0.031065437170705798,0.2279658241116225,0.023541918201923563,0.2092485595762504,0.5,-2.1934502602065175e-07,-2.5573979784867097e-06,-0.013734969996796575,True,True,True
visible_positive_all_keep0p0,410,-0.00011006872435157974,494,182,29,0.052984694704311025,1,4,0.47446070571369386,0.24476228264476083,0.9695831191777868,final9,0.10316630615314808,0.0006326819847973727,0.010205926073456162,0.29744132673819706,0.07548505603815017,-0.033004161192244794,0.013451564015183954,-8.37070873704849e-05,1.6480680238854047e-05,-0.00011081539403599143,-5.659878070497837e-05,0.9999998103903622,0.9999833831287115,9.14760567294337e-09,9.384757415631384e-10,-6.28919341414204e-05,1.5582408212001786e-05,-8.852271480556995e-05,-3.726115347727086e-05,0.9999728248089723,0.9988691412117539,1.9561932176337393e-06,2.6018091014989864e-07,-3.423225456581577e-05,1.5157660324255879e-05,-5.916438712626647e-05,-9.300122005365059e-06,0.9880400332437297,0.894042377738868,0.0021548228524179702,0.0005405780171607866,-4.728056921962202e-05,1.4664614307681855e-05,-7.140171325145698e-05,-2.3159425187787068e-05,0.9993682117983413,0.9853738217492067,6.143774291600401e-05,9.853546150240255e-06,-0.00010511803382529283,1.2973952779439828e-05,-0.00012645828711045157,-8.37777805401341e-05,0.9999999999999998,0.9999999999977754,0.0,0.0,0.012047797547846956,-0.014024762932498653,0.029017467381955698,-0.07263189233963226,0.10316630615314808,0.09964328336598863,0.09946812306272243,-0.0028843846746617,0.047075461460137524,0.0,-4.0272113942815805e-05,-4.786783659651234e-05,-0.05854276691737059,False,True,False
all_visible_lt0p3_keep0p0,291,-4.864892312818785e-05,613,187,13,0.09376718968123998,1,4,0.5321365174728963,0.3106315167699508,0.9505304102390413,q2_bad,0.24047179021982568,0.000656543388829666,0.007982927404810436,0.30189152149824555,0.04772413839197632,-0.005373688649204196,-0.032262422506080024,-3.275713633029063e-05,1.6491845382746477e-05,-5.9883808023224064e-05,-5.630464637357196e-06,0.9764979155951814,0.8549455163815144,0.005635510113124131,0.0017804799969348695,-2.6602424959632676e-05,1.6374495309507787e-05,-5.353607295897643e-05,3.312230397110771e-07,0.9478788250316219,0.7547746767954022,0.014760005337517201,0.005238745117785326,-2.4491143531752476e-05,1.6405973823448983e-05,-5.147656907892345e-05,2.494282015418495e-06,0.9322576666749268,0.7121167901103573,0.020496252102373824,0.0076319159826221394,-2.1986391431639213e-05,1.6215291819078728e-05,-4.865817299232739e-05,4.685390129048966e-06,0.9124352642683068,0.6597170778116053,0.027863219052656873,0.01072075593311217,-2.5543648525713694e-05,1.214276493070989e-05,-4.5516719463211e-05,-5.57057758821639e-06,0.9822937839434414,0.8003074166834896,0.0022013098387144714,0.00038341060013669104,0.11632407374932613,0.09909639144879019,0.12902282268822393,-0.03985049208513447,0.018783560564539822,0.013413445481389693,0.24047179021982568,-0.018452124811896984,0.17039980422282391,0.0,-3.982604761028074e-06,-1.0275460079530411e-05,-0.043784717773071025,False,True,False
all_visible_lt0p3_keep0p25,291,-6.662293210305132e-05,904,193,19,0.06847000963111212,1,4,0.506314561110348,0.3211453500814298,0.9470299172259956,q2_bad,0.2496754032577325,0.00076638956281919,0.007982927404810436,0.31829464727568607,0.06388067229718206,-0.011214236646167039,-0.030446795409950295,-3.804382668611313e-05,1.6822499933381743e-05,-6.571437671592698e-05,-1.0373276656299266e-05,0.9881353713293107,0.9117087227994616,0.0025659605116478135,0.0007579639607440125,-2.5628830934990288e-05,1.6639397429888744e-05,-5.2998204147829795e-05,1.7405422778492154e-06,0.9382502798049696,0.7324048268383027,0.018611466351133865,0.006939161478823119,-2.3665182671205315e-05,1.665761001002481e-05,-5.106451291253777e-05,3.7341475701271404e-06,0.9222955255406349,0.692004959829635,0.024814389002782544,0.00964640376498016,-1.631758412164816e-05,1.6420563325552562e-05,-4.332700726426962e-05,1.06918390209733e-05,0.8398225031192175,0.5244472165485375,0.06129096236687026,0.02704352257898701,-2.1331100962329198e-05,1.2468360537315953e-05,-4.1839729014271954e-05,-8.224729103864456e-07,0.9564426815967011,0.685400388458056,0.0074346087051118115,0.0016475205691575123,0.12517597488674356,0.10953346486624592,0.14286644753987118,-0.0488042678986865,0.014987409259476675,0.015826851579901824,0.2496754032577325,-0.0030268787641070634,0.19417787285634056,0.25,-3.0090107363856858e-06,-8.866140841392273e-06,-0.03993325675945436,False,True,False
