variant_kind,rows,variants,strict,deployable,loose,asym8_28_deployable,asym8_28_strict,asym8_28_loose,asym8_28_beats_sym16,asym8_28_beats_sym20,asym8_28_deployable_and_beats_sym20,best_deployable_s3_higher_variants,best_deployable_equal_variants,best_deployable_s3_only_variants,best_all_delta_vs_mixmin,median_asym8_28_all_delta,worst_asym8_28_all_delta,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate
bootstrap8,1260,60,687,687,1204,28,28,60,60,60,28,60,0,0,-1.2675733411016132e-05,-1.2171558368745394e-05,-1.1343592390078427e-05,-0.000604609116894611,-0.00046911841566008006,0.75
jackknife,273,13,187,187,273,8,8,13,13,13,8,13,0,0,-1.2455791270293837e-05,-1.232666392259052e-05,-1.2169305919740303e-05,-0.00059229012230895,-0.000460939717802389,0.7222222222222222
group_keep,210,10,120,120,194,7,7,10,10,10,7,10,0,0,-1.2429032122618366e-05,-1.142598445313947e-05,-1.1021334894056878e-05,-0.0006027027595607443,-0.00046352534450844196,0.75
rank_keep,210,10,128,128,202,5,5,10,10,10,5,10,0,0,-1.221221108682613e-05,-1.1662565700898408e-05,-1.0863023706564334e-05,-0.0006060165145104768,-0.0004845448808729557,0.75
reference,21,1,16,16,21,1,1,1,1,1,1,1,0,0,-1.2367636337495824e-05,-1.2367636337495824e-05,-1.2367636337495824e-05,-0.0005762429701147431,-0.000422721034934992,0.7222222222222222
