band,n_worlds,top_n,world_support_swing,visible_support_swing,world_support_mean,visible_support_mean,hard_world_support_rate,hard_visible_support_rate
best3_current_anchor_residual,3,4,0.46780419816754615,0.33069909410426507,0.49999999999999994,0.34741916317809174,0.5,0.25
best3_current_anchor_residual,3,8,0.3307630981534873,0.26118873467266157,0.3333333333333333,0.263644828415049,0.25,0.125
best3_current_anchor_residual,3,16,0.23508077597283447,0.26607426585726984,0.22916666666666669,0.2689219878415182,0.1875,0.125
best5_current_anchor_residual,5,4,0.43363327492431303,0.33069909410426507,0.44999999999999996,0.34741916317809174,0.5,0.25
best5_current_anchor_residual,5,8,0.30564883256403075,0.26118873467266157,0.3,0.263644828415049,0.25,0.125
best5_current_anchor_residual,5,16,0.22127500276707507,0.26607426585726984,0.21250000000000002,0.2689219878415182,0.1875,0.125
best10_current_anchor_residual,10,4,0.26288135264010426,0.33069909410426507,0.275,0.34741916317809174,0.0,0.25
best10_current_anchor_residual,10,8,0.1900110667087137,0.26118873467266157,0.1875,0.263644828415049,0.0,0.125
best10_current_anchor_residual,10,16,0.17636045536285555,0.26607426585726984,0.175,0.2689219878415182,0.0625,0.125
best15_current_anchor_residual,15,4,0.2837230993068812,0.33069909410426507,0.30000000000000004,0.34741916317809174,0.25,0.25
best15_current_anchor_residual,15,8,0.207547149239379,0.26118873467266157,0.20833333333333337,0.263644828415049,0.125,0.125
best15_current_anchor_residual,15,16,0.16856338026890022,0.26607426585726984,0.16666666666666666,0.2689219878415182,0.0625,0.125
all_binary_worlds,29,4,0.28330553787770424,0.33069909410426507,0.3017241379310345,0.34741916317809174,0.25,0.25
all_binary_worlds,29,8,0.20461239462139522,0.26118873467266157,0.20689655172413793,0.263644828415049,0.125,0.125
all_binary_worlds,29,16,0.17494717461696735,0.26607426585726984,0.17456896551724135,0.2689219878415182,0.0625,0.125
