scope,axis,context_high,veto_density_safe,n_cells,expected_delta,benefit_sum,risk_sum,edge_like_rate,between_train_runs_rate,all_veto_null_rate,all_safe_density_mean,e72_active_rate,transfer_plausible,e72_active
all_moved,context_by_veto_safe,False,False,129,-2.7477549224920834e-05,3.0229129153042737e-05,2.7515799281219106e-06,0.0,0.0,0.007751937984496124,0.00044197644056025577,1.0,,
all_moved,context_by_veto_safe,False,True,270,-3.352722508365849e-05,3.7665846322892775e-05,4.13862123923429e-06,0.0,0.0,1.0,0.3533987017701757,0.2740740740740741,,
all_moved,context_by_veto_safe,True,False,457,-0.0001519919535332739,0.0001604037604655212,8.411806932247261e-06,0.612691466083151,0.7899343544857768,0.02188183807439825,0.0015730144422712758,1.0,,
all_moved,context_by_veto_safe,True,True,894,-0.00011907987592431586,0.0001443844298260616,2.5304553901745746e-05,0.610738255033557,0.8176733780760627,1.0,0.3492182425483609,0.2606263982102908,,
all_moved,context_by_transfer_pos,False,,197,-2.2947974795339577e-05,2.613333729268089e-05,3.185362497341313e-06,0.0,0.0,0.9949238578680203,0.301377126041713,0.005076142131979695,False,
all_moved,context_by_transfer_pos,False,,202,-3.805679951323974e-05,4.1761638183254623e-05,3.7048386700148874e-06,0.0,0.0,0.3712871287128713,0.17872955746812993,1.0,True,
all_moved,context_by_transfer_pos,True,,661,-8.88344074800522e-05,0.00010564543445971191,1.6811026979659706e-05,0.5869894099848714,0.8214826021180031,1.0,0.30559476948355124,0.0,False,
all_moved,context_by_transfer_pos,True,,690,-0.00018223742197753757,0.00019914275583187089,1.6905333854333307e-05,0.6347826086956522,0.7956521739130434,0.3521739130434783,0.16075628088365984,1.0,True,
all_moved,context_by_e72_active,False,,196,-2.2733743882862864e-05,2.5919106380204176e-05,3.185362497341313e-06,0.0,0.0,1.0,0.302914764439885,0.0,,False
all_moved,context_by_e72_active,False,,203,-3.827103042571646e-05,4.197586909573134e-05,3.7048386700148874e-06,0.0,0.0,0.3694581280788177,0.1778491162983362,1.0,,True
all_moved,context_by_e72_active,True,,661,-8.88344074800522e-05,0.00010564543445971191,1.6811026979659706e-05,0.5869894099848714,0.8214826021180031,1.0,0.30559476948355124,0.0,,False
all_moved,context_by_e72_active,True,,690,-0.00018223742197753757,0.00019914275583187089,1.6905333854333307e-05,0.6347826086956522,0.7956521739130434,0.3521739130434783,0.16075628088365984,1.0,,True
top_benefit_focus,context_by_veto_safe,False,False,3,-6.053894340738861e-06,6.053894340738861e-06,0.0,0.0,0.0,0.0,0.0,1.0,,
top_benefit_focus,context_by_veto_safe,False,True,3,-3.922455808919118e-06,3.922455808919118e-06,0.0,0.0,0.0,1.0,0.4195048373810537,0.3333333333333333,,
top_benefit_focus,context_by_veto_safe,True,False,49,-8.153207923741205e-05,8.153207923741205e-05,0.0,0.7142857142857143,0.8775510204081632,0.0,0.0,1.0,,
top_benefit_focus,context_by_veto_safe,True,True,19,-2.3794688488620796e-05,2.3794688488620796e-05,0.0,0.8421052631578947,0.8421052631578947,1.0,0.3898250411844738,0.47368421052631576,,
top_benefit_focus,context_by_transfer_pos,False,,2,-2.739789760715885e-06,2.739789760715885e-06,0.0,0.0,0.0,1.0,0.4210136533641106,0.0,False,
top_benefit_focus,context_by_transfer_pos,False,,4,-7.236560388942093e-06,7.236560388942093e-06,0.0,0.0,0.0,0.25,0.10412180135373494,1.0,True,
top_benefit_focus,context_by_transfer_pos,True,,10,-1.2607604239738666e-05,1.2607604239738666e-05,0.0,0.9,0.8,1.0,0.35015432000957525,0.0,False,
top_benefit_focus,context_by_transfer_pos,True,,58,-9.271916348629417e-05,9.271916348629417e-05,0.0,0.7241379310344828,0.8793103448275862,0.15517241379310345,0.0673298721105043,1.0,True,
top_benefit_focus,context_by_e72_active,False,,2,-2.739789760715885e-06,2.739789760715885e-06,0.0,0.0,0.0,1.0,0.4210136533641106,0.0,,False
top_benefit_focus,context_by_e72_active,False,,4,-7.236560388942093e-06,7.236560388942093e-06,0.0,0.0,0.0,0.25,0.10412180135373494,1.0,,True
top_benefit_focus,context_by_e72_active,True,,10,-1.2607604239738666e-05,1.2607604239738666e-05,0.0,0.9,0.8,1.0,0.35015432000957525,0.0,,False
top_benefit_focus,context_by_e72_active,True,,58,-9.271916348629417e-05,9.271916348629417e-05,0.0,0.7241379310344828,0.8793103448275862,0.15517241379310345,0.0673298721105043,1.0,,True
