model,kind,features,alpha,mae,rmse,max_abs_error,bias,pairwise_rank_accuracy,p80_abs_error,p90_abs_error
raw05_a2c8_compat,fixed_loocv,"mean_abs_move_vs_raw05,mean_abs_move_vs_a2c8,good_span_residual_ratio,bad_axis_abs_load",1.0,0.0005200952320062256,0.0005775646165929188,0.0008582358789461786,4.611420451673297e-05,0.9090909090909091,0.0007545729081051,0.0008164966418947595
good_bad_axes,fixed_loocv,"proj_a2c8,proj_raw05,bad_axis_abs_load,proj_ordinal,mean_abs_move_vs_raw05",1.0,0.000856084338107839,0.0009839417453770547,0.0018412299196080006,-6.670808060879355e-05,0.6727272727272727,0.0009420174344237919,0.0016278771795261715
constant_median,baseline,,,0.0012758886818181906,0.00159806628565059,0.003282352099999941,-0.00022979726363633627,,0.0018563105000000135,0.002301843499999956
target_move_core,fixed_loocv,"move_abs_a2c8_Q2,move_abs_a2c8_Q3,move_abs_a2c8_S2,move_abs_a2c8_S3,move_abs_a2c8_S4",1.0,0.0013679681585704216,0.001532735250454962,0.0029164733505907536,0.00011115540314931106,0.7454545454545455,0.001815419441390409,0.002248136313684257
bad_axes_only,fixed_loocv,"bad_axis_abs_load,bad_axis_positive_load,proj_q2_bad,proj_resid_bad,proj_lejepa_bad",1.0,0.0014167396932561445,0.0026341046894712934,0.008351205406245343,0.0008601085184016204,0.6909090909090909,0.0010043398140238136,0.0012525354297193703
compact_energy,fixed_loocv,"raw05_a2c8_compat_energy,bad_to_good_load_ratio,mean_abs_move_vs_stage2",1.0,0.005512814966934353,0.014530271931911564,0.04797861843407525,0.004354268153734308,0.7454545454545455,0.001553170822954475,0.0027487797871744712
