pred_index,tag,strategy,base,fallback,selector,target_scope,graft_alpha,selected_cells,strict_gate,deployable_gate,e110_active_loss_safe,e110_strict_candidate,e110_sensor_candidate,all_delta_vs_mixmin,mean_vs_e95_broad_plausible,p95_vs_e95_broad_plausible,beat_e95_rate_broad_plausible,mean_vs_e95_broad_q2s3,beat_e95_rate_broad_q2s3,active_mean_vs_e101_tie,active_p95_vs_e101_tie,active_mean_vs_e101_small_loss,active_p95_vs_e101_small_loss,active_mean_vs_e101_large_loss,active_p95_vs_e101_large_loss
37,e110_nonactive_tail_graft_9f4abae0,nonactive_tail_graft,e95,e86,nonactive_s1s2s3_e86,s1s2s3,0.25,74,True,True,True,False,True,-2.6403357586968212e-05,7.139310932959581e-07,2.79846270268744e-06,0.27491309385863266,-1.11469207956407e-06,1.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
25,e110_nonactive_tail_graft_179a2efb,nonactive_tail_graft,e95,e90,nonactive_s1s2s3_e90,s1s2s3,0.25,118,True,True,True,False,True,-2.6304515040154186e-05,1.03429597070281e-06,3.023722082596722e-06,0.1813441483198146,-5.524578032081572e-07,1.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
38,e110_nonactive_tail_graft_90101bfc,nonactive_tail_graft,e95,e86,nonactive_s1s2s3_e86,s1s2s3,0.5,74,True,True,True,False,True,-2.659081806954955e-05,1.4589223886750506e-06,5.637838911453427e-06,0.272305909617613,-2.1810011961002223e-06,1.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
26,e110_nonactive_tail_graft_94f1dcbf,nonactive_tail_graft,e95,e90,nonactive_s1s2s3_e90,s1s2s3,0.5,118,True,True,True,False,True,-2.6391300320449673e-05,2.106225200249568e-06,6.079849959940978e-06,0.1775782155272306,-1.0461081677326993e-06,1.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
39,e110_nonactive_tail_graft_c87102e2,nonactive_tail_graft,e95,e86,nonactive_s1s2s3_e86,s1s2s3,0.75,74,True,True,True,False,True,-2.6770214512028545e-05,2.233392697632798e-06,8.503037772917355e-06,0.2679606025492468,-3.2014405946092298e-06,1.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
40,e110_nonactive_tail_graft_d4a64af7,nonactive_tail_graft,e95,e86,nonactive_s1s2s3_e86,s1s2s3,1.0,74,True,True,True,False,True,-2.6941742370723e-05,3.0366425628376354e-06,1.1414939033326775e-05,0.2639049826187717,-4.177122065963932e-06,1.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
27,e110_nonactive_tail_graft_084ff57b,nonactive_tail_graft,e95,e90,nonactive_s1s2s3_e90,s1s2s3,0.75,118,True,True,True,False,True,-2.646786520377198e-05,3.2153649611471436e-06,9.169349423874317e-06,0.17323290845886444,-1.4816230664937105e-06,1.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
28,e110_nonactive_tail_graft_bb22020e,nonactive_tail_graft,e95,e90,nonactive_s1s2s3_e90,s1s2s3,1.0,118,True,True,True,False,True,-2.6534155761703815e-05,4.361908296677502e-06,1.2306513059946646e-05,0.17004634994206258,-1.8586957449037608e-06,1.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
1,e110_control_541e3973,control,e95,,,,,0,True,True,True,False,False,-2.6207391227939247e-05,4.435812413452495e-18,2.710505431213761e-20,0.0,1.2164608430713466e-17,0.0,-6.85364538707754e-08,2.675352837265094e-06,-1.1157529455647065e-05,-3.8295007058191984e-06,-3.110268800922491e-05,-2.071247290558955e-05
21,e110_nonactive_tail_graft_6b092a86,nonactive_tail_graft,e95,e90,nonactive_q2s3_e90,q2s3,0.25,15,True,True,True,False,False,-2.63732733836175e-05,1.1083813621323148e-06,4.923146245946631e-06,0.42439165701042875,3.814168781565454e-06,0.019021739130434784,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
15,e110_nonactive_tail_graft_dee1389d,nonactive_tail_graft,e95,e89,nonactive_s1s2s3_e89,s1s2s3,0.25,139,True,True,True,False,False,-2.6194141529600756e-05,1.2677749579590298e-06,2.9796941793901592e-06,0.014194669756662804,7.536667961934488e-08,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
29,e110_nonactive_tail_graft_5cb93e6b,nonactive_tail_graft,e95,e90,nonactive_all_e90,all,0.25,133,True,True,True,False,False,-2.6470604987061108e-05,2.141933700886293e-06,6.0869537438003664e-06,0.10225955967555041,3.2605290242690424e-06,0.0625,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
22,e110_nonactive_tail_graft_6772c3c6,nonactive_tail_graft,e95,e90,nonactive_q2s3_e90,q2s3,0.5,15,True,True,True,False,False,-2.6497244167145162e-05,2.3709548567833335e-06,1.0044799827508787e-05,0.4238122827346466,7.878371770370705e-06,0.019021739130434784,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
33,e110_nonactive_tail_graft_5a814d61,nonactive_tail_graft,e95,e86,nonactive_q2s3_e86,q2s3,0.25,29,True,True,True,False,False,-2.6502615194989865e-05,2.4462354983179412e-06,8.752353227865974e-06,0.32792584009269987,7.91915118934036e-06,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
16,e110_nonactive_tail_graft_b6764610,nonactive_tail_graft,e95,e89,nonactive_s1s2s3_e89,s1s2s3,0.5,139,True,True,True,False,False,-2.6172467780249953e-05,2.5663162869247113e-06,6.011805678944486e-06,0.011877172653534183,1.986508843970314e-07,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
18,e110_nonactive_tail_graft_30bdc74b,nonactive_tail_graft,e95,e85,nonactive_s1s2s3_e85,s1s2s3,0.25,426,True,True,True,False,False,-2.573000515049273e-05,2.577754764476425e-06,4.053267661550131e-06,0.00028968713789107763,2.715458316768701e-06,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
41,e110_nonactive_tail_graft_adb8654a,nonactive_tail_graft,e95,e86,nonactive_all_e86,all,0.25,103,True,True,True,False,False,-2.6698067454589136e-05,3.1620064226789073e-06,9.399120933436379e-06,0.13876013904982618,6.807383400265844e-06,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
23,e110_nonactive_tail_graft_8dbe9c65,nonactive_tail_graft,e95,e90,nonactive_q2s3_e90,q2s3,0.75,15,True,True,True,False,False,-2.6577850129716474e-05,3.7929257661030198e-06,1.5389014721891635e-05,0.4235225955967555,1.2200886621786905e-05,0.019021739130434784,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
17,e110_nonactive_tail_graft_5998eeab,nonactive_tail_graft,e95,e89,nonactive_s1s2s3_e89,s1s2s3,0.75,139,True,True,True,False,False,-2.6141362527098977e-05,3.89922936850792e-06,9.078017674219659e-06,0.010428736964078795,3.7558318794350995e-07,0.0,-6.853645387071823e-08,2.6753528372650245e-06,-1.115752945564704e-05,-3.829500705819408e-06,-3.110268800922494e-05,-2.0712472905590353e-05
