mask_kind,n,best_rank,best_score,mean_top_score,raw05_a2c8_ok_rate,all_sign_ok_rate,mean_rows,mean_subject_entropy
single_subject,59,1,0.9506701586292726,1.5468488717982332,0.05084745762711865,0.03389830508474576,29.45762711864407,0.0
global_order,72,2,1.001082379526803,1.52856700413118,0.20833333333333334,0.19444444444444445,68.38888888888889,0.9832434492097223
random_rows,1327,17,1.174555914547871,1.7138583280456532,0.0007535795026375283,0.0,108.44009042954032,0.9800485932490932
subject_contiguous,581,24,1.3065832455877988,1.7156758903981022,0.0,0.0,108.95008605851979,0.9938169275764869
subject_order,8,202,1.557017250748006,1.684167155259302,0.0,0.0,110.0,0.9938181827728307
all,1,532,1.6472871585898563,1.6472871585898563,0.0,0.0,250.0,0.9943128109888364
