variant,target_set,row_mask,cell_mask,sign_mask,scale,threshold_frac,s3_alpha,targets,file,basename,changed_rows_vs_e247,changed_cells_vs_e247,move_l1,move_l2,row_entropy,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4,family
control_all_t85,all,all,abs_top85,both,1.0,85.0,1.0,"Q1,Q2,Q3,S1,S2,S3,S4",analysis_outputs/submission_e350_compactplateau_control_all_t85_b58c2aab.csv,submission_e350_compactplateau_control_all_t85_b58c2aab.csv,249,709,4.638905725056157,0.4416701749740641,0.8327464019536855,2.2302075684348424,1.0247324999943386,0.22828197914359444,1.118902848413562,1.7496226689672767e-11,0.03678082905232353,0.0,all
canonical_e347,all,all,reference,both,1.0,100.0,1.0,"Q1,Q2,Q3,S1,S2,S3,S4",analysis_outputs/submission_e347_stateful_counteraxis_lifestyle_e344_nullsafe_top5_e131968c_uploadsafe.csv,submission_e347_stateful_counteraxis_lifestyle_e344_nullsafe_top5_e131968c_uploadsafe.csv,250,834,4.638905725690548,0.4416701749740641,0.8327464020411297,2.2302075684716782,1.0247325000948053,0.22828197926818733,1.1189028484412362,2.0191604985231315e-10,0.0367808290589347,1.5378992935903557e-10,
compact_t35_s0.990_s3a0.00,compact_s3tail,all,abs_top35,both,0.99,35.0,0.0,"Q1,Q2,Q3,S1",analysis_outputs/submission_e350_compactplateau_compact_t35_s0_990_s3a0_00_abaf3bca.csv,submission_e350_compactplateau_compact_t35_s0_990_s3a0_00_abaf3bca.csv,151,202,4.54074689068295,0.4372401645717764,0.825428185539817,2.2005522982194305,1.014485174994395,0.2259991593521585,1.0997102581169655,0.0,0.0,0.0,compact_s3tail
compact_t35_s0.990_s3a0.25,compact_s3tail,all,abs_top35,both,0.99,35.0,0.25,"Q1,Q2,Q3,S1,S3",analysis_outputs/submission_e350_compactplateau_compact_t35_s0_990_s3a0_25_7be877ac.csv,submission_e350_compactplateau_compact_t35_s0_990_s3a0_25_7be877ac.csv,190,292,4.547628835409516,0.4372408552461296,0.8265244538233208,2.2005522982194305,1.014485174994395,0.2259991593521585,1.0997102581169655,0.0,0.006881944726565878,0.0,compact_s3tail
compact_t35_s0.990_s3a0.50,compact_s3tail,all,abs_top35,both,0.99,35.0,0.5,"Q1,Q2,Q3,S1,S3",analysis_outputs/submission_e350_compactplateau_compact_t35_s0_990_s3a0_50_f05a6804.csv,submission_e350_compactplateau_compact_t35_s0_990_s3a0_50_f05a6804.csv,190,292,4.5545107801360825,0.43724292726264335,0.8274449218095885,2.2005522982194305,1.014485174994395,0.2259991593521585,1.0997102581169655,0.0,0.013763889453131756,0.0,compact_s3tail
compact_t35_s0.990_s3a0.75,compact_s3tail,all,abs_top35,both,0.99,35.0,0.75,"Q1,Q2,Q3,S1,S3",analysis_outputs/submission_e350_compactplateau_compact_t35_s0_990_s3a0_75_34e43d6f.csv,submission_e350_compactplateau_compact_t35_s0_990_s3a0_75_34e43d6f.csv,190,292,4.561392724862648,0.43724638060168,0.8282935069922829,2.2005522982194305,1.014485174994395,0.2259991593521585,1.0997102581169655,0.0,0.020645834179697634,0.0,compact_s3tail
compact_t35_s0.990_s3a1.00,compact_s3tail,all,abs_top35,both,0.99,35.0,1.0,"Q1,Q2,Q3,S1,S3",analysis_outputs/submission_e350_compactplateau_compact_t35_s0_990_s3a1_00_afd53e6e.csv,submission_e350_compactplateau_compact_t35_s0_990_s3a1_00_afd53e6e.csv,190,292,4.568274669589214,0.437251215230511,0.8290934798217428,2.2005522982194305,1.014485174994395,0.2259991593521585,1.0997102581169655,0.0,0.02752777890626351,0.0,compact_s3tail
compact_t35_s0.995_s3a0.00,compact_s3tail,all,abs_top35,both,0.995,35.0,0.0,"Q1,Q2,Q3,S1",analysis_outputs/submission_e350_compactplateau_compact_t35_s0_995_s3a0_00_bdf22bd8.csv,submission_e350_compactplateau_compact_t35_s0_995_s3a0_00_bdf22bd8.csv,151,202,4.56367995578741,0.4394484482312298,0.825428185539817,2.2116661987154886,1.0196088374943666,0.22714056924787646,1.1052643503296777,0.0,0.0,0.0,compact_s3tail
compact_t35_s0.995_s3a0.25,compact_s3tail,all,abs_top35,both,0.995,35.0,0.25,"Q1,Q2,Q3,S1,S3",analysis_outputs/submission_e350_compactplateau_compact_t35_s0_995_s3a0_25_9a9e860b.csv,submission_e350_compactplateau_compact_t35_s0_995_s3a0_25_9a9e860b.csv,190,292,4.570561900513975,0.439449135434863,0.8265195685145893,2.2116661987154886,1.0196088374943666,0.22714056924787646,1.1052643503296777,0.0,0.006881944726565878,0.0,compact_s3tail
compact_t35_s0.995_s3a0.50,compact_s3tail,all,abs_top35,both,0.995,35.0,0.5,"Q1,Q2,Q3,S1,S3",analysis_outputs/submission_e350_compactplateau_compact_t35_s0_995_s3a0_50_71fdee1a.csv,submission_e350_compactplateau_compact_t35_s0_995_s3a0_50_71fdee1a.csv,190,292,4.577443845240541,0.4394511970393151,0.8274360855242635,2.2116661987154886,1.0196088374943666,0.22714056924787646,1.1052643503296777,0.0,0.013763889453131756,0.0,compact_s3tail
compact_t35_s0.995_s3a0.75,compact_s3tail,all,abs_top35,both,0.995,35.0,0.75,"Q1,Q2,Q3,S1,S3",analysis_outputs/submission_e350_compactplateau_compact_t35_s0_995_s3a0_75_bda9b4cc.csv,submission_e350_compactplateau_compact_t35_s0_995_s3a0_75_bda9b4cc.csv,190,292,4.5843257899671075,0.4394546330252429,0.8282811126547209,2.2116661987154886,1.0196088374943666,0.22714056924787646,1.1052643503296777,0.0,0.020645834179697634,0.0,compact_s3tail
compact_t35_s0.995_s3a1.00,compact_s3tail,all,abs_top35,both,0.995,35.0,1.0,"Q1,Q2,Q3,S1,S3",analysis_outputs/submission_e350_compactplateau_compact_t35_s0_995_s3a1_00_224d310c.csv,submission_e350_compactplateau_compact_t35_s0_995_s3a1_00_224d310c.csv,190,292,4.591207734693673,0.4394594433604089,0.8290777948090926,2.2116661987154886,1.0196088374943666,0.22714056924787646,1.1052643503296777,0.0,0.02752777890626351,0.0,compact_s3tail
compact_t35_s1.000_s3a0.00,compact_s3tail,all,abs_top35,both,1.0,35.0,0.0,"Q1,Q2,Q3,S1",analysis_outputs/submission_e350_compactplateau_compact_t35_s1_000_s3a0_00_4be91f35.csv,submission_e350_compactplateau_compact_t35_s1_000_s3a0_00_4be91f35.csv,151,202,4.5866130208918685,0.44165673189068316,0.825428185539817,2.2227800992115463,1.0247324999943386,0.22828197914359444,1.1108184425423897,0.0,0.0,0.0,compact_s3tail
compact_t35_s1.000_s3a0.25,compact_s3tail,all,abs_top35,both,1.0,35.0,0.25,"Q1,Q2,Q3,S1,S3",analysis_outputs/submission_e350_compactplateau_compact_t35_s1_000_s3a0_25_87f24092.csv,submission_e350_compactplateau_compact_t35_s1_000_s3a0_25_87f24092.csv,190,292,4.593494965618435,0.44165741565830363,0.8265147287983438,2.2227800992115463,1.0247324999943386,0.22828197914359444,1.1108184425423897,0.0,0.006881944726565878,0.0,compact_s3tail
compact_t35_s1.000_s3a0.50,compact_s3tail,all,abs_top35,both,1.0,35.0,0.5,"Q1,Q2,Q3,S1,S3",analysis_outputs/submission_e350_compactplateau_compact_t35_s1_000_s3a0_50_f0d50be4.csv,submission_e350_compactplateau_compact_t35_s1_000_s3a0_50_f0d50be4.csv,190,292,4.600376910345,0.44165946695481345,0.827427330697896,2.2227800992115463,1.0247324999943386,0.22828197914359444,1.1108184425423897,0.0,0.013763889453131756,0.0,compact_s3tail
