pair,family,new_file,base_file,actual_delta,actual_direction,n_moved_cells,n_moved_rows,n_cells_for_actual_delta,actual_delta_coverable_by_swing,covered_actual_swing,n_cells_for_frontier_edge,frontier_edge_coverable_by_swing,covered_frontier_swing,all_expected_delta_visible_mean,top4_observed_support_visible,top4_intended_support_visible,frontier_observed_support_visible,frontier_intended_support_visible,top4_between_train_runs_rate,top4_e72_active_rate,actual_edge_observed_support_visible,actual_edge_intended_support_visible
mixmin_vs_a2c8,broad_public_success,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,1256,250,25.0,True,0.0011729785714286373,1,True,4.6919142857149344e-05,2.8557678398813272e-05,0.31090388165409083,0.31090388165409083,0.1174807987711215,0.1174807987711215,1.0,0.75,0.3906727504143785,0.3906727504143785
e95_vs_mixmin,frontier_hardtail_success,submission_e95_hardtail_541e3973.csv,submission_mixmin_0c916bb4.csv,-1.5310700000048527e-05,new_won,550,250,1.0,True,4.647677521129553e-05,1,True,4.647677521129553e-05,-0.00019248867686995501,0.1008956832763761,0.1008956832763761,0.09309523809523801,0.09309523809523801,1.0,1.0,0.09309523809523801,0.09309523809523801
e101_vs_e95,frontier_near_loss,submission_e101_q2s3tail_177569bc.csv,submission_e95_hardtail_541e3973.csv,9.036200000034356e-06,new_lost,50,48,1.0,True,1.1619193802823402e-05,2,True,2.288774052377108e-05,1.4708573522469349e-05,0.10089568327637605,0.899104316723624,0.0920131724923178,0.9079868275076821,1.0,1.0,0.09309523809523801,0.906904761904762
e101_vs_mixmin,mixmin_relative_success,submission_e101_q2s3tail_177569bc.csv,submission_mixmin_0c916bb4.csv,-6.2745000000141715e-06,new_won,550,250,1.0,True,3.485758140847213e-05,1,True,3.485758140847213e-05,-0.0001777801033474854,0.1008956832763761,0.1008956832763761,0.09309523809523801,0.09309523809523801,1.0,1.0,0.09309523809523801,0.09309523809523801
e72_vs_mixmin,q2s3_gate_fail,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,submission_mixmin_0c916bb4.csv,0.00010113670000000408,new_lost,893,249,4.0,True,0.00011365459139147458,1,True,2.877034127193934e-05,-0.0007056942036960685,0.7933036340487052,0.20669636595129492,0.8700147579693035,0.1299852420306965,0.75,1.0,0.7933036340487052,0.20669636595129492
e72_vs_e95,q2s3_gate_fail,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,submission_e95_hardtail_541e3973.csv,0.0001164474000000526,new_lost,1047,250,6.0,True,0.00013885308632759121,1,True,2.3430889985321467e-05,-0.0005132055268261147,0.6964414729140318,0.303558527085968,0.6175056689342403,0.3824943310657597,0.5,1.0,0.7588623666807826,0.24113763331921725
e176_vs_e95_pending,pending_broad_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,submission_e95_hardtail_541e3973.csv,,pending_new_better,904,193,,,,4,True,1.939105676195335e-05,-5.082394727783768e-05,0.33069909410426507,0.33069909410426507,0.33069909410426507,0.33069909410426507,1.0,0.75,,
