model,known_rows,feature_count,loo_spearman,loo_mae,perm_spearman_mean,perm_spearman_p95,beats_perm_p95
extratrees,13,120,0.8736263736263737,0.00026965856811899503,,,False
knn3,13,120,0.6923076923076923,0.00035742472119987506,0.02026098901098902,0.5777472527472528,True
ridge_10,13,120,0.4945054945054945,0.0006075860028253349,0.025618131868131867,0.4601648351648349,True
ridge_1,13,120,0.4835164835164835,0.0008374190090270397,-0.08784340659340659,0.4013736263736264,True
