file,min_prob,max_prob,mean_prob,prob_span,mean_abs_move_vs_stage2,mean_abs_move_vs_raw05,mean_abs_move_vs_a2c8,rms_move_vs_a2c8,max_abs_move_vs_a2c8,move_abs_a2c8_Q1,mean_prob_Q1,move_abs_a2c8_Q2,mean_prob_Q2,move_abs_a2c8_Q3,mean_prob_Q3,move_abs_a2c8_S1,mean_prob_S1,move_abs_a2c8_S2,mean_prob_S2,move_abs_a2c8_S3,mean_prob_S3,move_abs_a2c8_S4,mean_prob_S4,proj_a2c8,cos_a2c8,proj_raw05,cos_raw05,proj_final9,cos_final9,proj_ordinal,cos_ordinal,proj_q2_bad,cos_q2_bad,proj_resid_bad,cos_resid_bad,proj_lejepa_bad,cos_lejepa_bad,bad_axis_abs_load,bad_axis_positive_load,good_axis_load,good_span_residual_ratio,bad_to_good_load_ratio,raw05_a2c8_compat_energy,source_path,basename,current_anchor,scenario_count,pred_delta_vs_current_mean,pred_delta_vs_current_median,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_delta_vs_current_min,pred_delta_vs_current_max,pred_delta_vs_current_spread,pred_beats_current_rate,incremental_bad_axis_vs_current,strict_promote_gate,info_sensor_gate,below_resolution_gate,block_gate,promotion_decision
analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_subject_r1_ae3a04a2.csv,0.0681101766719186,0.9813992616354376,0.594460269687232,0.9132890849635189,0.07300243487973537,0.056587310856160034,0.05365026959325553,0.071782265117592,0.3699988589297094,0.053900539493080574,0.49442657055089545,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06970505202731815,0.659667362644537,0.03255759759697825,0.634570966398688,0.06181647307672164,0.6484902917379316,0.06428161615287936,0.5671810198632465,1.1027782602547729,0.668094235029901,1.1531653929848718,0.6312062155913217,0.16215750682427146,0.3943460257035442,0.17354480809437822,0.33739163286060014,-0.01264962033049761,-0.015788476150556036,-0.09756821573337485,-0.14474876312434262,0.014998064503427583,0.02424543669656184,0.21198830461448914,0.1017704685506167,2.255943653239645,0.7326753355860798,0.09396879404150668,0.0858714831388776,analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_subject_r1_ae3a04a2.csv,submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_subject_r1_ae3a04a2.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,34,-0.0011859066443520398,-0.0010724491681526943,-0.001718254149194877,-0.0008605205572322778,-0.002353594430943765,-0.0001930890977617396,0.0021605053331820254,1.0,0.01242803979206436,True,False,False,False,promote_candidate
analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_subject_r0_e58382ca.csv,0.0681101766719186,0.9834751368367488,0.5944882055534056,0.9153649601648302,0.07256208087664202,0.05657901196393301,0.05365266975219902,0.0713597292570027,0.30677442772031016,0.054987584243396864,0.4945067375265179,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06851771684669232,0.6599015659991426,0.03212798918544645,0.634578036903527,0.0633981287002482,0.6484921828603967,0.0632466604837986,0.5670532389689293,1.0613914199448833,0.6552317619636332,1.1079034346849994,0.6179472667181307,0.16318911527656377,0.40439095982559653,0.1684940085475575,0.3337928162112487,-0.01264962033049761,-0.01608829629693628,-0.097769091839298,-0.14780118639710682,0.01682678676418817,0.02771825115310607,0.21149250320776253,0.10107379103796692,2.1692948546298827,0.743614214944537,0.09749366374003268,0.08596597607476447,analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_subject_r0_e58382ca.csv,submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_subject_r0_e58382ca.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,34,-0.001160668877299853,-0.0010443698323869817,-0.001691238366310024,-0.0008552421222636872,-0.0022450326729232953,-0.0001812751315875895,0.0020637575413357057,1.0,0.011932238385337746,True,False,False,False,promote_candidate
analysis_outputs/submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv,0.0681101766719186,0.9779215454302864,0.5944611961999994,0.9098113687583678,0.07236171807475217,0.057085365301861736,0.05441894361333104,0.07191373612330948,0.2643892675627777,0.05434598614411006,0.49456543517488066,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.07093735852167886,0.6594822611977263,0.03293340008651184,0.6345903282417166,0.06603760395438944,0.6485010418083409,0.06338764778081642,0.5672036303620056,1.0654315943060813,0.6538156388267976,1.112228637823726,0.616671594792769,0.1695629252113995,0.4176875350942522,0.16560452540296305,0.3261182385624463,-0.01264962033049761,-0.015992649542356952,-0.09545558505412753,-0.1434458694485493,0.011068314818098094,0.018124102182779947,0.20197578290420476,0.09387057751957963,2.1776602321298073,0.7449669893077545,0.09274898803378445,0.08661130220316822,analysis_outputs/submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv,submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,34,-0.0011782788183507269,-0.0010649702899503243,-0.001722341194802199,-0.0008078270678346244,-0.0023833661335207635,-0.00020476942412147716,0.0021785967093992864,1.0,0.002415518081779977,True,False,False,False,promote_candidate
analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_dateblock_r1_324b28ef.csv,0.0681101766719186,0.9797766514642752,0.594462930691489,0.9116664747923566,0.07213555914484017,0.05687371103240724,0.054051640078613565,0.07182735279693987,0.3699988589297094,0.05469319833400645,0.4944898537564249,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06856819133036371,0.6595962470651213,0.03252686519433401,0.6345789515077438,0.06618190017672598,0.6484869814646097,0.06310071670905414,0.5672028044311979,1.0672373564993747,0.6549298105260707,1.1142995164773957,0.6178254872410913,0.1637684407195887,0.4034175949018217,0.17493710291313894,0.3444996814357002,-0.01264962033049761,-0.015992797101592484,-0.09467188319819407,-0.1422694742391525,0.012427703799399909,0.0203502570615545,0.20721775878466106,0.09989625525596937,2.1815368729767703,0.7440438187948412,0.09498705305261211,0.08634048962964032,analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_dateblock_r1_324b28ef.csv,submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_dateblock_r1_324b28ef.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,34,-0.0011723692285483958,-0.0010704021680954445,-0.001712175055459986,-0.0008072688769486654,-0.002305427185022482,-0.00017401101487047644,0.0021314161701520055,1.0,0.007657493962236278,True,False,False,False,promote_candidate
analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_dateblock_r0_250d8f21.csv,0.0681101766719186,0.9790911753353094,0.5945078657433315,0.9109809986633908,0.07236400366627893,0.05665502412587572,0.05371760730991355,0.0720100665839277,0.3699988589297094,0.05398658209223044,0.4944618781929989,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06720759709344387,0.6600166428315434,0.03268113285884361,0.6345814373982519,0.061677169097729564,0.6484052092442091,0.0671801612213367,0.5672042159209902,1.0704556579648972,0.6551572934721154,1.118154856227276,0.6183138724879261,0.16197515003545832,0.39793869428557843,0.16855274618367544,0.3310441252463565,-0.01264962033049761,-0.0159502533359866,-0.09235349546428079,-0.1384162904170762,0.01181623699063088,0.019297513631006104,0.201095725877247,0.0960926100824686,2.188610514192173,0.744089706432924,0.09188282907413044,0.0859135196368334,analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_dateblock_r0_250d8f21.csv,submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_dateblock_r0_250d8f21.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,34,-0.0011434241143051793,-0.0010176392507548994,-0.0017441138445202658,-0.000804703853529697,-0.0022403841125482027,-5.5464776155734514e-05,0.002184919336392468,1.0,0.001535461054822218,True,False,False,False,promote_candidate
analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_subject_r2_03687179.csv,0.0681101766719186,0.9829672477522526,0.594500677095531,0.9148570710803341,0.07349132353071763,0.05824571063707745,0.055315145236860416,0.07269792626471637,0.35682840296418616,0.05691395422037314,0.4944839248210252,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.07115155139244998,0.6599304803273032,0.033331881711186145,0.6345796556384945,0.0636408217092576,0.6485038480451346,0.06887719881894541,0.5671211542214339,1.0814248309727907,0.6556037367030153,1.1257622944876682,0.6166261231241205,0.16962228880990038,0.41278022511959833,0.17916948637235616,0.3485638034978483,-0.01264962033049761,-0.015799224492310335,-0.09821780236022275,-0.14581166379813387,0.013907599755259481,0.022497928492051105,0.21435976563215792,0.10349234294143757,2.207187125460459,0.7416446633955965,0.09711898146846956,0.08823785458841693,analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_subject_r2_03687179.csv,submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_subject_r2_03687179.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,34,-0.0011492177305058515,-0.0010148958001828137,-0.0017853378643522349,-0.0007794085474106358,-0.002332030688092699,-7.20523197279014e-05,0.0022599783683647976,1.0,0.014799500809733135,True,False,False,False,promote_candidate
analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_dateblock_r2_3fbe0374.csv,0.0658131177637658,0.9753705094098012,0.5944902821535948,0.9095573916460353,0.0726770861624343,0.05742368876007325,0.05448538280350277,0.07307675450845447,0.3071885013428286,0.0554924848053247,0.494530670470749,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.0696658667895197,0.6597754496882311,0.032645251989929035,0.6345896351809036,0.06237944266093466,0.6484821034872723,0.0679240245730006,0.5671684396326824,1.0862358579955946,0.6554081021585185,1.1331535596396025,0.6177412121467762,0.16749049183221726,0.4056660935868377,0.17599222766704783,0.3407644754285425,-0.01264962033049761,-0.015724554776086593,-0.09503104077236306,-0.14041390785692326,0.012596976722854937,0.020281462221493646,0.20827375165923953,0.10059309055637886,2.219389417635197,0.7430992896085978,0.09384281546557813,0.08704867191227379,analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_dateblock_r2_3fbe0374.csv,submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_dateblock_r2_3fbe0374.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,34,-0.0011113935782836551,-0.0009815071258873161,-0.0017421218661507925,-0.0007456308075735689,-0.0022934408518563145,-7.931174796467101e-05,0.0022141291038916436,1.0,0.008713486836814749,True,False,False,False,promote_candidate
analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_subject_r3_81010b4c.csv,0.0681101766719186,0.9784993234515266,0.5944557299109039,0.9103891467796079,0.07158905751218707,0.056434319100461816,0.05358477663266526,0.07094125912470546,0.3201579297082011,0.05345707648601761,0.4945344576248807,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06592387593632597,0.6597001977626646,0.03244360180081409,0.6345885133103202,0.06660496641720522,0.6485001499068817,0.06337330698248328,0.5669811141562541,1.0393848994521255,0.6493092072499008,1.0856098935599707,0.6127440303708273,0.15580534679266067,0.3907044855166121,0.16826234082701755,0.3373146775897201,-0.01264962033049761,-0.01628042903056971,-0.09315015333878544,-0.14250027505035381,0.012770867474741352,0.021288292166497743,0.2027018115575332,0.09690203788825012,2.124994793012096,0.7493550429185426,0.09538932148385271,0.08572306852444307,analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_subject_r3_81010b4c.csv,submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_subject_r3_81010b4c.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,34,-0.0010844347909591439,-0.0009793992068607787,-0.0016050919823084155,-0.0007187226562469105,-0.0021224326966080708,-0.00014317567158312299,0.0019792570250249477,1.0,0.0031415467351084136,True,False,False,False,promote_candidate
analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_row_r2_76e3a067.csv,0.0654834959351935,0.9779215454302864,0.5945414356903203,0.9124380494950929,0.07243038294195882,0.057079175390906636,0.05444168849930309,0.07228305853154333,0.3405013453863386,0.05612117211810687,0.49461173176571577,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.0682836090088735,0.6596410421602397,0.034199852595006325,0.634693164823537,0.06629598596291116,0.6488206886500617,0.06290059100441309,0.567137745817361,1.070642996437033,0.653805711427042,1.122431616991823,0.6192899884997987,0.1657257738257547,0.4062421358005285,0.16814183991691817,0.32949814919158016,-0.01264962033049761,-0.01591456296642447,-0.0882550708145437,-0.13197773405089985,0.018956218619289672,0.030888797665658753,0.20393182972279006,0.10302713857774876,2.193074613428856,0.7473004928400885,0.09298900656688334,0.08666574873990546,analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_row_r2_76e3a067.csv,submission_e311null_submission_e311_pairmicro_microstack_top8_w2_00_e0041a98.csv_row_r2_76e3a067.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,34,-0.0010578792135899104,-0.0009458685232449384,-0.0015996359347615952,-0.0007078091810559889,-0.0021913768642623905,-0.00013928860312973745,0.002052088261132653,1.0,0.004371564900365277,True,False,False,False,promote_candidate
analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top6_w2_00_b173f856.csv_subject_r2_d5174820.csv,0.0681101766719186,0.9815439816866924,0.5941217942904699,0.9134338050147739,0.06920990366820226,0.05284288710032501,0.04964575729677436,0.06544392945657708,0.31125636377215493,0.05409798407784409,0.4943898916018378,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.0717682591169144,0.6594603514718435,0.03208743888111593,0.6345795499605357,0.05485371534776116,0.6480381283621596,0.04142229484797425,0.5654989620215859,1.0800487604185514,0.6938926825392973,1.1282007577923103,0.6548856436289181,0.16667980879972538,0.4298558287315681,0.1753774939874858,0.36157297220881623,-0.01264962033049761,-0.01674324499258033,-0.09430651603418894,-0.1483705190602688,0.019377751205098808,0.033219843791333026,0.21402263456352827,0.10706649819884172,2.2082495182108617,0.7066492622842393,0.09691958843492071,0.08049573429549135,analysis_outputs/e311_pair_micro_nulls/submission_e311null_submission_e311_pairmicro_microstack_top6_w2_00_b173f856.csv_subject_r2_d5174820.csv,submission_e311null_submission_e311_pairmicro_microstack_top6_w2_00_b173f856.csv_subject_r2_d5174820.csv,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,34,-0.000999006636613137,-0.0009571020259105579,-0.0014587423604866042,-0.0006888317709946913,-0.0017402482838156127,-0.0004343001522771899,0.0013059481315384229,1.0,0.014462369741103487,True,False,False,False,promote_candidate
