prior,outcome,world_rate,group_kind,group,segments,unique_cells,direction,conditional_support_rate,unconditional_support_rate,support_rate_lift,conditional_delta_per_all,unconditional_delta_per_all,delta_shift_per_all,conditional_flip_share_group
global,breakthrough_win,0.63914,target,Q1,108,70,credit,0.508180045755929,0.4987432407407407,0.009436805015188288,-1.9111622228496328e-05,-8.724909866110147e-06,-1.0386712362386182e-05,0.5187376599722061
global,breakthrough_win,0.63914,target,Q3,151,95,credit,0.5008980921590208,0.4913462582781457,0.009551833880875105,-2.397240414072175e-05,-8.596887465299238e-06,-1.5375516675422513e-05,0.49743489037134914
global,breakthrough_win,0.63914,target,S2,62,39,credit,0.473231292654343,0.47070362903225804,0.0025276636220849524,8.696912422044075e-06,1.4043104032566496e-05,-5.346191610522421e-06,0.5398758842462094
global,breakthrough_win,0.63914,target,S3,103,56,credit,0.4670474979880428,0.46066233009708735,0.0063851678909554455,-9.471766357713106e-06,-4.118305173432809e-06,-5.353461184280297e-06,0.43336691927836085
global,breakthrough_win,0.63914,target,S4,55,34,credit,0.5039693963763807,0.49667200000000006,0.00729739637638066,-4.396423797287769e-05,-3.840689236774965e-05,-5.55734560512804e-06,0.5302360999930622
global,breakthrough_win,0.63914,component,e154_adjustment_on_e144_body,185,185,credit,0.48955522158576265,0.49102532432432433,-0.001470102738561685,1.9368615754287685e-07,3.283815441750119e-07,-1.3469538663213505e-07,0.46219529808194193
global,breakthrough_win,0.63914,component,e154_extra_body,109,109,credit,0.48063323623228804,0.47804045871559636,0.00259277751669168,2.7341933376181836e-06,3.6364366125577063e-06,-9.022432749395227e-07,0.4753634283228381
global,breakthrough_win,0.63914,component,inherited_e144_body,185,185,credit,0.5012263100162465,0.48140683783783783,0.01981947217840868,-9.075099777292587e-05,-4.9768708996758074e-05,-4.0982288776167795e-05,0.5058885632923131
global,breakthrough_win,0.63914,target_component,Q1:e154_adjustment_on_e144_body,38,38,credit,0.5011870391628224,0.4999568421052631,0.001230197057559279,-6.558912821891942e-08,-2.8794030116682603e-08,-3.6795098102236815e-08,0.5011401381605992
global,breakthrough_win,0.63914,target_component,Q1:e154_extra_body,32,32,credit,0.5012362803924023,0.49878749999999994,0.002448780392402372,1.4125882672138692e-06,1.5446028926840142e-06,-1.3201462547014497e-07,0.501936328545756
global,breakthrough_win,0.63914,target_component,Q1:inherited_e144_body,38,38,credit,0.5210204337077948,0.49749236842105277,0.02352806528674206,-2.0458621367491277e-05,-1.0240718728677475e-05,-1.0217902638813802e-05,0.5210204337077949
global,breakthrough_win,0.63914,target_component,Q3:e154_adjustment_on_e144_body,56,56,credit,0.5114685358450418,0.5107164285714285,0.0007521072736133005,9.214057962426293e-07,1.1786893563702188e-06,-2.5728356012758945e-07,0.5046686013135294
global,breakthrough_win,0.63914,target_component,Q3:e154_extra_body,39,39,credit,0.48556533900120596,0.4820688461538462,0.0034964928473597556,-7.164977151382031e-07,-4.221531576068109e-08,-6.74282399377522e-07,0.46183988998833087
global,breakthrough_win,0.63914,target_component,Q3:inherited_e144_body,56,56,credit,0.5010058158507638,0.47843714285714284,0.02256867299362092,-2.417731222182617e-05,-9.733361505908777e-06,-1.4443950715917394e-05,0.5010058158507636
global,breakthrough_win,0.63914,target_component,S2:e154_adjustment_on_e144_body,23,23,credit,0.4652324931191506,0.4803219565217391,-0.015089463402588488,-2.9496903887536536e-07,-4.4318935677427174e-07,1.4822031789890638e-07,0.44519343764025365
global,breakthrough_win,0.63914,target_component,S2:e154_extra_body,16,16,credit,0.3694862432330945,0.36785656250000004,0.0016296807330944407,2.277703311430992e-06,2.3127105415748405e-06,-3.5007230143848486e-08,0.36416302536908807
global,breakthrough_win,0.63914,target_component,S2:inherited_e144_body,23,23,credit,0.553400561352143,0.5326310869565218,0.020769474395621157,6.714178149488449e-06,1.2173582847765928e-05,-5.459404698277479e-06,0.5534005613521426
global,breakthrough_win,0.63914,target_component,S3:e154_adjustment_on_e144_body,47,47,credit,0.47759605826712626,0.47568659574468086,0.0019094625224453932,7.897137334253927e-07,7.883585540756317e-07,1.3551793497610156e-09,0.3964951903344316
global,breakthrough_win,0.63914,target_component,S3:e154_extra_body,9,9,credit,0.5202894166814435,0.5178744444444444,0.0024149722369990467,6.341099200199671e-07,6.684609237692049e-07,-3.435100374923778e-08,0.5658882591403713
global,breakthrough_win,0.63914,target_component,S3:inherited_e144_body,47,47,credit,0.4463036766825635,0.43468255319148935,0.011621123491074137,-1.0895590011158465e-05,-5.575124651277645e-06,-5.320465359880821e-06,0.43303244244321837
global,breakthrough_win,0.63914,target_component,S4:e154_adjustment_on_e144_body,21,21,credit,0.46347659131243324,0.4684061904761905,-0.004929599163757237,-1.1568752050308604e-06,-1.1666829793798847e-06,9.807774349024298e-09,0.47556097797781455
global,breakthrough_win,0.63914,target_component,S4:e154_extra_body,13,13,credit,0.5244637626040761,0.5229192307692307,0.0015445318348453752,-8.737104459084419e-07,-8.471224297096722e-07,-2.6588016198769653e-08,0.5407524480545658
global,breakthrough_win,0.63914,target_component,S4:inherited_e144_body,21,21,credit,0.5317752128231835,0.5086895238095239,0.023085689013659594,-4.1933652321938395e-05,-3.6393086958660096e-05,-5.540565363278299e-06,0.5317752128231835
global,clean_win,0.065635,target,Q1,108,70,credit,0.4910503937318899,0.4987432407407407,-0.007692847008850812,-8.610295680002815e-07,-8.724909866110147e-06,7.863880298109866e-06,0.48166511699642894
global,clean_win,0.065635,target,Q3,151,95,credit,0.4841772455234825,0.4913462582781457,-0.007169012754663195,3.1832518205936725e-06,-8.596887465299238e-06,1.1780139285892911e-05,0.46133294710644773
global,clean_win,0.065635,target,S2,62,39,credit,0.4685725308831588,0.47070362903225804,-0.002131098149099231,1.8277673782163582e-05,1.4043104032566496e-05,4.234569749597086e-06,0.5065268436894943
global,clean_win,0.065635,target,S3,103,56,credit,0.4554520032453677,0.46066233009708735,-0.005210326851719627,-8.183109287149869e-08,-4.118305173432809e-06,4.03647408056131e-06,0.4067619745954391
global,clean_win,0.065635,target,S4,55,34,credit,0.4910919201922478,0.49667200000000006,-0.0055800798077522695,-3.4132655865219764e-05,-3.840689236774965e-05,4.274236502529888e-06,0.49230295525646794
global,clean_win,0.065635,component,e154_adjustment_on_e144_body,185,185,credit,0.4919886596431123,0.49102532432432433,0.0009633353187879501,4.867956535799255e-07,3.283815441750119e-07,1.584141094049136e-07,0.4596789533966783
global,clean_win,0.065635,component,e154_extra_body,109,109,credit,0.4756077361387657,0.47804045871559636,-0.002432722576830637,4.425085137253027e-06,3.6364366125577063e-06,7.886485246953211e-07,0.4638034724930348
global,clean_win,0.065635,component,inherited_e144_body,185,185,credit,0.46626037937076253,0.48140683783783783,-0.015146458467075297,-1.852647171416724e-05,-4.9768708996758074e-05,3.124223728259083e-05,0.46749460199133247
global,clean_win,0.065635,target_component,Q1:e154_adjustment_on_e144_body,38,38,credit,0.49825390015757,0.4999568421052631,-0.001702941947693104,1.453870058502347e-08,-2.8794030116682603e-08,4.333273070170607e-08,0.49733331540321657
global,clean_win,0.065635,target_component,Q1:e154_extra_body,32,32,credit,0.495860154643102,0.49878749999999994,-0.0029273453568979257,1.6801146712599711e-06,1.5446028926840142e-06,1.3551177857595696e-07,0.4946980337504085
global,clean_win,0.065635,target_component,Q1:inherited_e144_body,38,38,credit,0.47979656232834694,0.49749236842105277,-0.017695806092705824,-2.555682939845276e-06,-1.0240718728677475e-05,7.6850357888322e-06,0.479796562328347
global,clean_win,0.065635,target_component,Q3:e154_adjustment_on_e144_body,56,56,credit,0.5103576053716985,0.5107164285714285,-0.0003588231997300184,1.388327607921854e-06,1.1786893563702188e-06,2.096382515516351e-07,0.49296135777854705
global,clean_win,0.065635,target_component,Q3:e154_extra_body,39,39,credit,0.4795323008166765,0.4820688461538462,-0.0025365453371696822,5.168393343561313e-07,-4.221531576068109e-08,5.590546501168124e-07,0.4447837848169098
global,clean_win,0.065635,target_component,Q3:inherited_e144_body,56,56,credit,0.46123175788179216,0.47843714285714284,-0.01720538497535068,1.2780848783156874e-06,-9.733361505908777e-06,1.1011446384224464e-05,0.4612317578817921
global,clean_win,0.065635,target_component,S2:e154_adjustment_on_e144_body,23,23,credit,0.492211538780012,0.4803219565217391,0.011889582258272913,-5.532052568816411e-07,-4.4318935677427174e-07,-1.1001590010736935e-07,0.47355999496017115
global,clean_win,0.065635,target_component,S2:e154_extra_body,16,16,credit,0.3661013559838501,0.36785656250000004,-0.0017552065161499653,2.342951357839038e-06,2.3127105415748405e-06,3.0240816264197603e-08,0.3599058981896721
global,clean_win,0.065635,target_component,S2:inherited_e144_body,23,23,credit,0.5162178185684335,0.5326310869565218,-0.01641326838808832,1.6487927681206186e-05,1.2173582847765928e-05,4.314344833440258e-06,0.5162178185684329
global,clean_win,0.065635,target_component,S3:e154_adjustment_on_e144_body,47,47,credit,0.47356350156977095,0.47568659574468086,-0.002123094174909912,8.070330825928982e-07,7.883585540756317e-07,1.867452851726646e-08,0.39603562746762944
global,clean_win,0.065635,target_component,S3:e154_extra_body,9,9,credit,0.5157140076009582,0.5178744444444444,-0.002160436843486213,6.972861474388573e-07,6.684609237692049e-07,2.8825223669652452e-08,0.560274044141443
global,clean_win,0.065635,target_component,S3:inherited_e144_body,47,47,credit,0.4258009721720216,0.43468255319148935,-0.008881581019467732,-1.5861503229032543e-06,-5.575124651277645e-06,3.9889743283743906e-06,0.4024092855739575
global,clean_win,0.065635,target_component,S4:e154_adjustment_on_e144_body,21,21,credit,0.47266085530730917,0.4684061904761905,0.004254664831118693,-1.1698984806382093e-06,-1.1666829793798847e-06,-3.215501258324545e-09,0.4770475682367014
global,clean_win,0.065635,target_component,S4:e154_extra_body,13,13,credit,0.5209931380419687,0.5229192307692307,-0.0019260927272620743,-8.121063736409701e-07,-8.471224297096722e-07,3.501605606870209e-08,0.5348411064267473
global,clean_win,0.065635,target_component,S4:inherited_e144_body,21,21,credit,0.4910127073606924,0.5086895238095239,-0.01767681644883151,-3.2150651010940585e-05,-3.6393086958660096e-05,4.242435947719511e-06,0.49101270736069247
global,micro_win,0.023775,target,Q1,108,70,credit,0.4894983837675741,0.4987432407407407,-0.009244856973166626,1.357537667046133e-06,-8.724909866110147e-06,1.008244753315628e-05,0.47715852750117727
global,micro_win,0.023775,target,Q3,151,95,credit,0.4819534682906108,0.4913462582781457,-0.0093927899875349,6.7008653284242535e-06,-8.596887465299238e-06,1.5297752793723492e-05,0.4566564744236129
global,micro_win,0.023775,target,S2,62,39,credit,0.46884773243784134,0.47070362903225804,-0.001855896594416706,1.8955949338479627e-05,1.4043104032566496e-05,4.912845305913131e-06,0.5041658790243718
global,micro_win,0.023775,target,S3,103,56,credit,0.4554102477718906,0.46066233009708735,-0.00525208232519675,1.3482484956994355e-06,-4.118305173432809e-06,5.4665536691322446e-06,0.4027100629184159
global,micro_win,0.023775,target,S4,55,34,credit,0.48857661791415735,0.49667200000000006,-0.008095382085842706,-3.285896791075949e-05,-3.840689236774965e-05,5.547924456990159e-06,0.4873886913061964
global,micro_win,0.023775,component,e154_adjustment_on_e144_body,185,185,credit,0.4924227697729275,0.49102532432432433,0.0013974454486031518,4.589023669602389e-07,3.283815441750119e-07,1.3052082278522702e-07,0.4599184172301227
global,micro_win,0.023775,component,e154_extra_body,109,109,credit,0.47580817873990683,0.47804045871559636,-0.002232279975689533,4.488305767705524e-06,3.6364366125577063e-06,8.518691551478181e-07,0.46337125814571756
global,micro_win,0.023775,component,inherited_e144_body,185,185,credit,0.4623082388382073,0.48140683783783783,-0.01909859899963051,-9.443575215775806e-06,-4.9768708996758074e-05,4.032513378098227e-05,0.462666209259806
global,micro_win,0.023775,target_component,Q1:e154_adjustment_on_e144_body,38,38,credit,0.49884885715866956,0.4999568421052631,-0.001107984946593532,-2.3728373417782844e-09,-2.8794030116682603e-08,2.6421192774904317e-08,0.49813677193514894
global,micro_win,0.023775,target_component,Q1:e154_extra_body,32,32,credit,0.49599106203995796,0.49878749999999994,-0.0027964379600419753,1.693713685521419e-06,1.5446028926840142e-06,1.4911079283740489e-07,0.49433009371659575
global,micro_win,0.023775,target_component,Q1:inherited_e144_body,38,38,credit,0.4746803918313133,0.49749236842105277,-0.02281197658973949,-3.338031811335078e-07,-1.0240718728677475e-05,9.906915547543967e-06,0.4746803918313134
global,micro_win,0.023775,target_component,Q3:e154_adjustment_on_e144_body,56,56,credit,0.5094299233889139,0.5107164285714285,-0.0012865051825146079,1.4706140775498039e-06,1.1786893563702188e-06,2.919247211795851e-07,0.49089816922005214
