story_id,source,mapped_family,score_col,split,context_cols,state_oof_r2,state_oof_corr,actual_delta_mean,actual_delta_best,actual_best_target,null_q20,null_median,null_best,dominance,placebo_adjusted_vs_median,placebo_adjusted_vs_best,jepa_story_gate
app_entropy_scattered_day,human_social,routine_calendar,app_entropy_scattered_day_subj_z,subject5,117,0.4190103570245278,0.7511441718681486,-0.0019498522345813285,-0.017951625347647826,Q3,0.0004958503918821166,0.0019680807912902942,-0.0014245955880114616,1.0,-0.003917933025871623,-0.0005252566465698669,True
single_app_monotony,human_social,routine_calendar,single_app_monotony_subj_z,subject5,117,0.14015796389281454,0.6217425180837004,-0.0015944051529605302,-0.01901126194081293,Q3,0.0009813187828154085,0.0017088701463118408,-0.0004069827942968507,1.0,-0.0033032752992723713,-0.0011874223586636795,True
app_entropy_scattered_day,human_social,routine_calendar,app_entropy_scattered_day_subj_z,dateblock5,117,0.7283466143311701,0.8534825404452421,-0.00010878590688072938,-0.005987309040375699,Q2,0.0007765099219347459,0.00148837550708352,-0.0030458533399063997,0.92,-0.0015971614139642493,0.0029370674330256702,True
single_app_monotony,human_social,routine_calendar,single_app_monotony_subj_z,dateblock5,117,0.5636991770596237,0.7530376097513694,2.5369220764285112e-05,-0.004542365940180759,Q2,0.000696608948436788,0.0014560629495236224,-0.0011910650495043917,0.9066666666666666,-0.0014306937287593374,0.0012164342702686768,False
commute_workday,human_social,mobility_context,commute_workday_subj_z,dateblock5,117,0.4998603543288721,0.7126466716757597,0.0008969946931829398,-0.002670299784434338,S4,0.0004958430834512148,0.001506017517609767,-0.0017935865454160752,0.6666666666666666,-0.0006090228244268272,0.0026905812385990147,False
vehicle_noise_day,human_social,mobility_context,vehicle_noise_day_subj_z,dateblock5,117,0.6168286901279783,0.7873270994530149,0.0018402260598826706,-0.0021178298988517863,S3,0.0005186139030402533,0.0014115694841269066,-0.0008058443753314089,0.36,0.00042865657575576394,0.0026460704352140796,False
bright_light_late,human_social,bedtime_phone,bright_light_late_subj_z,dateblock5,117,0.10526633188386414,0.37483144832329335,0.0029052668525186365,-0.0008141942736054064,S4,0.0011095252848832044,0.0020247033395267566,-0.0005920825366353886,0.2,0.0008805635129918799,0.0034973493891540253,False
commute_workday,human_social,mobility_context,commute_workday_subj_z,subject5,117,0.19924570610768388,0.5841203146795481,0.00331112640256237,-0.0027774155341399043,Q2,0.0013063821502447795,0.002315672046936596,-0.0018730942435779552,0.25333333333333335,0.0009954543556257738,0.005184220646140325,False
heart_stress_late,human_social,physiology_activity,heart_stress_late_subj_z,dateblock5,117,0.08959478217694794,0.3966877665313356,0.00369299323845199,-0.004469951071950473,Q3,0.001029169393617486,0.0020628118474570467,-0.0016282279849011744,0.09333333333333334,0.001630181390994943,0.005321221223353164,False
vehicle_noise_day,human_social,mobility_context,vehicle_noise_day_subj_z,subject5,117,0.39792264928503485,0.7089112970958625,0.005411330849370082,0.0006901835667186829,S4,0.00013048109661550596,0.001751057849678217,-0.005062307475689555,0.04,0.003660272999691865,0.010473638325059636,False
heart_stress_late,human_social,physiology_activity,heart_stress_late_subj_z,subject5,117,-0.5482125383571812,0.28002593600440295,0.005660650892658643,-0.002177025619058859,S2,0.0014006932203754312,0.0028453739245245684,-0.0012284782039265751,0.18666666666666668,0.0028152769681340744,0.006889129096585218,False
bright_light_late,human_social,bedtime_phone,bright_light_late_subj_z,subject5,117,-0.704670640656403,0.2291998789565964,0.014784068731839541,-0.005027233621943905,S1,0.0013164108124024544,0.0034158363645394596,-0.003597762824875323,0.0,0.011368232367300082,0.018381831556714863,False
