mask_name,broad_count,e101_count,order_match_rate,close10_rate,pred_e101_mean,pred_vs_e95_e101_mean,e101_residual_mean,tail_diff_mean,tail_e95_mean,alpha_median,lambda_median,selected_full_median,tail_e101_minus_e95_mean,e101_rate
all,475,23,0.04842105263157895,0.11368421052631579,-2.5081509291166557e-05,-9.77080929111803e-06,-1.8807009291152386e-05,2.39979358533673e-05,3.264602905270791e-05,1.846849637907657,1.1925760570737012,26.0,-8.648093199340612e-06,0.04842105263157895
e72_top50_hard,475,20,0.042105263157894736,0.061052631578947365,-2.595001928141533e-05,-1.0639319281366803e-05,-1.9675519281401157e-05,2.6043610442494433e-05,3.539456049949716e-05,2.049492201186018,1.2137061507372362,21.0,-9.350950057002724e-06,0.042105263157894736
s1,3,3,1.0,1.0,-1.2847425910754299e-05,2.4632740892942276e-06,-6.5729259107401285e-06,4.7356395196118443e-05,4.735639519611853e-05,2.9733222253525646,1.3100364311285797,68.0,-8.809142651444724e-20,1.0
e95_fallback_cells,324,2,0.006172839506172839,0.012345679012345678,-3.525063254457228e-05,-1.9939932544523752e-05,-2.8976132544558108e-05,7.340769974219009e-05,8.843242754953645e-05,6.507152039758201,1.6785185197942911,16.0,-1.5024727807346356e-05,0.006172839506172839
s1s2s3,435,2,0.004597701149425287,0.013793103448275862,-3.293205483634958e-05,-1.7621354836301058e-05,-2.665755483633541e-05,3.782521741411992e-05,5.1984172052190246e-05,3.2930496829730744,1.343375286584356,25.0,-1.4158954638070324e-05,0.004597701149425287
e95_moved_vs_mixmin,441,2,0.0045351473922902496,0.015873015873015872,-3.3582191625821125e-05,-1.82714916257726e-05,-2.7307691625806957e-05,3.9493680522023176e-05,5.411088576087927e-05,3.5075231021526743,1.3657390159129197,24.0,-1.4617205238856095e-05,0.0045351473922902496
e86_moved_vs_mixmin,454,2,0.004405286343612335,0.022026431718061675,-2.9501012199189437e-05,-1.4190312199140908e-05,-2.3226512199175266e-05,3.14737232428996e-05,4.3395503388027856e-05,2.541879598599812,1.26504872979752,22.0,-1.1921780145128257e-05,0.004405286343612335
s2,1,1,1.0,1.0,-1.4715555469314615e-05,5.9514453073391e-07,-8.441055469300446e-06,3.1358197501344864e-06,3.135819750134613e-06,0.7127599302176787,1.074321425081986,19.0,-1.266314256145179e-19,1.0
q2,3,1,0.3333333333333333,0.6666666666666666,-1.7406620634755586e-05,-2.09592063470706e-06,-1.1132120634741416e-05,7.5040974153646124e-06,1.0015700012823333e-05,0.7016454349629586,1.073162486298565,17.0,-2.5116025974587207e-06,0.3333333333333333
live_q2s1s2s3,465,1,0.002150537634408602,0.010752688172043012,-3.014675130149283e-05,-1.4836051301444302e-05,-2.3872251301478658e-05,3.445383041473663e-05,4.688847206732035e-05,2.9150369690062066,1.3039588682223606,21.0,-1.2434641652583717e-05,0.002150537634408602
q2s3,368,0,0.0,0.0,-4.426747729689952e-05,-2.8956777296850995e-05,-3.799297729688535e-05,6.176553909265448e-05,8.257401236640193e-05,5.755757463173431,1.60016855459128,14.0,-2.0808473273747444e-05,0.0
e72_top20_abs,2,0,0.0,0.0,-2.5070430437860653e-05,-9.759730437812128e-06,-1.8795930437846485e-05,2.750342493683934e-05,3.679333534905737e-05,2.35637330625076,1.245705481917625,57.0,-9.289910412218031e-06,0.0
e89_moved_vs_mixmin,2,0,0.0,0.0,-1.7984571616714895e-05,-2.6738716166663696e-06,-1.1710071616700727e-05,7.3144370328866354e-06,1.0512432366294558e-05,1.0320813813774734,1.107617945134952,107.0,-3.197995333407923e-06,0.0
e90_moved_vs_mixmin,2,0,0.0,0.0,-1.7471643891333267e-05,-2.160943891284743e-06,-1.1197143891319098e-05,1.8253358257830333e-05,2.1271440642593743e-05,1.574132173641361,1.1641390620495466,103.0,-3.01808238476341e-06,0.0
e95_fallback_q2s3,2,0,0.0,0.0,-3.408531007053573e-05,-1.87746100704872e-05,-2.7810810070521556e-05,4.409730270022446e-05,5.90117138812037e-05,3.9105244808098663,1.4077610706076333,19.5,-1.4914411180979239e-05,0.0
