method,blocks,weighted_row_logloss,weighted_count_nll_per_row,rate_mae_weighted,count_mae_mean,is_subject_mean,mean_manifold_energy,weighted_manifold_energy,energy_delta_vs_raw,family,mask,mode,estimator,strength,k,alpha,pseudo_support_mean,hidden_support_mean,pseudo_dist_median,delta_weighted_row_logloss_vs_subject,delta_weighted_row_logloss_vs_raw,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate,s3_delta_vs_subject,s3_delta_vs_raw,fixes_s3_vs_subject,improves_vs_raw,hidden_mixmin_negative,joint_gate
raw_phone_s3_subject_w1p00,369,0.6041539764732675,0.28192193279308875,0.1890729750856748,0.8715802997851835,0.0,0.9407661131953694,0.9523667530066436,0.1415344122075848,replacement,s3_subject_w1p00,,,,,,,,,-0.008847797103302413,-0.0011146234268238908,36.0,0.00031889770062137917,4.553878232901468e-05,0.0007168702724590384,0.4722222222222222,0.0,-0.007802363987765792,True,True,False,False
raw_phone_s3_subject_w0p50,369,0.6042032427924561,0.28197119911227725,0.18972590489820843,0.8745901469697899,0.0,0.8612298263360887,0.888946471929026,0.06199812534830419,replacement,s3_subject_w0p50,,,,,,,,,-0.008798530784113856,-0.001065357107635334,36.0,0.0003148478025874757,3.970171990468392e-05,0.000716528563213278,0.5,0.00034486423431956403,-0.007457499753446228,False,True,False,False
raw_phone_td_knn_groupcross_stage_k8_a24_w0.25,369,0.6051502821951441,0.2829182385149652,0.19074482911892926,0.8792871391092103,0.0,0.810481733572354,0.8452747308622126,0.011250032584569495,target_dependency,stage,groupcross,knn,0.25,8.0,24.0,8.0,8.0,0.05548688526284086,-0.007851491381425824,-0.00011831770494730165,36.0,0.00031689951402086227,3.979555232155258e-05,0.0007225623104430944,0.5277777777777778,0.007219180351277332,-0.0005831836364884602,False,True,False,False
raw_phone_td_knn_groupcross_s3_k8_a24_w0.25,369,0.6051852879520216,0.28295324427184265,0.19081266218773668,0.8795998330117618,0.0,0.798155075558827,0.8345741967338088,-0.0010766254289575684,target_dependency,s3,groupcross,knn,0.25,8.0,24.0,8.0,8.0,0.04599082763832923,-0.007816485624548286,-8.331194806976416e-05,36.0,0.00029890276929517854,1.0711323490484067e-05,0.00071948852086901,0.5277777777777778,0.007219180351277332,-0.0005831836364884602,False,True,False,False
raw_phone_td_knn_groupcross_s3_k8_a24_w0.50,369,0.6051889484474697,0.28295690476729085,0.19083986661565275,0.8797252387892283,0.0,0.7994716054176998,0.8329660399878411,0.00023990442991528725,target_dependency,s3,groupcross,knn,0.5,8.0,24.0,8.0,8.0,0.04599082763832923,-0.007812825129100198,-7.965145262167628e-05,36.0,0.0002870076340367808,-1.2442010499385389e-05,0.0007227901877704983,0.5277777777777778,0.007244803819414614,-0.0005575601683511788,False,True,False,False
raw_phone_td_knn_groupcross_s2s3_k8_a24_w0.25,369,0.6052030838169101,0.28297104013673113,0.19080178239565204,0.8795496798238592,0.0,0.8011959533299434,0.8363678240751774,0.001964252342158937,target_dependency,s2s3,groupcross,knn,0.25,8.0,24.0,8.0,8.0,0.05111338117059348,-0.007798689759659805,-6.551608318128288e-05,36.0,0.0003151679006683361,3.632373060044776e-05,0.0007191781475032115,0.5277777777777778,0.007219180351277332,-0.0005831836364884602,False,True,False,False
raw_phone_td_knn_pair_s3_k8_a24_w0.25,369,0.6052330129020552,0.28300096922187623,0.19092745437219563,0.8801289969840236,0.0,0.7967475190568445,0.8312685853105056,-0.002484181930940048,target_dependency,s3,pair,knn,0.25,8.0,24.0,8.0,8.0,0.03635168298349849,-0.0077687606745147075,-3.558699803618559e-05,36.0,0.00031466438717209883,1.885442264488338e-05,0.0007187554077032752,0.5277777777777778,0.007553255001512715,-0.0002491089862530771,False,True,False,False
raw_phone_td_knn_pair_stage_k8_a24_w0.25,369,0.6052421292815685,0.2830100856013895,0.1908386893262274,0.8797198117721211,0.0,0.8038483941099921,0.8376795756483179,0.004616693122207679,target_dependency,stage,pair,knn,0.25,8.0,24.0,8.0,8.0,0.04992913598413992,-0.007759644295001422,-2.6470618522900224e-05,36.0,0.00031640548513515375,4.6480776296566894e-05,0.0007242953027674707,0.5277777777777778,0.007553255001512715,-0.0002491089862530771,False,True,False,False
raw_phone_td_knn_pair_s2s3_k8_a24_w0.25,369,0.6052508087669437,0.28301876508676477,0.19091657458011096,0.8800788437961211,0.0,0.7998243502329527,0.8330661905103448,0.0005926492451682431,target_dependency,s2s3,pair,knn,0.25,8.0,24.0,8.0,8.0,0.04656989925409688,-0.007750964809626226,-1.7791133147704308e-05,36.0,0.0003309295185452564,4.446682975484711e-05,0.0007184450343374765,0.5277777777777778,0.007553255001512715,-0.0002491089862530771,False,True,False,False
raw_phone_base,369,0.6052685999000914,0.2830365562199124,0.1908421859994161,0.8797359305826741,0.0,0.7992317009877844,0.837991820869375,0.0,raw,,,,0.0,,,,,,-0.007733173676478522,0.0,36.0,0.00031079790455357655,3.386465748035595e-05,0.0007161868539675224,0.5,0.007802363987765792,0.0,False,True,False,False
