scenario,objective,candidate,direction,world_id,delta_vs_e95,sum_abs_residual,max_abs_residual,slack_sum,positive_cell_count
global_t010,fit,fit,fit,6d6bf80067e6,,0.00041235023993102526,7.843191012479878e-05,0.00041235023993191344,881
global_t010,e176_min,e176,min,1638fc735f32,-0.00043660357795686545,0.0003874021115792825,7.959886749087097e-05,0.00041236023993191295,1110
global_t010,e144_min,e144,min,dcbc8c02c51d,-0.0010202451975681827,0.000372065859182924,5.879232224681452e-05,0.00041236023993141086,882
global_t010,e144_max,e144,max,4a4fe0ef2552,0.0008494690881460947,0.0003511934088086255,8.36299098991855e-05,0.0004123602399319515,880
global_t010,pressure_e176_min,e176,min,97a8167c75cd,-0.00042121615077194026,0.00022344426589837596,4.947328297044695e-05,0.00022344426589810626,1111
global_t010,pressure_e176_max,e176,max,443d1385ff25,0.0002541226271206515,0.0002770272370519189,4.853232406232255e-05,0.0002770272370521236,919
global_t010,pressure_e154_min,e154,min,1ded1118d551,-0.0010928573894589462,0.0003802611820279411,6.642590999839104e-05,0.00038026118202616477,885
global_t010,pressure_e154_max,e154,max,e287ff5f3be3,0.0009235347181488717,0.0003479047549814762,7.681143452964445e-05,0.000347904754981866,883
global_t010,pressure_e144_min,e144,min,d9475a96de5f,-0.00064595948328247,0.0006131047217265984,8.673175005191602e-05,0.001043834400000332,894
global_t010,pressure_e144_max,e144,max,cf23783597bf,0.0007414690881460967,0.0005753433763043825,8.12783064995104e-05,0.001043834400000332,885
global_t010_subject_t020,fit,fit,fit,deddbeed7fb5,,0.00020736442958235735,5.1314759890397355e-05,0.00020736442958100264,899
global_t010_subject_t020,pressure_e176_min,e176,min,f52f9e185dee,-0.0004160381145766539,0.00017754421616744676,5.7279134684784516e-05,0.000177544216169008,1113
global_t010_subject_t020,pressure_e176_max,e176,max,fcda1deb0b69,0.0002512274529125274,0.0003455128336128377,8.66141952777788e-05,0.00034551283361285796,939
global_t010_subject_t020,pressure_e154_min,e154,min,cc605f0f3606,-0.0010666850178548638,0.00047892520860648435,7.655797581429535e-05,0.0004789252086069847,915
global_t010_subject_t020,pressure_e154_max,e154,max,5c738cc42b40,0.0008901562804609273,0.0002829133036700293,8.236644456827147e-05,0.00028291330367010586,913
global_t010_subject_t020,pressure_e144_min,e144,min,144395ad2c45,-0.000992245197568183,0.00045400338929701967,7.234562840485737e-05,0.0004540033892953356,902
global_t010_subject_t020,pressure_e144_max,e144,max,5b761d68c2d6,0.0008380405167175233,0.0005002928784396676,7.981257992573099e-05,0.0005002928784385329,896
global_t010_subject_t010,fit,fit,fit,24a638cac8c6,,0.0004943567367846624,7.629250616525418e-05,0.0004943567367879671,975
global_t010_subject_t010,e176_min,e176,min,bec726712406,-0.0003864811142028061,0.0004365568246949003,8.636539811812671e-05,0.00043606405785062414,1094
global_t010_subject_t010,e172_min,e172,min,6018d7d5acdb,-0.0003566073982288775,0.0004805757234773722,8.230280453169758e-05,0.0004943667367879631,1090
global_t010_subject_t010,e144_min,e144,min,62237cf42e93,-0.000983673768996757,0.0003317062563731321,6.442862633060376e-05,0.00033170625637210516,1006
global_t010_subject_t010,e144_max,e144,max,f8f403eb7f26,0.0008151833738603838,0.0004848709149023467,7.61107380007342e-05,0.0004943667367879673,955
global_t010_subject_t010,pressure_e176_min,e176,min,fff4d914ab95,-0.000382383609844285,0.0004171665050936024,7.698555881507918e-05,0.00041716650508952187,1097
global_t010_subject_t010,pressure_e176_max,e176,max,d81155962f27,0.0002449342630972836,0.00030261204937886976,4.265071494269357e-05,0.00030261204938823727,997
global_t010_subject_t010,pressure_e154_min,e154,min,11dafae244eb,-0.0010319247417141077,0.00022705961436519928,7.605650139019815e-05,0.00022705961436561052,972
global_t010_subject_t010,pressure_e154_max,e154,max,07683674659a,0.0008877336269804985,0.00042399081152932894,7.29610743980258e-05,0.0004239908115288897,977
global_t010_subject_t010,pressure_e144_min,e144,min,a3782cc0398e,-0.0009722451975681829,0.0003122431794277958,6.950073790645828e-05,0.0003122431794303684,965
global_t010_subject_t010,pressure_e144_max,e144,max,8f795617c8c3,0.0008266119452889532,0.00022329358008899014,3.795308132970021e-05,0.00022329358008930903,950
