experiment,target_norm,family,outcome_quadrant,n,selector_visible,null_rare,visible_null_rare,visible_null_common,certified_ready,best_actual_p90,best_actual_mean,median_null_strict,best_null_strict,best_p90_dominance,best_mean_dominance,best_worst_mode
e300,multi,unknown,ready_like,1,1,1,1,0,0,-5.1307450763333616e-05,-0.0001613102776991,0.0952380952380952,0.0952380952380952,0.9047619047619048,0.7142857142857143,0.8571428571428571
e299,multi,unknown,visible_null_rare_but_weak_dominance,1,1,1,1,0,0,-5.091777954732784e-05,-0.0001602496894547,0.0952380952380952,0.0952380952380952,0.9523809523809524,0.4761904761904761,0.8571428571428571
e300,multi,unknown,visible_but_null_common,83,83,0,0,83,0,-9.496400991081156e-05,-0.0003214486523377,1.0,0.4285714285714285,1.0,0.8095238095238095,1.0
e299,multi,unknown,visible_but_null_common,47,47,0,0,47,0,-0.0005571610986172,-0.0012671675369421,1.0,0.4285714285714285,1.0,0.8571428571428571,1.0
e293,multi,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,visible_but_null_common,37,37,0,0,37,0,-0.0002288406569589,-0.0007443355168516,1.0,0.4761904761904761,0.9523809523809524,0.7142857142857143,0.8571428571428571
e307,multi,unknown,visible_but_null_common,22,22,0,0,22,0,-0.0001978433672527,-0.000690068850273,0.75,0.75,0.640625,0.546875,0.4375
e306,multi,unknown,visible_but_null_common,20,20,0,0,20,0,-0.0001149163088086,-0.0004110717872443,0.73828125,0.625,0.8125,0.671875,0.65625
e290,Q3,Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow,visible_but_null_common,16,16,0,0,16,0,-0.0002988339993271,-0.0004713025151316,1.0,0.4666666666666667,0.6,0.5333333333333333,0.4
e305,multi,unknown,visible_but_null_common,14,14,0,0,14,0,-0.0001275218114407,-0.0005102474181172,0.7421875,0.6484375,0.5703125,0.5625,0.15625
e279,multi,unknown,visible_but_null_common,13,13,0,0,13,0,-0.0001293142160211,-0.0002290747831013,0.9523809523809524,0.6666666666666666,0.7142857142857143,0.4761904761904761,0.5714285714285714
e303,multi,unknown,visible_but_null_common,11,11,0,0,11,0,-7.411905594048242e-05,-0.0002552934178191,0.71875,0.6015625,0.984375,0.6953125,0.9375
e297,S1,routine_fragmentation,visible_but_null_common,10,10,0,0,10,0,-0.00056547497621,-0.0012843998199157,1.0,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.8571428571428571
e297,S1,bedtime_arousal,visible_but_null_common,10,10,0,0,10,0,-0.0005254630682927,-0.0009241382382179,1.0,0.7142857142857143,0.9047619047619048,0.5714285714285714,0.8571428571428571
e290,Q3,Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2,visible_but_null_common,8,8,0,0,8,0,-0.0003082526114092,-0.0004946496956193,1.0,1.0,0.2666666666666666,0.5333333333333333,0.0
e293,multi,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv,visible_but_null_common,8,8,0,0,8,0,-0.0002454462314389,-0.0008533760388764,1.0,1.0,1.0,0.6666666666666666,1.0
e291,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,visible_but_null_common,6,6,0,0,6,0,-0.00022654056625,-0.000749194416636,1.0,0.6666666666666666,0.9333333333333332,0.6,0.8
e289,Q3,family_jepa_context,visible_but_null_common,4,4,0,0,4,0,-0.0004174271326008,-0.0006738819934856,1.0,1.0,0.8,0.7333333333333333,0.6
e289,Q3,raw_human_context,visible_but_null_common,4,4,0,0,4,0,-0.0003858934039123,-0.0007193258708823,1.0,1.0,0.8,0.9333333333333332,0.4
e291,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv,visible_but_null_common,4,4,0,0,4,0,-0.0001900846152541,-0.000631045018088,1.0,1.0,0.8,0.5333333333333333,0.6
e293,multi,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv,visible_but_null_common,3,3,0,0,3,0,-0.0002676222838103,-0.000938228295069,1.0,1.0,0.9523809523809524,0.3809523809523809,0.8571428571428571
e290,Q3,Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow,visible_but_null_common,3,3,0,0,3,0,-0.0001054632273138,-0.0002016599893893,1.0,0.9333333333333332,0.3333333333333333,0.4666666666666667,0.2
e300,multi,unknown,visible_but_null_not_rare,3,3,0,0,0,0,-5.4171247035770224e-05,-0.000168822859652,0.2857142857142857,0.1904761904761904,1.0,0.6666666666666666,1.0
e291,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv,visible_but_null_common,2,2,0,0,2,0,-0.0003141511233707,-0.0004692717994625,1.0,1.0,0.9333333333333332,0.7333333333333333,0.8
e289,S4,family_jepa_context,visible_but_null_common,2,2,0,0,2,0,-0.0002687271004895,-0.0008650350983128,1.0,1.0,0.8666666666666667,0.4666666666666667,0.6
e291,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv,visible_but_null_common,2,2,0,0,2,0,-0.0002685878974901,-0.0004110646551896,1.0,1.0,0.5333333333333333,0.3333333333333333,0.2
e291,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv,visible_but_null_common,2,2,0,0,2,0,-0.0002399850768156,-0.0007956203968677,1.0,1.0,0.8,0.5333333333333333,0.6
e289,S4,raw_human_context,visible_but_null_common,2,2,0,0,2,0,-0.0002381595252949,-0.0007423959328812,1.0,1.0,0.6,0.5333333333333333,0.4
e290,Q3,Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l1,visible_but_null_common,2,2,0,0,2,0,-0.0002330680144196,-0.0003443683403785,1.0,1.0,1.0,0.6666666666666666,1.0
e290,Q3,Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l2,visible_but_null_common,2,2,0,0,2,0,-0.0001830779463355,-0.0002705717814826,1.0,1.0,0.8666666666666667,0.6666666666666666,0.6
e291,S4,S4_raw_human_context_dateblock5_cluster6_subject_weekday_strong35_subject_cv,visible_but_null_common,2,2,0,0,2,0,-0.0001728452033973,-0.00053826963928,1.0,1.0,0.6,0.4666666666666667,0.2
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_contrast_half_bf70,visible_but_null_common,2,2,0,0,2,0,-0.0001566791533376,-0.0002287240259978,1.0,1.0,0.8,0.4666666666666667,0.6
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_rarity_half_bf70,visible_but_null_common,2,2,0,0,2,0,-0.0001447375518407,-0.0002194694848221,1.0,1.0,0.9333333333333332,0.6,0.8
e290,Q3,Q3_raw_human_context_subject5_pc_strong35_subject5_hgb_shallow,visible_but_null_common,2,2,0,0,2,0,-0.0001427221112114,-0.0002682147429559,1.0,1.0,0.2,0.4666666666666667,0.0
e292,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf70,visible_but_null_common,2,2,0,0,2,0,-0.0001259826889802,-0.0004321149600618,0.9333333333333333,0.8666666666666667,0.9333333333333332,0.5333333333333333,0.8
e292,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_contrast_third_bf70,visible_but_null_common,2,2,0,0,2,0,-0.0001060936222322,-0.0001596551222854,0.9333333333333333,0.8666666666666667,0.4,0.4,0.4
