heldout_set,gate_train_sets,translator,base_tag,candidate_tag,band,base_cell_gate,gradient_gate,row_gate,shape,scale,cap,e67_anchor_minus_base,e67_max_set_minus_base,e67_hidden_q2s3_minus_base,heldout_base_delta_vs_mixmin,heldout_candidate_delta_vs_mixmin,heldout_minus_base,heldout_worst_minus_base,train_base_delta_vs_mixmin,train_candidate_delta_vs_mixmin,train_minus_base,train_worst_minus_base,world_support_minus_base,raw_energy_q_p90_minus_base,hidden_core_minus_base,hidden_q2_minus_base,hidden_s3_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_mean_minus_base,block_q2s3_max_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,heldout_beats_base,heldout_tail_neutral,train_beats_base,hidden_q2s3_beats_base,world_nonworse,independent_gate,strict_independent_gate
raw05_compatible,"inverse_top,all_sign",tail_p90_nonpos_m1.00,raw05_compatible_no_q2_s3_2d60cc74,raw05_compatible_tail_p90_nonpos_m1.00_db37e99e,low_slack_half,all,grad_core_top50,all,flat,0.13,0.12,-1.8720565927443644e-06,-9.180811505471452e-07,-9.681296544420334e-05,1.294326113143729e-05,1.1682444886029764e-05,-1.2608162454075256e-06,-1.6534862985473353e-06,-1.1846621155386927e-05,-1.3867061366745759e-05,-2.0204402113588316e-06,-1.6534862985473353e-06,-9.347421896708781e-05,-4.218543598144553e-05,-3.120830699840371e-05,-0.00011544959847856195,-0.00010300855051070812,-0.00010922907449463504,-0.00014871174679170274,0.0,0.5555555555555556,1.0,True,True,True,True,True,True,True
inverse_top,"raw05_compatible,all_sign",tail_p90_nonpos_m1.00,inverse_top_no_q2_s3_2d60cc74,inverse_top_tail_p90_nonpos_m1.00_59a78abb,low_slack_half,all,grad_core_top50,all,flat,0.13,0.12,-1.8720565927443644e-06,-9.180811505471452e-07,-9.681296544420334e-05,-3.784561707620426e-05,-3.906753406746066e-05,-1.2219169912563999e-06,-1.378779126426366e-06,1.3547817948378338e-05,1.0322933911899312e-05,-3.2248840364790254e-06,-4.008340226402396e-06,-0.0001084861369533396,-2.4134409838505455e-05,-3.070995579515512e-05,-0.00012183669190896085,-9.313299865784663e-05,-0.00010748484528340374,-0.000162963286073491,0.0,0.5833333333333334,1.0,True,True,True,True,True,True,True
raw05_compatible,"inverse_top,all_sign",tail_p90_nonpos_m1.00,raw05_compatible_no_q2_s3_939485ee,raw05_compatible_tail_p90_nonpos_m1.00_66b1eb6f,low_slack_half,all,grad_core_top50,all,flat,0.095,0.12,-1.4080162907825766e-06,-7.90752597290556e-07,-7.102907198666686e-05,7.78791653033295e-06,6.779992027805548e-06,-1.007924502527402e-06,-1.279052615599241e-06,-1.025500331519602e-05,-1.171713035119648e-05,-1.4621270360004601e-06,-1.279052615599241e-06,-6.84273699610217e-05,-3.091617924622092e-05,-2.28944311432e-05,-8.463268113476086e-05,-7.562833686709791e-05,-8.013050900092938e-05,-0.0001090259213513318,0.0,0.5555555555555556,1.0,True,True,True,True,True,True,True
raw05_compatible,"inverse_top,all_sign",tail_p90_nonpos_m1.00,raw05_compatible_no_q2_s3_8ee61fe3,raw05_compatible_tail_p90_nonpos_m1.00_708e62ef,low_slack_half,all,grad_core_top50,all,flat,0.13,0.08,-1.3094741029284762e-06,-7.5997580673004e-07,-6.515440912176901e-05,6.795931799086219e-06,5.867281890004072e-06,-9.286499090821465e-07,-1.182206614380732e-06,-9.725439731433916e-06,-1.1088375688972363e-05,-1.362935957538447e-06,-1.182206614380732e-06,-6.214767722639847e-05,-2.7986639215216158e-05,-2.0989594285897306e-05,-7.72664459252892e-05,-6.966071407646379e-05,-7.34635800008765e-05,-0.00010022132561152341,0.0,0.5555555555555556,1.0,True,True,True,True,True,True,True
inverse_top,"raw05_compatible,all_sign",tail_p90_nonpos_m1.00,inverse_top_no_q2_s3_939485ee,inverse_top_tail_p90_nonpos_m1.00_137e6c37,low_slack_half,all,grad_core_top50,all,flat,0.095,0.12,-1.4080162907825766e-06,-7.90752597290556e-07,-7.102907198666686e-05,-2.930215053231766e-05,-3.0191137560975356e-05,-8.889870286576951e-07,-1.0588527250554591e-06,8.290030216073774e-06,5.761616472366171e-06,-2.5284137437076026e-06,-3.077046429211805e-06,-7.943303193060926e-05,-1.7751277505695384e-05,-2.255648416626954e-05,-8.950157564183159e-05,-6.839381352183316e-05,-7.894769458183237e-05,-0.00011957385984037947,0.0,0.5833333333333334,1.0,True,True,True,True,True,True,True
inverse_top,"raw05_compatible,all_sign",tail_p90_nonpos_m1.00,inverse_top_no_q2_s3_8ee61fe3,inverse_top_tail_p90_nonpos_m1.00_fab8a9cd,low_slack_half,all,grad_core_top50,all,flat,0.13,0.08,-1.3094741029284762e-06,-7.5997580673004e-07,-6.515440912176901e-05,-2.727105622613024e-05,-2.8108485103595093e-05,-8.37428877464852e-07,-9.771017259740944e-07,7.308054281174314e-06,4.974633154075647e-06,-2.333421127098667e-06,-2.845965952680274e-06,-7.142935534811814e-05,-1.5900803266299945e-05,-2.070149507329977e-05,-8.17519828076041e-05,-6.315848270610491e-05,-7.24552327568545e-05,-0.00010993172668826862,0.0,0.5833333333333334,1.0,True,True,True,True,True,True,True
raw05_compatible,"inverse_top,all_sign",tail_p90_nonpos_m1.00,raw05_compatible_no_q2_s3_f9a0f3b7,raw05_compatible_tail_p90_nonpos_m1.00_c83bb276,low_slack_half,all,grad_core_top50,all,flat,0.07,0.12,-1.12156317444434e-06,-6.396114248241602e-07,-5.248510853594901e-05,4.839460909011883e-06,4.036403979057468e-06,-8.030569299544155e-07,-9.796459137234592e-07,-8.360044530975053e-06,-9.531816050234454e-06,-1.1717715192594014e-06,-9.796459137234592e-07,-5.0482918501287746e-05,-2.2826824944366386e-05,-1.691606318421357e-05,-6.250067631755063e-05,-5.591176597227743e-05,-5.920622114491403e-05,-8.052001421424718e-05,0.0,0.5555555555555556,1.0,True,True,True,True,True,True,True
inverse_top,"raw05_compatible,all_sign",tail_p90_nonpos_m1.00,inverse_top_no_q2_s3_fffd486c,inverse_top_tail_p90_nonpos_m1.00_96d72e9e,low_slack_half,all,grad_core_top50,all,core_gain,0.13,0.12,-1.158673050061232e-06,-7.070305308998215e-07,-6.561770135988382e-05,-2.66732318950913e-05,-2.7456531546010687e-05,-7.83299650919389e-07,-8.40677299329684e-07,6.469365779304681e-06,4.565518632926313e-06,-1.903847146378368e-06,-2.0835363754301284e-06,-7.602187475734806e-05,-2.3501137127457383e-05,-2.010769784632771e-05,-8.697128965637346e-05,-5.3782595267504174e-05,-7.037694246193882e-05,-0.0001088612758311201,0.0,0.5833333333333334,1.0,True,True,True,True,True,True,True
inverse_top,"raw05_compatible,all_sign",tail_p90_nonpos_m0.50,inverse_top_no_q2_s3_2d60cc74,inverse_top_tail_p90_nonpos_m0.50_4f465269,low_slack_half,all,grad_core_top50,all,flat,0.13,0.12,-1.0487756704202766e-06,-5.196978634103289e-07,-4.876363253055599e-05,-3.784561707620426e-05,-3.8599885009871215e-05,-7.542679336669522e-07,-7.545200153558085e-07,1.3547817948378338e-05,1.1742176067031096e-05,-1.805641881347242e-06,-2.1920170192313293e-06,-5.423011536172533e-05,-1.2212779776921145e-05,-1.55005527552321e-05,-6.151172102783486e-05,-4.699214825920617e-05,-5.4251934643520516e-05,-8.209811850404357e-05,0.0,0.5833333333333334,1.0,True,True,True,True,True,True,True
raw05_compatible,"inverse_top,all_sign",tail_p90_nonpos_m0.50,raw05_compatible_no_q2_s3_2d60cc74,raw05_compatible_tail_p90_nonpos_m0.50_2fbf218c,low_slack_half,all,grad_core_top50,all,flat,0.13,0.12,-1.0487756704202766e-06,-5.196978634103289e-07,-4.876363253055599e-05,1.294326113143729e-05,1.2191688725460281e-05,-7.515724059770079e-07,-9.165731795768295e-07,-1.1846621155386927e-05,-1.2962046343156786e-05,-1.1154251877698584e-06,-9.165731795768295e-07,-4.682428107914975e-05,-2.120496771884639e-05,-1.5716403227228337e-05,-5.8062289850002724e-05,-5.195253274149769e-05,-5.500741129575021e-05,-7.480295440207174e-05,0.0,0.5555555555555556,1.0,True,True,True,True,True,True,True
