view,bce_mixmin,bce_a2c8,mixmin_delta_vs_a2c8,mean_rate,group,methods,n_methods,weighted_mixmin_delta_vs_a2c8,mixmin_better_block_rate
subject_mean,0.629598673790309,0.6291535152843974,0.00044515850591153594,0.607095936252233,,,,,
calendar_count_strict,0.6805069621199421,0.6806857563387952,-0.00017879421885313995,0.6042706009045484,,,,,
raw_phone_base,0.6644255928378063,0.6641147949332528,0.0003107979045535725,0.6057895520989137,,,,,
transition_row_safe,0.663166406519561,0.662905613032247,0.00026079348731400387,0.6084422168811013,,,,,
transition_balanced_hidden_sign,0.5990028254178643,0.5992918627637334,-0.0002890373458690476,0.6346829899163208,,,,,
transition_aggressive_hidden_sign,0.5506110033065876,0.5520935605180676,-0.0014825572114799401,0.6586274418617694,,,,,
core_median,0.6618334544595889,0.6618078542167913,2.5600242797518824e-05,0.6122593424463054,,,,,
transition_method:transition_raw_residual_baseraw_k4_a24_w0.35,,,,,method,transition_raw_residual_baseraw_k4_a24_w0.35,1.0,0.00022982222090870265,0.5
transition_method:transition_raw_residual_baseraw_k8_a24_w0.35,,,,,method,transition_raw_residual_baseraw_k8_a24_w0.35,1.0,0.00024257124744143455,0.5
transition_method:raw_phone_base,,,,,method,raw_phone_base,1.0,0.00031079790455357655,0.5
transition_method:edge_shrink050,,,,,method,edge_shrink050,1.0,-0.0003748346597357515,0.5277777777777778
transition_method:transition_raw_residual_baseedge_shrink025_k8_a24_w1.00,,,,,method,transition_raw_residual_baseedge_shrink025_k8_a24_w1.00,1.0,-0.0002664035386045025,0.5
transition_method:transition_topology_baseedge_shrink025_k16_a4_w0.35,,,,,method,transition_topology_baseedge_shrink025_k16_a4_w0.35,1.0,-0.000255723011370059,0.6111111111111112
transition_method:transition_topology_baseedge_shrink025_k16_a24_w0.65,,,,,method,transition_topology_baseedge_shrink025_k16_a24_w0.65,1.0,-0.00024776053044191595,0.6111111111111112
transition_method:transition_raw_residual_baseedge_shrink025_k8_a4_w0.35,,,,,method,transition_raw_residual_baseedge_shrink025_k8_a4_w0.35,1.0,-0.0002468992095334448,0.5
transition_method:transition_raw_topology_baseedge_shrink025_k4_a4_w0.35,,,,,method,transition_raw_topology_baseedge_shrink025_k4_a4_w0.35,1.0,-0.00024601878440968334,0.5277777777777778
transition_method:transition_topology_baseedge_shrink025_k4_a4_w0.35,,,,,method,transition_topology_baseedge_shrink025_k4_a4_w0.35,1.0,-0.0002359667908442372,0.5833333333333334
transition_method:transition_raw_topology_baseedge_shrink025_k4_a12_w0.65,,,,,method,transition_raw_topology_baseedge_shrink025_k4_a12_w0.65,1.0,-0.00023035077518570134,0.5555555555555556
transition_method:transition_raw_residual_baseedge_shrink025_k4_a4_w0.35,,,,,method,transition_raw_residual_baseedge_shrink025_k4_a4_w0.35,1.0,-0.0002288566314539167,0.5277777777777778
transition_method:transition_topology_baseedge_shrink025_k4_a12_w0.65,,,,,method,transition_topology_baseedge_shrink025_k4_a12_w0.65,1.0,-0.00022318528633712042,0.5833333333333334
transition_method:transition_raw_residual_baseedge_mid_k4_a4_w1.00,,,,,method,transition_raw_residual_baseedge_mid_k4_a4_w1.00,1.0,-0.0015688625942996577,0.6388888888888888
transition_method:transition_raw_residual_baseedge_mid_k4_a4_w0.65,,,,,method,transition_raw_residual_baseedge_mid_k4_a4_w0.65,1.0,-0.0015027849646272622,0.6666666666666666
transition_method:transition_raw_residual_baseedge_mid_k4_a12_w1.00,,,,,method,transition_raw_residual_baseedge_mid_k4_a12_w1.00,1.0,-0.0014454995616706367,0.6388888888888888
transition_method:transition_full_transition_baseedge_mid_k16_a4_w1.00,,,,,method,transition_full_transition_baseedge_mid_k16_a4_w1.00,1.0,-0.0013991579572475816,0.6111111111111112
transition_method:transition_full_transition_baseedge_mid_k16_a12_w1.00,,,,,method,transition_full_transition_baseedge_mid_k16_a12_w1.00,1.0,-0.001380638276820347,0.5277777777777778
transition_method:transition_raw_residual_baseedge_mid_k4_a4_w0.35,,,,,method,transition_raw_residual_baseedge_mid_k4_a4_w0.35,1.0,-0.0013784022686176363,0.6111111111111112
transition_method:transition_full_transition_baseedge_mid_k16_a4_w0.65,,,,,method,transition_full_transition_baseedge_mid_k16_a4_w0.65,1.0,-0.0013733494277984016,0.5277777777777778
transition_method:transition_raw_residual_baseedge_mid_k4_a12_w0.65,,,,,method,transition_raw_residual_baseedge_mid_k4_a12_w0.65,1.0,-0.0013663938151308502,0.6111111111111112
transition_method:row_safe,,,,,aggregate,transition_raw_residual_baseraw_k4_a24_w0.35;transition_raw_residual_baseraw_k8_a24_w0.35;raw_phone_base,3.0,0.00026079348731403396,0.5
transition_method:balanced_hidden_sign,,,,,aggregate,edge_shrink050;transition_raw_residual_baseedge_shrink025_k8_a24_w1.00;transition_topology_baseedge_shrink025_k16_a4_w0.35;transition_topology_baseedge_shrink025_k16_a24_w0.65;transition_raw_residual_baseedge_shrink025_k8_a4_w0.35;transition_raw_topology_baseedge_shrink025_k4_a4_w0.35;transition_topology_baseedge_shrink025_k4_a4_w0.35;transition_raw_topology_baseedge_shrink025_k4_a12_w0.65;transition_raw_residual_baseedge_shrink025_k4_a4_w0.35;transition_topology_baseedge_shrink025_k4_a12_w0.65,10.0,-0.0002890373458691906,0.5555555555555556
transition_method:aggressive_hidden_sign,,,,,aggregate,transition_raw_residual_baseedge_mid_k4_a4_w1.00;transition_raw_residual_baseedge_mid_k4_a4_w0.65;transition_raw_residual_baseedge_mid_k4_a12_w1.00;transition_full_transition_baseedge_mid_k16_a4_w1.00;transition_full_transition_baseedge_mid_k16_a12_w1.00;transition_raw_residual_baseedge_mid_k4_a4_w0.35;transition_full_transition_baseedge_mid_k16_a4_w0.65;transition_raw_residual_baseedge_mid_k4_a12_w0.65,8.0,-0.0014825572114799182,0.6111111111111112
