pred_index,filter,tag,strategy,fallback,selector,target_scope,graft_alpha,n_scenarios,local_delta,mean_pred_delta,median_pred_delta,p90_pred_delta,p95_pred_delta,mean_vs_e95,median_vs_e95,p90_vs_e95,p95_vs_e95,beat_e95_rate
5,broad_plausible,e103_control_a3f7c96f,control,,,,,3452,-2.7705869828476004e-05,5.033944904413055e-06,5.69397556289017e-07,2.6675888816097644e-05,3.129572555627938e-05,2.0344644904461583e-05,1.5880097556337544e-05,4.198658881614617e-05,4.660642555632791e-05,0.00028968713789107763
5,broad_q2s3,e103_control_a3f7c96f,control,,,,,368,-2.7705869828476004e-05,2.487548290270845e-05,2.4745330519484917e-05,3.1627423929364886e-05,3.3868519919841326e-05,4.018618290275698e-05,4.0056030519533445e-05,4.693812392941341e-05,4.917921991988985e-05,0.0
5,broad_not_q2s3,e103_control_a3f7c96f,control,,,,,3084,-2.7705869828476004e-05,2.666342445472489e-06,-1.3980542630944137e-06,2.233022547243166e-05,2.9791524375192787e-05,1.7977042445521016e-05,1.3912645736954113e-05,3.764092547248019e-05,4.510222437524131e-05,0.00032425421530479895
5,tight_plausible,e103_control_a3f7c96f,control,,,,,2790,-2.7705869828476004e-05,3.170313020004565e-06,-9.558169352672918e-07,2.519468968462264e-05,3.06766958997831e-05,1.8481013020053092e-05,1.4354883064781236e-05,4.050538968467117e-05,4.598739589983163e-05,0.00035842293906810036
5,near_unit_tail,e103_control_a3f7c96f,control,,,,,2354,-2.7705869828476004e-05,1.977582109812559e-06,-1.51430275767488e-06,1.7441640169073203e-05,2.987065510688572e-05,1.7288282109861087e-05,1.3796397242373647e-05,3.275234016912173e-05,4.518135510693425e-05,0.0004248088360237893
6,broad_plausible,e103_control_28925de5,control,,,,,3452,-2.6932385085221e-05,-1.9384001653974126e-06,-4.113040668232785e-06,9.904993197414655e-06,1.593359880983134e-05,1.3372299834651114e-05,1.1197659331815742e-05,2.521569319746318e-05,3.124429880987986e-05,0.002607184241019699
6,broad_q2s3,e103_control_28925de5,control,,,,,368,-2.6932385085221e-05,5.843104420419096e-06,5.970845137343394e-06,1.630298468762468e-05,1.894923506277917e-05,2.1153804420467624e-05,2.128154513739192e-05,3.161368468767321e-05,3.4259935062827696e-05,0.002717391304347826
6,broad_not_q2s3,e103_control_28925de5,control,,,,,3084,-2.6932385085221e-05,-2.866932489515595e-06,-4.793227626936986e-06,7.742208585790035e-06,1.437861855158031e-05,1.2443767510532931e-05,1.051747237311154e-05,2.3052908585838564e-05,2.9689318551628838e-05,0.0025940337224383916
6,tight_plausible,e103_control_28925de5,control,,,,,2790,-2.6932385085221e-05,-3.0098603560129998e-06,-4.677077674438888e-06,7.2254249726626185e-06,1.1880826138467272e-05,1.2300839644035527e-05,1.0633622325609639e-05,2.2536124972711147e-05,2.71915261385158e-05,0.0025089605734767025
6,near_unit_tail,e103_control_28925de5,control,,,,,2354,-2.6932385085221e-05,-3.625782807051655e-06,-4.9583482476225885e-06,5.4349030914514005e-06,9.628211743180838e-06,1.1684917192996872e-05,1.0352351752425939e-05,2.074560309149993e-05,2.4938911743229367e-05,0.002973661852166525
