policy_id,q3_mode,s4_mode,q3_scale,s4_scale,delta,raw_delta,delta_vs_raw,e211_toward_delta,delta_vs_e211_toward,subject_half_delta,subject_half_win_rate,keep_abs_share,geometry_delta,geometry_win_rate,ungated_geometry_delta,geometry_keep_abs_share,geometry_vs_raw
baseline_raw_raw,raw,raw,1.0,1.0,-0.0012727238597273205,-0.0012727238597273205,0.0,-0.0013179843780894984,4.5260518362177926e-05,-0.0012971056932321538,0.9,0.9999999999999944,-0.000907522493934429,0.875,-0.000907522493934429,0.999999999999973,0.0
baseline_q3raw_s4toward,raw,toward_binary,1.0,1.0,-0.0013179843780894984,-0.0012727238597273205,-4.5260518362177926e-05,-0.0013179843780894984,0.0,-0.0013275006339354817,0.9653846153846154,0.7520380186178688,-0.0006109539991044355,0.875,-0.000907522493934429,0.7906685995667582,0.0002965684948299935
baseline_q3raw_s4closer,raw,closer_binary,1.0,1.0,-0.001315063973121755,-0.0012727238597273205,-4.234011339443455e-05,-0.0013179843780894984,2.920404967743373e-06,-0.00132004497509272,0.9615384615384616,0.7365855432468479,-0.0006295924554222954,0.875,-0.000907522493934429,0.7641688494914669,0.0002779300385121336
q3raw_s4benefit_prob,raw,prob,1.0,1.0,-0.0009160422762715115,-0.0012727238597273205,0.000356681583455809,-0.0013179843780894984,0.00040194210181798695,-0.0009180151336518023,0.9230769230769231,0.6022629883800227,-0.000941984917811084,0.875,-0.000907522493934429,0.7449722763591089,-3.446242387665499e-05
q3raw_s4benefit_rank,raw,rank,1.0,1.0,-0.0009175382769940343,-0.0012727238597273205,0.00035518558273328615,-0.0013179843780894984,0.0004004461010954641,-0.0009246254869881578,0.9307692307692308,0.6751347358239541,-0.000986803560077465,0.875,-0.000907522493934429,0.7332946129857973,-7.928106614303598e-05
q3raw_s4benefit_margin,raw,margin,1.0,1.0,-0.0008260330918168357,-0.0012727238597273205,0.0004466907679104848,-0.0013179843780894984,0.0004919512862726627,-0.0008211426372735701,0.9307692307692308,0.49109157839766304,-0.0008764685458821642,0.875,-0.000907522493934429,0.6252012441173581,3.10539480522648e-05
q3raw_s4benefit_toward,raw,toward_prob,1.0,1.0,-0.0008881028131912938,-0.0012727238597273205,0.0003846210465360267,-0.0013179843780894984,0.0004298815648982046,-0.0008852136252884383,0.9423076923076923,0.536010473746663,-0.0007030764467044898,0.875,-0.000907522493934429,0.6252811608590302,0.0002044460472299392
q3raw_s4benefit_toward_rank,raw,toward_rank,1.0,1.0,-0.0008853653924010274,-0.0012727238597273205,0.0003873584673262931,-0.0013179843780894984,0.000432618985688471,-0.0008829971443274311,0.9461538461538461,0.5615120973225586,-0.0007190007210893384,0.875,-0.000907522493934429,0.6074970421815651,0.00018852177284509053
q3raw_s4benefit_closer,raw,closer_prob,1.0,1.0,-0.0008869560594796377,-0.0012727238597273205,0.00038576780024768276,-0.0013179843780894984,0.0004310283186098607,-0.0008827136098347091,0.9230769230769231,0.5321319908705306,-0.0007251329097729131,0.875,-0.000907522493934429,0.6117676504014228,0.00018238958416151585
q3raw_s4benefit_closer_rank,raw,closer_rank,1.0,1.0,-0.0008850894684495625,-0.0012727238597273205,0.000387634391277758,-0.0013179843780894984,0.00043289490963993593,-0.0008801950586912556,0.9230769230769231,0.5548580609681191,-0.0007710453977118753,0.875,-0.000907522493934429,0.5937875133496516,0.00013647709622255366
q3benefit_prob_s4benefit_prob,prob,prob,1.0,1.0,-0.0002393537907847687,-0.0012727238597273205,0.0010333700689425518,-0.0013179843780894984,0.0010786305873047297,-0.000251056878550917,0.8961538461538462,0.21326199738897356,-0.000721698336665702,0.875,-0.000907522493934429,0.5286912887786721,0.00018582415726872692
q3benefit_rank_s4benefit_rank,rank,rank,1.0,1.0,-0.0002891927034787134,-0.0012727238597273205,0.000983531156248607,-0.0013179843780894984,0.001028791674610785,-0.00030870987013781537,0.8346153846153846,0.33212709663171586,-0.0007705451929509582,0.875,-0.000907522493934429,0.5253998731858013,0.00013697730098347072
q3benefit_margin_s4benefit_margin,margin,margin,1.0,1.0,-1.927731523299059e-06,-0.0012727238597273205,0.0012707961282040214,-0.0013179843780894984,0.0013160566465661994,-2.04554210603494e-06,0.6576923076923077,0.003799244984217303,-0.0005822014907629208,0.75,-0.000907522493934429,0.31855252245282145,0.00032532100317150814
q3benefit_prob_s4benefit_toward,prob,toward_prob,1.0,1.0,-0.00021141432770455104,-0.0012727238597273205,0.0010613095320227695,-0.0013179843780894984,0.0011065700503849474,-0.0002182553701875521,0.9653846153846154,0.1470094827556139,-0.00048278986555905234,0.875,-0.000907522493934429,0.4090001732785934,0.0004247326283753766
q3benefit_rank_s4benefit_toward_rank,rank,toward_rank,1.0,1.0,-0.00025701981888570646,-0.0012727238597273205,0.001015704040841614,-0.0013179843780894984,0.001060964559203792,-0.000267081527477096,0.8807692307692307,0.2185044581303203,-0.0005027423539628179,0.875,-0.000907522493934429,0.39960230238156896,0.0004047801399716111
