scenario,candidate,role,file,direction,solver_success,status,message,mip_gap,mip_dual_bound,mip_node_count,elapsed_sec,time_limit,has_incumbent,fit_slack_budget,world_id,delta_vs_e95,slack_sum,sum_abs_residual,max_abs_residual,mean_abs_residual,frontier_scale_fit,positive_cell_count,better_than_e95
global_t010,e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,min,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.0040123597079847985,-0.00028604283684256055,637,6.007426977157593,6.0,True,0.00041235023993191344,1638fc735f32,-0.00043660357795686545,0.00041236023993191295,0.0003874021115792825,7.959886749087097e-05,3.228350929827354e-05,True,1110.0,True
global_t010,e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,max,False,1,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,-1,6.006739139556885,6.0,False,0.00041235023993191344,,,,,,,,,
global_t010,e174,max_edge_broad_reopen,submission_e174_ro_fc_top75_to1p0_95638e73.csv,min,False,1,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,-1,6.03510308265686,6.0,False,0.00041235023993191344,,,,,,,,,
global_t010,e174,max_edge_broad_reopen,submission_e174_ro_fc_top75_to1p0_95638e73.csv,max,False,1,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,-1,6.006369113922119,6.0,False,0.00041235023993191344,,,,,,,,,
global_t010,e172,visible_tail_repair,submission_e172_vis_pos_all_keep0p25_d90f4407.csv,min,False,1,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,-1,6.025764226913452,6.0,False,0.00041235023993191344,,,,,,,,,
global_t010,e172,visible_tail_repair,submission_e172_vis_pos_all_keep0p25_d90f4407.csv,max,False,1,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,-1,6.006500005722046,6.0,False,0.00041235023993191344,,,,,,,,,
global_t010,e154,repaired_all_four_branch,submission_e154_s3repair_9f2e2e73.csv,min,False,1,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,-1,6.019751071929932,6.0,False,0.00041235023993191344,,,,,,,,,
global_t010,e154,repaired_all_four_branch,submission_e154_s3repair_9f2e2e73.csv,max,False,1,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,-1,6.031799077987671,6.0,False,0.00041235023993191344,,,,,,,,,
global_t010,e144,active_boundary_branch,submission_e144_activeboundary_d7b4b331.csv,min,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,-0.000952571428571424,0,1.0775160789489746,6.0,True,0.00041235023993191344,dcbc8c02c51d,-0.0010202451975681827,0.00041236023993141086,0.000372065859182924,5.879232224681452e-05,3.1005488265243665e-05,True,882.0,True
global_t010,e144,active_boundary_branch,submission_e144_activeboundary_d7b4b331.csv,max,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.012461059190030951,-0.0009285714285714244,2085,6.0095579624176025,6.0,True,0.00041235023993191344,4a4fe0ef2552,0.0008494690881460947,0.0004123602399319515,0.0003511934088086255,8.36299098991855e-05,2.926611740071879e-05,True,880.0,False
