feature_set,n_features,row_auc_actual_vs_null,mean_actual_rank,top1_rate,top3_rate,mean_actual_dominance,spearman_realness_vs_null_strict_rate,spearman_realness_vs_actual_p90,spearman_realness_vs_actual_mean,spearman_realness_vs_mean_dominance,spearman_realness_vs_p90_dominance,spearman_realness_vs_selected_rows,spearman_realness_vs_selected_null_max_rate
all_output,57,0.8834984188988095,2.921875,0.28125,0.671875,0.9084821428571428,0.36032190712092116,-0.32840673880024196,-0.3426484589099645,0.18330230917944357,-0.3941598633458796,0.3258467027929452,0.45283650641539397
selector,15,0.8498651413690476,3.84375,0.15625,0.546875,0.8645833333333334,0.4788471624358843,-0.3384354741829726,-0.3604162640629302,0.04517469577474195,-0.10190452032948313,0.28670727367066123,0.3454740770905667
anchor_geometry,32,0.8284621465773809,3.6875,0.21875,0.65625,0.8720238095238095,0.17683865473723814,-0.16350502138830983,-0.17147305771979446,-0.023994659282222747,-0.14391536170457309,0.15056110389526803,0.3053659643954271
s4_local,11,0.6196172805059524,7.828125,0.015625,0.203125,0.6748511904761905,0.09394794046826725,-0.14990440765008603,-0.1283357575803776,0.012548526604094987,-0.17608603343228868,0.11591913421838494,0.18990810806887817
