target,active_cells,temporal_raw_delta_vs_subject_prior,temporal_valid_raw_target,flip_benefit_share,subject_prior_y1_support_probability_mean,subject_prior_y1_expected_delta_per_all_cells_sum,raw_plus_prior_y1_support_probability_mean,raw_plus_prior_y1_expected_delta_per_all_cells_sum,validation_gated_raw_y1_support_probability_mean,validation_gated_raw_y1_expected_delta_per_all_cells_sum
S3,39,-0.0046425795225136,True,0.9358623220570998,0.6044504263489225,2.8719829313637373e-06,0.5894632524852876,6.161366147537504e-06,0.5894632524852876,6.161366147537504e-06
Q2,11,0.0301821101550449,False,0.06413767794290012,0.5282476409441549,1.0543930277251824e-06,0.5438403591488722,8.490461027862031e-07,0.527518664948243,1.0671738999949927e-06
