scenario_id,feature_view,dropped_public,train_rows,feature_count,gated_count,top_variant,top_family,top_file,top_score,e364_rank,e363_rank,e364_score,e363_score,e364_minus_e363_score,e364_beats_e363,top_is_e364,top_is_e363,train_spearman_ridge_10,train_spearman_ridge_1,train_spearman_knn3,train_spearman_extratrees
bad_good__none,bad_good,none,13,38,104,e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_92cfe11c.csv,4.508827238335436,7.0,51.0,4.060592686002521,3.0582597730138716,1.0023329129886496,True,False,False,0.8681318681318682,0.9285714285714285,1.0,0.9821192234671022
bad_good__drop_submission_hybrid_0p578_logit_after_subjec,bad_good,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,12,38,104,e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_92cfe11c.csv,4.625189155107188,17.0,53.0,3.623802017654477,3.0367906683480457,0.5870113493064313,True,False,False,0.8321678321678322,0.9300699300699302,1.0,0.965034965034965
bad_good__drop_submission_hybrid_0p567_foldsafe_stage2_q1,bad_good,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,12,38,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,4.309962168978561,1.0,60.0,4.309962168978561,2.9565889029003785,1.353373266078183,True,True,False,0.965034965034965,0.9860139860139862,1.0,0.9877114437266564
bad_good__drop_submission_ordinal_q_constraints_ambnext_Q,bad_good,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,12,38,104,e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_92cfe11c.csv,4.754192938209332,2.0,35.0,4.276008827238335,3.2477301387137456,1.0282786885245891,True,False,False,0.8111888111888113,0.8601398601398602,1.0,0.9790209790209792
bad_good__drop_submission_mixmin_0c916bb4_csv,bad_good,submission_mixmin_0c916bb4.csv,12,38,104,e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_92cfe11c.csv,4.527301387137453,8.0,53.0,4.057944514501891,3.0581967213114756,0.9997477931904153,True,False,False,0.8811188811188813,0.9440559440559443,1.0,0.9842396880153765
bad_good__drop_submission_e72_topabs50_q2s3_gate_4e48cba2,bad_good,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,12,38,104,e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_92cfe11c.csv,4.528972257250946,7.0,49.0,4.052585119798234,3.14265447667087,0.9099306431273639,True,False,False,0.9090909090909092,0.965034965034965,1.0,0.9772344233319931
bad_good__drop_submission_e95_hardtail_541e3973_csv,bad_good,submission_e95_hardtail_541e3973.csv,12,38,104,e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_92cfe11c.csv,4.43767339218159,12.0,51.0,3.7030895334174025,3.0494010088272385,0.653688524590164,True,False,False,0.9230769230769231,0.9440559440559443,1.0,0.9842396880153765
bad_good__drop_submission_e101_q2s3tail_177569bc_csv,bad_good,submission_e101_q2s3tail_177569bc.csv,12,38,104,e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_92cfe11c.csv,4.393474148802018,12.0,51.0,3.706462799495586,3.0510718789407316,0.6553909205548543,True,False,False,0.9230769230769231,0.9160839160839163,1.0,0.9842396880153765
bad_good__drop_submission_e176_abl_q2_to0p75_91e49725_csv,bad_good,submission_e176_abl_q2_to0p75_91e49725.csv,12,38,104,e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_92cfe11c.csv,4.430706179066836,12.0,51.0,3.7386191677175282,3.054508196721312,0.6841109709962163,True,False,False,0.8881118881118882,0.9020979020979022,1.0,0.9842396880153765
bad_good__drop_submission_e216_maskfam_jepa_s2_rank_e154_,bad_good,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,12,38,104,e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_92cfe11c.csv,4.554255989911728,2.0,50.0,4.191361916771752,3.134646910466583,1.0567150063051693,True,False,False,0.9090909090909092,0.9300699300699302,1.0,0.9772344233319931
bad_good__drop_submission_e247_featnn1_nn_smooth_sum_top3,bad_good,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,12,38,104,e362_scale_g1.00_q11.08_q20.90_q30.45_s11.00,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_00_q11_08_q20_90_q30_45_s11_00_2ffbb23b.csv,4.23313366960908,12.0,47.0,3.8025535939470365,3.0930327868852463,0.7095208070617902,True,False,False,0.8391608391608393,0.9160839160839163,1.0,0.9562186292818428
