basename,policy,recipe,group_key,base_variant,source_count,selected_mode_mix,old_strict_promote,actual_p90,actual_mean,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,public_free_submission_ready,pred_dateblock_p90_dominance,pred_row_p90_dominance,pred_subject_p90_dominance,pred_worst_placement_dominance,pred_dateblock_null_not_strict,pred_row_null_not_strict,pred_subject_null_not_strict,pred_null_strict_rate,pred_adversarial_health,actual_adversarial_health,ready_like_actual
submission_e319_modespec_human_identity_action_p90_rank__all__selected_tbal__c128__w8_00_ce1c1638.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_tbal,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0020914357926616,-0.0032681155074508,0.3333333333333333,0.9444444444444444,1.0,0.75,False,0.8921255885386443,0.9923303577656019,0.9233007372590543,0.8921255885386443,0.8322122521842321,0.7204902883483914,0.3656175109101354,0.36055998285241375,0.5315656056862306,0.4166666666666667,False
submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_tbal__c64__w3_00_8eb17e14.csv,human_regime_only,policy_recipe,human_regime_only__recipe_family_consensus,selected_tbal,18,dateblock:2|row:1|subject:15,False,-0.0011710256786793,-0.0017973696313759,0.0555555555555555,0.8888888888888888,0.8333333333333334,0.0,False,0.7897831100132761,0.9640146858119583,0.7734452489234692,0.7734452489234692,0.9140840964636796,0.34908136223451697,0.8330910982147944,0.3012478143623364,0.47219743456113283,-0.0555555555555555,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_tbal__c128__w5_00_ec3ac8dd.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_tbal,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0017183063165053,-0.00274567875874,0.5555555555555556,0.9444444444444444,1.0,0.75,False,0.9338260451850637,0.9783791986967123,0.9394374106691519,0.9338260451850637,0.3537933701614552,0.7595183929499365,0.4655142109592759,0.47372467530977735,0.4601013698752864,0.19444444444444442,False
submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_maxmean__call__w1_50_83ddd459.csv,human_regime_only,policy_recipe,human_regime_only__recipe_family_consensus,selected_maxmean,18,dateblock:2|row:1|subject:15,False,-0.0012969728062676,-0.0018225261748248,0.1111111111111111,0.9444444444444444,0.9444444444444444,0.75,False,0.7309234838766973,0.5951610872758758,0.9258323486596951,0.5951610872758758,0.8503470631385716,0.7986120900267022,0.6921528816505178,0.21962932172806948,0.3755317655478063,0.6388888888888888,False
submission_e319_modespec_regime_then_geometry__recipe_family_consensus__selected_maxmean__call__w3_00_30eb2465.csv,regime_then_geometry,policy_recipe,regime_then_geometry__recipe_family_consensus,selected_maxmean,18,dateblock:2|subject:16,True,-0.0014889277441711,-0.002904923497704,0.3888888888888889,0.8888888888888888,0.7777777777777778,0.75,False,0.5479505311209351,0.4026219795604307,0.5329823591944214,0.4026219795604307,0.9647553551891219,0.8526708141829189,0.8678569862439031,0.10490561479468541,0.2977163647657453,0.3611111111111111,False
submission_e319_modespec_human_action_p90_rank__top24__selected_tbal__c64__w8_00_7cf38a1d.csv,human_action_p90_rank,policy_top,human_action_p90_rank__top24,selected_tbal,24,actual:5|dateblock:1|row:8|subject:10,True,-0.001851734607069,-0.0022610943048865,0.5555555555555556,1.0,0.8888888888888888,1.0,False,0.9859181003569795,0.9505561354927854,0.9478841092818566,0.9478841092818566,0.28097262275175433,0.6750201831541687,0.08445231104351902,0.6531849610168527,0.2946991482650039,0.4444444444444444,False
submission_e319_modespec_regime_then_geometry__mode_dateblock__selected_maxmean__call__w5_00_3ba4b8d2.csv,regime_then_geometry,policy_mode,regime_then_geometry__mode_dateblock,selected_maxmean,10,dateblock:10,True,-0.0019804884547951,-0.0049278043005769,0.4444444444444444,0.9444444444444444,0.8888888888888888,0.75,False,0.9497252795712283,0.655662281835738,0.7210490292006086,0.655662281835738,0.7578338008173986,0.49571471576642745,0.4615918527873947,0.4282865435429265,0.22737573829281155,0.3055555555555556,False
submission_e319_modespec_regime_then_geometry__recipe_family_consensus__selected_maxmean__call__w1_50_09016658.csv,regime_then_geometry,policy_recipe,regime_then_geometry__recipe_family_consensus,selected_maxmean,18,dateblock:2|subject:16,False,-0.0012593434999153,-0.0018004347486379,0.1111111111111111,0.7222222222222222,0.8333333333333334,0.25,False,0.7348836454400032,0.8727746460501931,0.6110655995453746,0.6110655995453746,0.9252020206065745,0.13095399628652019,0.6677589208497351,0.4253616874190568,0.18570391212631787,0.1388888888888889,False
submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_maxmean__call__w3_00_bddd61ce.csv,human_regime_only,policy_recipe,human_regime_only__recipe_family_consensus,selected_maxmean,18,dateblock:2|row:1|subject:15,True,-0.0015525195581536,-0.0028980392492441,0.1666666666666666,0.9444444444444444,0.8333333333333334,0.75,False,0.9172824528071437,0.2993013980619003,0.6805349056336273,0.2993013980619003,0.8940814147028773,0.8041140497143138,0.8736583728246883,0.1427153875860402,0.15658601047586013,0.5833333333333334,False
submission_e319_modespec_human_identity_action_p90_rank__all__selected_maxmean__c128__w5_00_b43c1dd0.csv,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,selected_maxmean,67,actual:6|dateblock:14|row:10|subject:37,True,-0.0023123053717483,-0.0041949425869403,0.2777777777777778,0.7222222222222222,0.7222222222222222,0.25,False,0.6780103156106112,0.8153107707429578,0.7728145117299703,0.6780103156106112,0.6428803414751769,0.5005041855529611,0.282397959399211,0.5247391711908838,0.15327114441972745,-0.02777777777777779,False
