task,feature_block,n,positive_rate,auc,average_precision,logloss,pred_mean,target_mean,spearman,pearson,rmse
actual_vs_all_null,human_signature,1541,0.043478260869565216,0.971728872597663,0.4939204964929659,0.23973118934803425,0.1524341018279876,,,,
actual_vs_all_null,shape_signature,1541,0.043478260869565216,0.5459253933858523,0.04543264945126513,0.6832432767751313,0.4855268350568039,,,,
actual_vs_all_null,action_shape,1541,0.043478260869565216,0.5404422932825694,0.04443144136266412,0.6841119338746507,0.4837126036249741,,,,
actual_vs_all_null,human_plus_shape,1541,0.043478260869565216,0.9675114927398286,0.5162399066078524,0.23959705989289565,0.151831287220466,,,,
actual_vs_placement_null,human_signature,1072,0.0625,0.9988564639489123,0.9920190713101161,0.07185416777533755,0.11859133044014498,,,,
actual_vs_placement_null,shape_signature,1072,0.0625,0.5,0.06250000000000001,0.6931471805599463,0.5000000000000007,,,,
actual_vs_placement_null,action_shape,1072,0.0625,0.5000000000000001,0.0625,0.6931471805599463,0.5000000000000007,,,,
actual_vs_placement_null,human_plus_shape,1072,0.0625,0.998128759189129,0.9902559740159307,0.07202470274407204,0.11847473767504735,,,,
predict_local_p90,human_signature,1072,,,,,,-0.00026696215913347846,0.3919768487250838,0.43657093746684766,0.00017420990089867254
predict_local_p90,shape_signature,1072,,,,,,-0.00026696215913347846,0.8037336003247425,0.8818643516681672,8.248357638042481e-05
predict_local_p90,action_shape,1072,,,,,,-0.00026696215913347846,0.8137688911504024,0.8934006432037428,7.86691146256662e-05
predict_local_p90,human_plus_shape,1072,,,,,,-0.00026696215913347846,0.9007885920210509,0.934247730496578,6.289329585990336e-05
predict_local_mean,human_signature,1072,,,,,,-0.0006899928897292246,0.5351084412577036,0.6406021529154335,0.00044662767716610493
predict_local_mean,shape_signature,1072,,,,,,-0.0006899928897292246,0.9161227662239559,0.9750921819770437,0.00012009401273389073
predict_local_mean,action_shape,1072,,,,,,-0.0006899928897292246,0.9257046179791126,0.9867492046401682,8.785232335447526e-05
predict_local_mean,human_plus_shape,1072,,,,,,-0.0006899928897292246,0.9577961599929313,0.9888272811482656,8.083769572867598e-05
