feature_view,score_spec,split,n_rows,n_pos,skipped_rows,skipped_positive_rows,auc,avg_precision,logloss,topk_precision,topk_recall,exact_e95_e101_mean_prob,exact_e95_e101_max_prob,e72_positive_min_prob,e72_positive_mean_prob,non_e72_p95_prob,boundary_clean_gate
shape_target_context_abs,plain_logit_c025,loo_pair_id,132,6,0,0,0.9788359788359788,0.8095238095238095,0.059469488633050016,0.6666666666666666,0.6666666666666666,0.05765771079941841,0.05765771079941841,0.041220459882527455,0.6057348249814226,0.05429062015661049,True
shape_target_context_abs,plain_logit_c025,loo_pair_context,132,6,0,0,0.9788359788359788,0.8095238095238095,0.059602960572886665,0.6666666666666666,0.6666666666666666,0.05765771079941841,0.05765771079941841,0.041220459882527455,0.6057348249814226,0.05429062015661049,True
shape_target_context_abs,hardneg4_other1_c025,loo_pair_id,132,6,0,0,0.9788359788359788,0.8095238095238095,0.06169317111273827,0.6666666666666666,0.6666666666666666,0.05765771079941841,0.05765771079941841,0.03402260288622551,0.6040144717836191,0.04210352494749,True
shape_target_context_abs,hardneg4_other1_c025,loo_pair_context,132,6,0,0,0.9788359788359788,0.8095238095238095,0.06182024060674577,0.6666666666666666,0.6666666666666666,0.05765771079941841,0.05765771079941841,0.03402260288622551,0.6040144717836191,0.04210352494749,True
shape_target_context_abs,hardneg8_other025_c025,loo_pair_id,132,6,0,0,0.9735449735449736,0.7916666666666666,0.06616980155779255,0.6666666666666666,0.6666666666666666,0.15575697768964006,0.15575697768964006,0.050242254765170365,0.6213456955446909,0.0667111824724586,True
shape_target_context_abs,hardneg8_other025_c025,loo_pair_context,132,6,0,0,0.9735449735449736,0.7916666666666666,0.06652756175985343,0.6666666666666666,0.6666666666666666,0.15575697768964006,0.15575697768964006,0.050242254765170365,0.6213456955446909,0.0667111824724586,True
shape_target_context_abs,prototype_pos_vs_boundary,loo_pair_id,130,6,2,0,0.6666666666666666,0.6820512820512821,0.1292430506033326,0.6666666666666666,0.6666666666666666,,,0.0007193226134056674,0.6621448749035482,0.0429867349330863,False
shape_target_context_abs,prototype_pos_vs_boundary,loo_pair_context,130,6,2,0,0.6666666666666666,0.6820512820512821,0.12985409981709267,0.6666666666666666,0.6666666666666666,,,0.0007193226134056674,0.6621448749035482,0.04491599738268624,False
support_abs,plain_logit_c025,loo_pair_id,132,6,0,0,0.8518518518518519,0.6989247311827957,0.13086977358990828,0.6666666666666666,0.6666666666666666,0.7857575960489095,0.7857575960489095,0.0014191618337204208,0.6012430439869317,0.03538379541472237,False
support_abs,plain_logit_c025,loo_pair_context,132,6,0,0,0.8518518518518519,0.6989247311827957,0.13095108130042066,0.6666666666666666,0.6666666666666666,0.7857575960489095,0.7857575960489095,0.0014191618337204208,0.6012430439869317,0.03538379541472237,False
support_abs,hardneg4_other1_c025,loo_pair_id,132,6,0,0,0.8571428571428571,0.7,0.13067469238496215,0.6666666666666666,0.6666666666666666,0.7857575960489095,0.7857575960489095,0.0014258343962399037,0.6030237014069634,0.03469115575145543,False
support_abs,hardneg4_other1_c025,loo_pair_context,132,6,0,0,0.8571428571428571,0.7,0.1307420791016312,0.6666666666666666,0.6666666666666666,0.7857575960489095,0.7857575960489095,0.0014258343962399037,0.6030237014069634,0.03469115575145543,False
support_abs,hardneg8_other025_c025,loo_pair_id,132,6,0,0,0.8412698412698413,0.696969696969697,0.12688882253892944,0.6666666666666666,0.6666666666666666,0.8391121580990345,0.8391121580990345,0.00457069211677367,0.6163309743451892,0.10766844640147688,False
support_abs,hardneg8_other025_c025,loo_pair_context,132,6,0,0,0.8412698412698413,0.696969696969697,0.12711089641796833,0.6666666666666666,0.6666666666666666,0.8391121580990345,0.8391121580990345,0.00457069211677367,0.6163309743451892,0.10766844640147688,False
support_abs,prototype_pos_vs_boundary,loo_pair_id,130,6,2,0,0.6666666666666666,0.6820512820512821,0.20572004730694962,0.6666666666666666,0.6666666666666666,,,7.257913160374769e-06,0.6126359513587963,0.04238675480327962,False
