basename,source_path,parent_basename,recipe,policy,group_key,base_variant,source_count,source_basenames,selected_mode_mix,weight,oracle_control,parent_fresh_null_strict_rate,parent_fresh_actual_p90,parent_fresh_worst_mode_p90_dominance,nonzero_rows,nonzero_cells,mean_abs_delta,max_abs_delta,l1_delta,signed_delta_sum,q_abs_share,s_abs_share,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4,ref_null_reps,ref_null_abs_mean,ref_centered_abs_mean,ref_unique75_cells,ref_unique90_cells
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_5f3a9116.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_5f3a9116.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,null_common_residual,human_regime_only,human_regime_only__recipe_family_consensus,meanresid_l0.50,18,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,,0.5,False,0.1363636363636363,-0.0010768453906677,0.8,30,32,0.0026775183824773443,0.17595125020729382,4.685657169335353,1.8127936663959456,0.17984987128829888,0.820150128711701,0.8427148388060581,0.0,0.0,0.6251813750477306,0.0,3.217760955481564,0.0,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_4f4e307c.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_4f4e307c.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,null_common_residual,human_regime_only,human_regime_only__recipe_family_consensus,meanresid_l0.50,18,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,,0.75,False,0.1363636363636363,-0.0010768453906677,0.8,30,32,0.004016277573716016,0.2639268753109407,7.02848575400303,2.7191904995939185,0.17984987128829885,0.8201501287117011,1.264072258209087,0.0,0.0,0.937772062571596,0.0,4.826641433222346,0.0,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_873b8ad1.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_873b8ad1.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,null_common_residual,human_regime_only,human_regime_only__recipe_family_consensus,meanresid_l0.50,18,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,,1.0,False,0.1363636363636363,-0.0010768453906677,0.8,30,32,0.005353850692186718,0.35,9.369238711326757,3.6235117054479433,0.1798897145799636,0.8201102854200364,1.6854296776121163,0.0,0.0,1.2482871227515124,0.0,6.435521910963128,0.0,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_c2c0e700.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_c2c0e700.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,null_common_residual,human_regime_only,human_regime_only__recipe_family_consensus,meanresid_l0.50,18,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,,1.25,False,0.1363636363636363,-0.0010768453906677,0.8,30,32,0.0063493079375830045,0.35,11.111288890770254,4.195195842658237,0.18668177832582422,0.8133182216741759,2.074275169620966,0.0,0.0,1.3853589034393905,0.0,7.651654817709899,0.0,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_87e2c984.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_87e2c984.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,null_common_residual,human_regime_only,human_regime_only__recipe_family_consensus,meanresid_l0.50,18,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,,1.5,False,0.1363636363636363,-0.0010768453906677,0.8,30,32,0.0063999999999999994,0.35,11.199999999999996,4.199999999999999,0.18750000000000008,0.8125,2.1,0.0,0.0,1.4,0.0,7.699999999999997,0.0,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_8ff6970f.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_8ff6970f.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,null_common_residual,human_regime_only,human_regime_only__recipe_family_consensus,meanresid_l0.50,18,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,,0.5,False,0.1363636363636363,-0.0010768453906677,0.8,53,64,0.004995948697398561,0.17595125020729382,8.742910220447481,0.04809398184843583,0.18388939802182772,0.8161106019781724,1.6077284973969723,0.0,0.0,1.7406329894753438,0.0,5.394548733575165,0.0,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_4e86b066.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_4e86b066.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,null_common_residual,human_regime_only,human_regime_only__recipe_family_consensus,meanresid_l0.50,18,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,,0.75,False,0.1363636363636363,-0.0010768453906677,0.8,53,64,0.007493923046097842,0.2639268753109407,13.114365330671225,0.07214097277265274,0.18388939802182766,0.8161106019781723,2.4115927460954585,0.0,0.0,2.6109494842130156,0.0,8.09182310036275,0.0,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_814e6313.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_814e6313.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,null_common_residual,human_regime_only,human_regime_only__recipe_family_consensus,meanresid_l0.50,18,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,,1.0,False,0.1363636363636363,-0.0010768453906677,0.8,53,64,0.009990711322029151,0.35,17.483744813551013,0.09411233635292326,0.18391122892057776,0.8160887710794223,3.2154569947939446,0.0,0.0,3.4791903516067393,0.0,10.78909746715033,0.0,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_2b9c371c.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_2b9c371c.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,null_common_residual,human_regime_only,human_regime_only__recipe_family_consensus,meanresid_l0.50,18,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,,1.25,False,0.1363636363636363,-0.0010768453906677,0.8,53,64,0.012145383724886044,0.35,21.254421518550583,-0.21655336871053787,0.18757552693770638,0.8124244730622936,3.986809316098251,0.0,0.0,4.173987939508424,0.0,13.093624262943907,0.0,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_9f4e20ae.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_9f4e20ae.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,null_common_residual,human_regime_only,human_regime_only__recipe_family_consensus,meanresid_l0.50,18,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,,1.5,False,0.1363636363636363,-0.0010768453906677,0.8,53,64,0.012799999999999999,0.35,22.39999999999999,-0.7000000000000006,0.18750000000000008,0.8125,4.2,0.0,0.0,4.55,0.0,13.649999999999991,0.0,8,0.021469389059860948,0.020516343492586648,51,19
