target,view_id,split,mode,rep,null_delta
Q1,family,subject,row,0,0.0021810050266004577
Q1,family,subject,row,1,0.0035893474226490474
Q1,family,subject,row,2,0.004003020582064365
Q1,family,subject,row,3,0.0007076628272915109
Q1,family,subject,row,4,0.0038429991855376544
Q1,family,subject,row,5,0.001351356323074815
Q1,family,subject,row,6,0.0010278791620965677
Q1,family,subject,row,7,0.0006620684773378516
Q1,family,subject,subject,0,0.006449169565710178
Q1,family,subject,subject,1,0.006310560757693651
Q1,family,subject,subject,2,0.000816158214457241
Q1,family,subject,subject,3,-0.0020075297247532653
Q1,family,subject,subject,4,0.006050137006494927
Q1,family,subject,subject,5,0.006648281442794057
Q1,family,subject,subject,6,-0.007279022528215329
Q1,family,subject,subject,7,0.002472366195703013
Q1,family,subject,dateblock,0,0.004472630421680002
Q1,family,subject,dateblock,1,0.0026059633080456335
Q1,family,subject,dateblock,2,-0.0006195461215746656
Q1,family,subject,dateblock,3,0.002760363065090421
Q1,family,subject,dateblock,4,-0.0038985082933750137
Q1,family,subject,dateblock,5,0.0026774626509304955
Q1,family,subject,dateblock,6,0.006637708059464842
Q1,family,subject,dateblock,7,-0.005115497652030565
Q1,jepa_resid,subject,row,0,0.0013553171014534238
Q1,jepa_resid,subject,row,1,0.00016280130237222856
Q1,jepa_resid,subject,row,2,0.0032548555147048353
Q1,jepa_resid,subject,row,3,0.003827182965272846
Q1,jepa_resid,subject,row,4,0.0026285276247935974
Q1,jepa_resid,subject,row,5,0.008458104803411803
Q1,jepa_resid,subject,row,6,-0.0027873159258819946
Q1,jepa_resid,subject,row,7,0.000353200963360889
Q1,jepa_resid,subject,subject,0,-0.004778871503555715
Q1,jepa_resid,subject,subject,1,0.013202100175458753
Q1,jepa_resid,subject,subject,2,0.006718418202428134
Q1,jepa_resid,subject,subject,3,-0.0031937542489418602
Q1,jepa_resid,subject,subject,4,-0.0004938234534384023
Q1,jepa_resid,subject,subject,5,0.015957622571968533
Q1,jepa_resid,subject,subject,6,-0.0010568325340261087
Q1,jepa_resid,subject,subject,7,0.005934088665906723
Q1,jepa_resid,subject,dateblock,0,0.009052474562787238
Q1,jepa_resid,subject,dateblock,1,0.011297257301608243
Q1,jepa_resid,subject,dateblock,2,0.009821875874039265
Q1,jepa_resid,subject,dateblock,3,0.00029396901141975906
Q1,jepa_resid,subject,dateblock,4,0.002383735687724986
Q1,jepa_resid,subject,dateblock,5,-0.002597950231079116
Q1,jepa_resid,subject,dateblock,6,0.009836987427140564
Q1,jepa_resid,subject,dateblock,7,0.0029894811244552955
Q1,story_bundle,subject,row,0,0.003629394301850719
Q1,story_bundle,subject,row,1,-0.0004352563059139003
Q1,story_bundle,subject,row,2,0.0019299759021238483
Q1,story_bundle,subject,row,3,0.004987612169524036
Q1,story_bundle,subject,row,4,-0.0019085741149624802
Q1,story_bundle,subject,row,5,0.0013459365834276316
Q1,story_bundle,subject,row,6,-0.0029196611703888875
Q1,story_bundle,subject,row,7,0.001126605466246322
Q1,story_bundle,subject,subject,0,0.0037025418162075496
Q1,story_bundle,subject,subject,1,0.00214347841651652
Q1,story_bundle,subject,subject,2,-0.0018005706069386118
Q1,story_bundle,subject,subject,3,-0.0014563749173091
Q1,story_bundle,subject,subject,4,-8.849450046621854e-05
Q1,story_bundle,subject,subject,5,0.004144519279151715
Q1,story_bundle,subject,subject,6,-0.0005386329907783871
Q1,story_bundle,subject,subject,7,-0.0007909155185535921
Q1,story_bundle,subject,dateblock,0,0.007483931520099407
Q1,story_bundle,subject,dateblock,1,0.0007404525971862475
Q1,story_bundle,subject,dateblock,2,0.0013337041860767007
Q1,story_bundle,subject,dateblock,3,0.00635750723993711
Q1,story_bundle,subject,dateblock,4,0.007834204736730244
Q1,story_bundle,subject,dateblock,5,-0.0009421201721510064
Q1,story_bundle,subject,dateblock,6,0.004054082779132773
Q1,story_bundle,subject,dateblock,7,0.0018327265546835836
Q1,raw_day,subject,row,0,0.0015672846821926933
Q1,raw_day,subject,row,1,0.0013729639493340606
Q1,raw_day,subject,row,2,0.0008979920310667744
Q1,raw_day,subject,row,3,5.9707506010364675e-05
Q1,raw_day,subject,row,4,0.004814538077104524
Q1,raw_day,subject,row,5,0.0018451860278330123
Q1,raw_day,subject,row,6,0.0004707918233608499
Q1,raw_day,subject,row,7,0.001774018041331371
