variant_kind,rows,variants,strict,deployable,loose,alpha16_deployable,alpha16_loose,best_all_delta_vs_mixmin,median_alpha16_all_delta,worst_alpha16_all_delta,best_all_minus_base,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate,median_jaccard_vs_e73,max_q2s3_delta_vs_e73
bootstrap8,300,60,91,91,300,48,60,-1.0808386055272123e-05,-1.0340038257061757e-05,-9.779600621540041e-06,-6.062323154365501e-06,-0.000604609116894611,-0.00046911841566008006,0.75,0.7075471698113207,0.0010069276154818629
jackknife,65,13,26,26,65,13,13,-1.0769713702063477e-05,-1.0434619854393645e-05,-1.0355184243193705e-05,-5.9923569929454246e-06,-0.00059229012230895,-0.000460939717802389,0.7222222222222222,0.8857142857142857,0.0003951018484825708
rank_keep,50,10,14,14,50,7,10,-1.0660216442026638e-05,-1.0033593279668018e-05,-9.508322244000667e-06,-6.025248271868122e-06,-0.0006060165145104768,-0.0004845448808729557,0.75,0.704644412191582,0.001122390349665776
group_keep,50,10,8,8,50,3,10,-1.0706759835610313e-05,-9.742548542746032e-06,-9.326598250369855e-06,-5.9683258269993544e-06,-0.0006027027595607443,-0.00046352534450844196,0.75,0.6999818528264223,0.0016488883136610891
reference,5,1,2,2,5,1,1,-1.0726078925937799e-05,-1.0545787970772658e-05,-1.0545787970772658e-05,-5.960546473282591e-06,-0.0005762429701147431,-0.000422721034934992,0.7222222222222222,1.0,0.0
