feature_view,candidate,scenario,n_diff_cells,top_targets,e72_contam_prob,known_non_e72_p95,known_min_positive,above_non_e72_p95,above_min_positive,shape_prob,support_prob,support_minus_shape_prob
shape_target_context_abs,e144,global_t010,185,"S2,Q1,Q3,Q1",0.05683701216221913,0.05405199471214956,0.9769559751609461,True,False,0.0260815788662998,0.0084197549367556,-0.0176618239295442
shape_target_context_abs,e144,global_t010_subject_t010,185,"Q1,Q1,Q1,Q3",0.030152581604458543,0.05405199471214956,0.9769559751609461,False,False,0.0058817823308532,0.0071011302193631,0.0012193478885099002
shape_target_context_abs,e144,global_t010_subject_t020,185,"S2,Q1,Q1,Q3",0.13466540254293316,0.05405199471214956,0.9769559751609461,True,False,0.0173169073052313,0.0022415871336842,-0.015075320171547101
shape_target_context_abs,e154,global_t010,294,"Q3,Q3,Q3,Q3",0.023510557392094206,0.05405199471214956,0.9769559751609461,False,False,0.0013693627205825,0.0009401148931608,-0.00042924782742169995
shape_target_context_abs,e154,global_t010_subject_t010,294,"Q3,Q3,Q3,Q3",0.010583674919570124,0.05405199471214956,0.9769559751609461,False,False,0.0018161849632728,0.0047095615124721,0.0028933765491992993
shape_target_context_abs,e154,global_t010_subject_t020,294,"Q3,Q3,Q3,Q3",0.014010395602192412,0.05405199471214956,0.9769559751609461,False,False,0.0016447166511099,0.001267870166625,-0.0003768464844849
shape_target_context_abs,e176,global_t010,904,"S1,Q3,Q3,Q3",5.036796580536538e-06,0.05405199471214956,0.9769559751609461,False,False,0.9208640171348336,0.8201106025581956,-0.100753414576638
shape_target_context_abs,e176,global_t010_subject_t010,904,"S1,Q3,Q3,Q3",2.4894991477132018e-06,0.05405199471214956,0.9769559751609461,False,False,0.9333240893587452,0.8752501959410511,-0.05807389341769409
shape_target_context_abs,e176,global_t010_subject_t020,904,"S1,Q3,Q3,Q3",3.14889029994718e-06,0.05405199471214956,0.9769559751609461,False,False,0.9235085194617716,0.7540475465648768,-0.16946097289689477
support_abs,e144,global_t010,185,"S2,Q1,Q3,Q1",0.0004984437472423943,0.04683654738704789,0.9870243063775904,False,False,0.0260815788662998,0.0084197549367556,-0.0176618239295442
support_abs,e144,global_t010_subject_t010,185,"Q1,Q1,Q1,Q3",0.00014285889397674123,0.04683654738704789,0.9870243063775904,False,False,0.0058817823308532,0.0071011302193631,0.0012193478885099002
support_abs,e144,global_t010_subject_t020,185,"S2,Q1,Q1,Q3",0.0003048827218195106,0.04683654738704789,0.9870243063775904,False,False,0.0173169073052313,0.0022415871336842,-0.015075320171547101
support_abs,e154,global_t010,294,"Q3,Q3,Q3,Q3",0.002422501865258718,0.04683654738704789,0.9870243063775904,False,False,0.0013693627205825,0.0009401148931608,-0.00042924782742169995
support_abs,e154,global_t010_subject_t010,294,"Q3,Q3,Q3,Q3",0.0013989527067424464,0.04683654738704789,0.9870243063775904,False,False,0.0018161849632728,0.0047095615124721,0.0028933765491992993
support_abs,e154,global_t010_subject_t020,294,"Q3,Q3,Q3,Q3",0.0022576546568300465,0.04683654738704789,0.9870243063775904,False,False,0.0016447166511099,0.001267870166625,-0.0003768464844849
support_abs,e176,global_t010,904,"S1,Q3,Q3,Q3",0.0024081851643338783,0.04683654738704789,0.9870243063775904,False,False,0.9208640171348336,0.8201106025581956,-0.100753414576638
support_abs,e176,global_t010_subject_t010,904,"S1,Q3,Q3,Q3",0.0015922287398198775,0.04683654738704789,0.9870243063775904,False,False,0.9333240893587452,0.8752501959410511,-0.05807389341769409
support_abs,e176,global_t010_subject_t020,904,"S1,Q3,Q3,Q3",0.0026201660693051074,0.04683654738704789,0.9870243063775904,False,False,0.9235085194617716,0.7540475465648768,-0.16946097289689477
shape_target_context_support_abs,e144,global_t010,185,"S2,Q1,Q3,Q1",0.0012741600575307747,0.014775788288890706,0.9909997950126148,False,False,0.0260815788662998,0.0084197549367556,-0.0176618239295442
shape_target_context_support_abs,e144,global_t010_subject_t010,185,"Q1,Q1,Q1,Q3",0.00035290042047127456,0.014775788288890706,0.9909997950126148,False,False,0.0058817823308532,0.0071011302193631,0.0012193478885099002
shape_target_context_support_abs,e144,global_t010_subject_t020,185,"S2,Q1,Q1,Q3",0.001562158517946922,0.014775788288890706,0.9909997950126148,False,False,0.0173169073052313,0.0022415871336842,-0.015075320171547101
shape_target_context_support_abs,e154,global_t010,294,"Q3,Q3,Q3,Q3",0.003033255655683507,0.014775788288890706,0.9909997950126148,False,False,0.0013693627205825,0.0009401148931608,-0.00042924782742169995
shape_target_context_support_abs,e154,global_t010_subject_t010,294,"Q3,Q3,Q3,Q3",0.0012919252268072765,0.014775788288890706,0.9909997950126148,False,False,0.0018161849632728,0.0047095615124721,0.0028933765491992993
shape_target_context_support_abs,e154,global_t010_subject_t020,294,"Q3,Q3,Q3,Q3",0.0021371434086897624,0.014775788288890706,0.9909997950126148,False,False,0.0016447166511099,0.001267870166625,-0.0003768464844849
shape_target_context_support_abs,e176,global_t010,904,"S1,Q3,Q3,Q3",0.00022304979249562065,0.014775788288890706,0.9909997950126148,False,False,0.9208640171348336,0.8201106025581956,-0.100753414576638
shape_target_context_support_abs,e176,global_t010_subject_t010,904,"S1,Q3,Q3,Q3",0.00011865853934757725,0.014775788288890706,0.9909997950126148,False,False,0.9333240893587452,0.8752501959410511,-0.05807389341769409
shape_target_context_support_abs,e176,global_t010_subject_t020,904,"S1,Q3,Q3,Q3",0.00019376744330296434,0.014775788288890706,0.9909997950126148,False,False,0.9235085194617716,0.7540475465648768,-0.16946097289689477
all_axis_free_abs,e144,global_t010,185,"S2,Q1,Q3,Q1",0.0012741600575307747,0.014775788288890706,0.9909997950126148,False,False,0.0260815788662998,0.0084197549367556,-0.0176618239295442
all_axis_free_abs,e144,global_t010_subject_t010,185,"Q1,Q1,Q1,Q3",0.00035290042047127456,0.014775788288890706,0.9909997950126148,False,False,0.0058817823308532,0.0071011302193631,0.0012193478885099002
